# event_ticker=KXATPCHALLENGERMATCH-26APR22BITCHA
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Maxime Chazal
# fav_player=Constantin Bittoun Kouzmine
# dog_player=Maxime Chazal
# kalshi_date=2026-04-22
timestamp,Constantin Bittoun Kouzmine,Maxime Chazal
2026-04-23T06:59:00Z,30.00,
2026-04-23T10:29:00Z,29.00,
2026-04-23T10:36:00Z,29.00,
2026-04-23T12:59:00Z,31.00,
2026-04-23T13:19:00Z,31.00,
2026-04-23T13:49:00Z,31.00,71.00
2026-04-23T13:51:00Z,31.00,71.00
2026-04-23T14:00:00Z,31.00,71.00
2026-04-23T14:31:00Z,31.00,71.00
2026-04-23T14:40:00Z,31.00,70.00
2026-04-23T15:31:00Z,31.00,70.00
2026-04-23T16:00:00Z,31.00,70.00
2026-04-23T16:37:00Z,31.00,70.00
2026-04-23T17:04:00Z,31.00,70.00
2026-04-23T17:18:00Z,31.00,69.00
2026-04-23T17:28:00Z,30.00,69.00
2026-04-23T17:33:00Z,30.00,70.00
2026-04-23T17:35:00Z,30.00,70.00
2026-04-23T18:09:00Z,30.00,70.00
2026-04-23T18:10:00Z,30.00,70.00
2026-04-23T18:11:00Z,29.24,70.00
2026-04-23T18:15:00Z,29.24,70.00
2026-04-23T18:16:00Z,29.24,70.00
2026-04-23T18:17:00Z,31.00,70.00
2026-04-23T18:18:00Z,30.45,70.23
2026-04-23T18:20:00Z,30.00,70.23
2026-04-23T18:21:00Z,30.00,70.00
2026-04-23T18:22:00Z,30.65,70.00
2026-04-23T18:23:00Z,34.00,68.00
2026-04-23T18:24:00Z,34.92,66.11
2026-04-23T18:25:00Z,34.00,67.87
2026-04-23T18:26:00Z,32.98,68.97
2026-04-23T18:27:00Z,28.90,71.00
2026-04-23T18:28:00Z,30.81,70.00
2026-04-23T18:29:00Z,32.30,67.00
2026-04-23T18:30:00Z,33.67,66.21
2026-04-23T18:31:00Z,33.42,68.15
2026-04-23T18:32:00Z,29.50,72.19
2026-04-23T18:33:00Z,33.23,66.08
2026-04-23T18:34:00Z,35.00,65.00
2026-04-23T18:35:00Z,36.00,65.00
2026-04-23T18:36:00Z,33.00,66.49
2026-04-23T18:37:00Z,34.00,66.11
2026-04-23T18:38:00Z,33.36,66.00
2026-04-23T18:39:00Z,33.00,65.13
2026-04-23T18:40:00Z,33.06,66.28
2026-04-23T18:41:00Z,35.34,64.00
2026-04-23T18:42:00Z,37.15,63.07
2026-04-23T18:43:00Z,38.00,63.00
2026-04-23T18:44:00Z,38.00,63.00
2026-04-23T18:45:00Z,34.04,64.00
2026-04-23T18:46:00Z,34.00,67.00
2026-04-23T18:47:00Z,34.00,65.93
2026-04-23T18:48:00Z,30.36,69.94
2026-04-23T18:49:00Z,27.66,75.54
2026-04-23T18:50:00Z,23.13,74.00
2026-04-23T18:51:00Z,19.15,79.77
2026-04-23T18:52:00Z,18.00,83.00
2026-04-23T18:53:00Z,17.26,83.00
2026-04-23T18:54:00Z,15.01,84.06
2026-04-23T18:55:00Z,14.51,85.02
2026-04-23T18:56:00Z,15.07,85.99
2026-04-23T18:57:00Z,16.00,85.00
2026-04-23T18:58:00Z,16.41,84.21
2026-04-23T18:59:00Z,15.98,85.00
2026-04-23T19:00:00Z,15.01,83.97
2026-04-23T19:01:00Z,19.48,80.00
2026-04-23T19:02:00Z,19.37,81.24
2026-04-23T19:03:00Z,19.71,78.76
2026-04-23T19:04:00Z,18.37,82.94
2026-04-23T19:05:00Z,13.98,85.91
2026-04-23T19:06:00Z,15.00,86.00
2026-04-23T19:07:00Z,15.45,86.00
2026-04-23T19:08:00Z,14.54,86.00
2026-04-23T19:09:00Z,15.00,86.00
2026-04-23T19:10:00Z,15.00,86.00
2026-04-23T19:11:00Z,15.00,85.40
2026-04-23T19:12:00Z,15.00,85.89
2026-04-23T19:13:00Z,15.00,86.00
2026-04-23T19:14:00Z,15.00,86.00
2026-04-23T19:15:00Z,11.53,87.37
2026-04-23T19:16:00Z,10.02,89.04
2026-04-23T19:17:00Z,7.25,93.31
2026-04-23T19:18:00Z,5.74,94.96
2026-04-23T19:19:00Z,5.39,94.59
2026-04-23T19:20:00Z,5.79,94.97
2026-04-23T19:21:00Z,5.71,94.97
2026-04-23T19:22:00Z,6.00,94.07
2026-04-23T19:23:00Z,6.00,95.00
2026-04-23T19:24:00Z,6.00,95.00
2026-04-23T19:25:00Z,4.44,96.00
2026-04-23T19:26:00Z,5.85,95.37
2026-04-23T19:27:00Z,6.14,94.24
2026-04-23T19:28:00Z,4.48,95.01
2026-04-23T19:29:00Z,5.34,95.00
2026-04-23T19:30:00Z,4.63,95.00
2026-04-23T19:31:00Z,5.12,95.00
2026-04-23T19:32:00Z,5.87,94.86
2026-04-23T19:33:00Z,4.00,96.00
2026-04-23T19:34:00Z,3.97,96.98
2026-04-23T19:35:00Z,4.00,96.25
2026-04-23T19:36:00Z,3.02,97.89
2026-04-23T19:37:00Z,4.00,97.78
2026-04-23T19:38:00Z,4.71,97.78
2026-04-23T19:39:00Z,5.00,96.00
2026-04-23T19:40:00Z,4.63,96.53
2026-04-23T19:41:00Z,4.87,96.13
2026-04-23T19:42:00Z,4.00,97.86
2026-04-23T19:43:00Z,3.54,98.04
2026-04-23T19:44:00Z,2.97,97.10
2026-04-23T19:45:00Z,3.52,97.99
2026-04-23T19:46:00Z,3.00,98.00
2026-04-23T19:47:00Z,2.57,97.40
2026-04-23T19:48:00Z,2.93,98.31
2026-04-23T19:49:00Z,1.00,99.00
2026-04-23T19:50:00Z,1.00,99.00
2026-04-23T19:51:00Z,1.00,99.00
