# event_ticker=KXATPCHALLENGERMATCH-26MAR04SCHKOL
# final_score=4-6 7-6(2) 7-6(6)
# score_resolution=6-4 6-7 6-7
# match_winner=Joel Schwaerzler
# fav_player=Zdenek Kolar
# dog_player=Joel Schwaerzler
# kalshi_date=2026-03-04
timestamp,Zdenek Kolar,Joel Schwaerzler
2026-03-04T13:48:00Z,,59.00
2026-03-04T13:49:00Z,56.69,63.99
2026-03-04T13:51:00Z,58.00,62.83
2026-03-04T13:52:00Z,58.00,62.83
2026-03-04T13:53:00Z,58.00,63.00
2026-03-04T13:54:00Z,58.00,63.00
2026-03-04T13:55:00Z,58.00,63.00
2026-03-04T13:56:00Z,58.00,63.00
2026-03-04T13:57:00Z,57.59,63.00
2026-03-04T13:58:00Z,65.27,54.92
2026-03-04T13:59:00Z,65.27,55.00
2026-03-04T14:00:00Z,72.29,47.07
2026-03-04T14:01:00Z,67.37,41.46
2026-03-04T14:02:00Z,70.41,35.41
2026-03-04T14:03:00Z,61.91,42.92
2026-03-04T14:04:00Z,66.84,42.84
2026-03-04T14:05:00Z,61.56,46.18
2026-03-04T14:06:00Z,64.44,37.04
2026-03-04T14:07:00Z,71.62,33.55
2026-03-04T14:08:00Z,82.27,20.29
2026-03-04T14:09:00Z,87.04,22.75
2026-03-04T14:10:00Z,74.52,30.82
2026-03-04T14:11:00Z,79.05,32.60
2026-03-04T14:12:00Z,86.07,21.13
2026-03-04T14:13:00Z,76.95,24.33
2026-03-04T14:14:00Z,57.20,55.36
2026-03-04T14:15:00Z,57.52,47.90
2026-03-04T14:16:00Z,65.24,41.03
2026-03-04T14:17:00Z,66.35,36.18
2026-03-04T14:18:00Z,66.67,37.35
2026-03-04T14:19:00Z,81.49,22.85
2026-03-04T14:20:00Z,86.48,15.73
2026-03-04T14:21:00Z,89.80,13.80
2026-03-04T14:22:00Z,90.02,11.70
2026-03-04T14:23:00Z,92.47,8.98
2026-03-04T14:24:00Z,91.76,11.87
2026-03-04T14:25:00Z,94.00,5.70
2026-03-04T14:26:00Z,95.51,8.50
2026-03-04T14:27:00Z,94.81,10.50
2026-03-04T14:28:00Z,97.27,4.75
2026-03-04T14:29:00Z,96.18,6.04
2026-03-04T14:30:00Z,96.18,5.00
2026-03-04T14:31:00Z,96.22,3.59
2026-03-04T14:32:00Z,96.92,6.79
2026-03-04T14:33:00Z,99.00,5.18
2026-03-04T14:34:00Z,97.29,3.45
2026-03-04T14:35:00Z,95.62,7.66
2026-03-04T14:36:00Z,94.33,10.01
2026-03-04T14:37:00Z,85.74,17.18
2026-03-04T14:38:00Z,92.72,11.91
2026-03-04T14:39:00Z,96.91,9.92
2026-03-04T14:40:00Z,82.72,21.02
2026-03-04T14:41:00Z,68.63,32.03
2026-03-04T14:42:00Z,65.52,40.66
2026-03-04T14:43:00Z,63.31,43.48
2026-03-04T14:44:00Z,75.31,37.09
2026-03-04T14:45:00Z,74.48,25.51
2026-03-04T14:46:00Z,80.50,27.25
2026-03-04T14:47:00Z,79.46,30.28
2026-03-04T14:48:00Z,70.87,34.04
2026-03-04T14:49:00Z,58.29,43.61
2026-03-04T14:50:00Z,52.40,56.29
2026-03-04T14:51:00Z,54.69,50.03
2026-03-04T14:52:00Z,54.18,50.14
2026-03-04T14:53:00Z,54.96,47.58
2026-03-04T14:54:00Z,62.55,40.70
2026-03-04T14:55:00Z,61.46,39.99
2026-03-04T14:56:00Z,74.78,37.65
2026-03-04T14:57:00Z,90.84,10.77
2026-03-04T14:58:00Z,69.57,21.62
2026-03-04T14:59:00Z,70.19,32.19
2026-03-04T15:00:00Z,78.18,28.55
2026-03-04T15:01:00Z,74.13,34.01
2026-03-04T15:02:00Z,62.49,40.45
2026-03-04T15:03:00Z,53.20,46.79
2026-03-04T15:04:00Z,55.31,46.76
2026-03-04T15:05:00Z,53.44,50.94
2026-03-04T15:06:00Z,44.12,58.54
2026-03-04T15:07:00Z,41.53,66.08
2026-03-04T15:08:00Z,18.35,79.05
2026-03-04T15:09:00Z,27.98,74.50
2026-03-04T15:10:00Z,37.62,64.41
2026-03-04T15:11:00Z,57.40,41.86
2026-03-04T15:12:00Z,63.51,48.55
2026-03-04T15:13:00Z,43.98,64.68
2026-03-04T15:14:00Z,46.64,57.75
2026-03-04T15:15:00Z,29.74,70.59
2026-03-04T15:16:00Z,8.90,91.56
2026-03-04T15:17:00Z,1.00,99.00
2026-03-04T15:18:00Z,1.00,99.00
2026-03-04T15:19:00Z,1.00,99.00
2026-03-04T15:20:00Z,1.00,99.00
2026-03-04T15:21:00Z,1.00,99.00
2026-03-04T15:22:00Z,1.00,99.00
