# event_ticker=KXATPCHALLENGERMATCH-26MAR22CARCAR2
# final_score=6-4 6-3
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Roberto Carballes Baena
# kalshi_date=2026-03-22
timestamp,Pablo Carreno Busta,Roberto Carballes Baena
2026-03-21T22:40:00Z,,36.00
2026-03-22T00:13:00Z,,35.07
2026-03-22T02:52:00Z,66.00,35.07
2026-03-22T03:01:00Z,66.00,35.00
2026-03-22T03:35:00Z,66.00,35.00
2026-03-22T04:19:00Z,67.00,35.00
2026-03-22T04:21:00Z,67.00,34.00
2026-03-22T04:22:00Z,67.00,34.00
2026-03-22T04:26:00Z,68.00,34.00
2026-03-22T04:28:00Z,68.00,32.00
2026-03-22T04:33:00Z,68.00,34.00
2026-03-22T04:34:00Z,68.00,34.00
2026-03-22T04:40:00Z,68.00,34.00
2026-03-22T04:48:00Z,68.00,34.00
2026-03-22T04:50:00Z,68.00,34.00
2026-03-22T04:53:00Z,68.00,34.00
2026-03-22T04:55:00Z,68.00,34.00
2026-03-22T04:56:00Z,68.00,34.00
2026-03-22T04:58:00Z,68.00,34.00
2026-03-22T05:18:00Z,68.00,34.00
2026-03-22T05:29:00Z,68.00,34.00
2026-03-22T05:30:00Z,68.00,34.00
2026-03-22T05:35:00Z,68.00,34.00
2026-03-22T05:41:00Z,68.00,34.00
2026-03-22T05:42:00Z,68.00,32.00
2026-03-22T05:44:00Z,68.00,32.00
2026-03-22T05:51:00Z,68.00,32.00
2026-03-22T05:59:00Z,68.00,33.00
2026-03-22T06:03:00Z,68.00,33.00
2026-03-22T06:28:00Z,68.00,33.00
2026-03-22T06:36:00Z,68.00,33.00
2026-03-22T06:39:00Z,68.00,33.00
2026-03-22T06:40:00Z,68.00,33.00
2026-03-22T06:41:00Z,68.00,33.93
2026-03-22T06:42:00Z,68.00,33.93
2026-03-22T06:44:00Z,68.00,33.93
2026-03-22T06:50:00Z,68.00,33.93
2026-03-22T06:51:00Z,68.00,33.93
2026-03-22T06:54:00Z,68.00,33.93
2026-03-22T06:56:00Z,68.00,34.00
2026-03-22T07:00:00Z,68.00,34.00
2026-03-22T07:05:00Z,68.00,32.00
2026-03-22T07:19:00Z,69.00,32.00
2026-03-22T07:27:00Z,69.00,32.00
2026-03-22T07:36:00Z,69.00,32.00
2026-03-22T07:45:00Z,69.00,32.00
2026-03-22T07:47:00Z,69.00,33.00
2026-03-22T07:48:00Z,69.00,33.00
2026-03-22T07:51:00Z,69.00,33.00
2026-03-22T07:54:00Z,69.00,33.00
2026-03-22T07:55:00Z,69.00,33.00
2026-03-22T08:01:00Z,69.00,33.00
