# event_ticker=KXATPCHALLENGERMATCH-26MAY26CASSQU
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Henri Squire
# fav_player=Luca Castagnola
# dog_player=Henri Squire
# kalshi_date=2026-05-26
timestamp,Luca Castagnola,Henri Squire
2026-05-25T22:55:00Z,11.00,
2026-05-26T01:57:00Z,11.00,
2026-05-26T02:18:00Z,11.00,91.00
2026-05-26T02:24:00Z,11.00,91.00
2026-05-26T02:33:00Z,11.00,91.00
2026-05-26T03:17:00Z,11.00,91.00
2026-05-26T05:07:00Z,11.00,90.00
2026-05-26T05:22:00Z,11.00,90.00
2026-05-26T05:38:00Z,11.00,90.00
2026-05-26T07:36:00Z,11.00,90.00
2026-05-26T08:11:00Z,11.00,90.00
2026-05-26T08:12:00Z,11.00,90.00
2026-05-26T08:13:00Z,10.00,90.00
2026-05-26T08:32:00Z,10.00,91.38
2026-05-26T08:39:00Z,10.00,89.46
2026-05-26T08:40:00Z,10.00,90.00
2026-05-26T08:41:00Z,9.64,90.75
2026-05-26T08:42:00Z,14.00,88.50
2026-05-26T08:43:00Z,14.00,87.69
2026-05-26T08:44:00Z,10.13,89.15
2026-05-26T08:45:00Z,10.13,89.00
2026-05-26T08:46:00Z,10.22,89.00
2026-05-26T08:47:00Z,10.22,90.00
2026-05-26T08:48:00Z,10.85,90.00
2026-05-26T08:49:00Z,12.00,90.00
2026-05-26T08:50:00Z,11.51,88.50
2026-05-26T08:51:00Z,12.00,88.00
2026-05-26T08:52:00Z,14.70,88.00
2026-05-26T08:53:00Z,18.38,82.84
2026-05-26T08:54:00Z,18.24,81.81
2026-05-26T08:55:00Z,17.00,86.00
2026-05-26T08:56:00Z,12.46,88.00
2026-05-26T08:57:00Z,11.00,88.00
2026-05-26T08:59:00Z,10.06,90.00
2026-05-26T09:01:00Z,10.00,91.21
2026-05-26T09:02:00Z,8.00,91.21
2026-05-26T09:03:00Z,5.56,94.00
2026-05-26T09:04:00Z,7.00,94.00
2026-05-26T09:08:00Z,6.00,95.00
2026-05-26T09:09:00Z,5.00,95.00
2026-05-26T09:10:00Z,6.00,95.00
2026-05-26T09:15:00Z,4.00,95.00
2026-05-26T09:16:00Z,4.67,95.00
2026-05-26T09:17:00Z,6.00,95.00
2026-05-26T09:18:00Z,6.00,95.00
2026-05-26T09:20:00Z,6.41,95.00
2026-05-26T09:21:00Z,6.00,94.00
2026-05-26T09:22:00Z,5.00,94.00
2026-05-26T09:23:00Z,5.00,94.00
2026-05-26T09:24:00Z,5.00,94.00
2026-05-26T09:25:00Z,5.00,94.00
2026-05-26T09:26:00Z,5.00,94.00
2026-05-26T09:27:00Z,5.00,94.00
2026-05-26T09:28:00Z,3.86,96.00
2026-05-26T09:29:00Z,3.00,97.00
2026-05-26T09:31:00Z,2.61,98.00
2026-05-26T09:32:00Z,2.00,98.00
2026-05-26T09:33:00Z,3.00,97.00
2026-05-26T09:34:00Z,3.00,97.00
2026-05-26T09:35:00Z,3.00,98.00
2026-05-26T09:36:00Z,3.00,97.00
2026-05-26T09:37:00Z,4.00,96.00
2026-05-26T09:39:00Z,6.33,96.00
2026-05-26T09:40:00Z,7.00,96.00
2026-05-26T09:42:00Z,9.28,90.82
2026-05-26T09:43:00Z,11.15,88.69
2026-05-26T09:44:00Z,11.15,91.33
2026-05-26T09:45:00Z,11.00,91.81
2026-05-26T09:46:00Z,10.00,89.39
2026-05-26T09:47:00Z,10.00,91.43
2026-05-26T09:48:00Z,10.00,92.00
2026-05-26T09:49:00Z,10.00,94.92
2026-05-26T09:50:00Z,6.00,95.00
2026-05-26T09:51:00Z,6.00,94.00
2026-05-26T09:52:00Z,6.93,94.97
2026-05-26T09:53:00Z,9.00,92.00
2026-05-26T09:54:00Z,7.84,94.09
2026-05-26T09:55:00Z,4.03,96.50
2026-05-26T09:56:00Z,3.00,97.00
2026-05-26T09:57:00Z,3.00,97.00
2026-05-26T09:58:00Z,3.77,96.00
2026-05-26T09:59:00Z,4.42,94.53
2026-05-26T10:00:00Z,4.00,96.88
2026-05-26T10:01:00Z,2.16,98.00
2026-05-26T10:02:00Z,1.00,99.00
2026-05-26T10:03:00Z,1.13,99.00
2026-05-26T10:04:00Z,1.00,99.00
2026-05-26T10:05:00Z,1.00,99.00
2026-05-26T10:06:00Z,1.00,99.00
2026-05-26T10:07:00Z,1.58,99.00
2026-05-26T10:08:00Z,1.58,99.00
2026-05-26T10:09:00Z,1.58,99.00
