# event_ticker=KXATPCHALLENGERMATCH-26FEB26BRUSCH
# final_score=7-6(2) 3-6 7-6(4)
# score_resolution=7-6 3-6 7-6
# match_winner=Joel Schwaerzler
# fav_player=Joel Schwaerzler
# dog_player=Petr Brunclik
# kalshi_date=2026-02-26
timestamp,Joel Schwaerzler,Petr Brunclik
2026-02-26T02:58:00Z,,64.00
2026-02-26T03:05:00Z,40.00,64.00
2026-02-26T03:14:00Z,40.00,64.00
2026-02-26T03:20:00Z,40.00,64.00
2026-02-26T03:47:00Z,40.00,64.00
2026-02-26T04:03:00Z,40.00,64.00
2026-02-26T04:07:00Z,40.00,64.00
2026-02-26T04:24:00Z,40.00,64.00
2026-02-26T05:02:00Z,40.00,64.00
2026-02-26T05:31:00Z,40.00,64.00
2026-02-26T05:35:00Z,40.00,64.00
2026-02-26T05:45:00Z,36.00,60.00
2026-02-26T05:48:00Z,36.00,64.00
2026-02-26T05:51:00Z,40.00,64.00
2026-02-26T06:11:00Z,40.00,64.00
2026-02-26T06:18:00Z,40.00,64.00
2026-02-26T06:25:00Z,40.00,64.00
2026-02-26T06:26:00Z,40.00,64.00
2026-02-26T06:35:00Z,40.00,63.00
2026-02-26T06:41:00Z,40.00,63.00
2026-02-26T06:51:00Z,39.00,63.00
2026-02-26T07:59:00Z,39.00,64.00
2026-02-26T10:02:00Z,35.00,64.00
2026-02-26T10:29:00Z,35.00,64.00
2026-02-26T10:55:00Z,35.00,64.00
2026-02-26T11:03:00Z,35.00,64.00
2026-02-26T11:17:00Z,35.00,64.00
2026-02-26T11:21:00Z,35.00,68.00
2026-02-26T11:22:00Z,35.00,68.00
2026-02-26T11:24:00Z,35.00,68.00
2026-02-26T11:26:00Z,35.00,68.00
2026-02-26T11:47:00Z,35.00,68.00
2026-02-26T11:51:00Z,35.00,66.50
2026-02-26T11:54:00Z,35.00,66.50
2026-02-26T12:08:00Z,35.00,68.00
2026-02-26T12:10:00Z,35.00,68.00
2026-02-26T12:12:00Z,35.00,68.00
2026-02-26T12:13:00Z,35.00,68.00
2026-02-26T12:27:00Z,35.00,68.51
2026-02-26T12:34:00Z,34.00,68.51
2026-02-26T12:38:00Z,32.00,68.51
2026-02-26T12:40:00Z,32.00,69.00
2026-02-26T12:45:00Z,32.00,68.00
2026-02-26T12:48:00Z,33.00,68.00
2026-02-26T12:50:00Z,33.00,68.00
2026-02-26T12:51:00Z,33.00,67.00
2026-02-26T12:52:00Z,33.00,67.00
2026-02-26T12:56:00Z,33.00,68.00
2026-02-26T13:00:00Z,33.00,68.00
2026-02-26T13:02:00Z,33.00,68.00
2026-02-26T13:04:00Z,32.00,68.00
2026-02-26T13:05:00Z,33.00,68.00
2026-02-26T13:08:00Z,33.00,68.00
2026-02-26T13:14:00Z,33.00,68.00
2026-02-26T13:16:00Z,33.00,68.00
2026-02-26T13:17:00Z,33.00,68.00
2026-02-26T13:18:00Z,33.00,68.00
2026-02-26T13:24:00Z,33.00,67.50
2026-02-26T13:25:00Z,33.00,68.00
2026-02-26T13:29:00Z,33.00,68.00
2026-02-26T13:30:00Z,33.00,68.00
2026-02-26T13:31:00Z,33.00,67.00
2026-02-26T13:32:00Z,32.00,68.00
2026-02-26T13:35:00Z,32.00,68.00
2026-02-26T13:36:00Z,33.81,68.00
2026-02-26T13:37:00Z,33.81,68.00
2026-02-26T13:39:00Z,34.80,68.00
2026-02-26T13:41:00Z,34.00,68.00
2026-02-26T13:42:00Z,34.00,68.00
