# event_ticker=KXATPCHALLENGERMATCH-26FEB17MARAVE
# final_score=7-5 RET
# match_winner=Alafia Ayeni
# fav_player=Alafia Ayeni
# dog_player=Dan Martin
# kalshi_date=2026-02-17
timestamp,Alafia Ayeni,Dan Martin
2026-02-17T16:21:00Z,,41.72
2026-02-17T16:24:00Z,58.11,41.72
2026-02-17T16:25:00Z,57.00,41.72
2026-02-17T17:37:00Z,57.00,47.75
2026-02-17T18:01:00Z,55.00,47.75
2026-02-17T18:03:00Z,55.00,47.75
2026-02-17T18:05:00Z,55.00,49.00
2026-02-17T18:17:00Z,55.00,49.00
2026-02-17T18:22:00Z,55.00,49.00
2026-02-17T18:27:00Z,55.00,49.00
2026-02-17T18:36:00Z,55.00,50.53
2026-02-17T18:38:00Z,55.00,50.00
2026-02-17T18:40:00Z,54.95,50.00
2026-02-17T18:41:00Z,56.00,46.00
2026-02-17T18:42:00Z,56.05,46.00
2026-02-17T18:43:00Z,56.77,46.03
2026-02-17T18:44:00Z,56.77,47.01
2026-02-17T18:45:00Z,56.77,49.92
2026-02-17T18:46:00Z,56.56,45.79
2026-02-17T18:47:00Z,57.98,43.34
2026-02-17T18:48:00Z,57.98,47.71
2026-02-17T18:49:00Z,57.23,41.00
2026-02-17T18:50:00Z,54.13,45.53
2026-02-17T18:51:00Z,61.00,43.12
2026-02-17T18:52:00Z,58.59,39.95
2026-02-17T18:53:00Z,60.00,42.00
2026-02-17T18:54:00Z,60.92,37.80
2026-02-17T18:55:00Z,67.25,35.15
2026-02-17T18:56:00Z,60.44,42.00
2026-02-17T18:57:00Z,61.96,40.18
2026-02-17T18:58:00Z,63.64,35.04
2026-02-17T18:59:00Z,61.90,42.00
2026-02-17T19:00:00Z,57.95,41.00
2026-02-17T19:01:00Z,60.35,38.34
2026-02-17T19:02:00Z,63.02,38.34
2026-02-17T19:03:00Z,64.42,36.48
2026-02-17T19:04:00Z,64.07,38.00
2026-02-17T19:05:00Z,65.27,33.81
2026-02-17T19:06:00Z,62.00,36.48
2026-02-17T19:07:00Z,63.11,37.43
2026-02-17T19:08:00Z,65.53,34.00
2026-02-17T19:09:00Z,65.53,34.81
2026-02-17T19:10:00Z,65.53,37.00
2026-02-17T19:11:00Z,63.63,38.27
2026-02-17T19:12:00Z,60.00,44.85
2026-02-17T19:13:00Z,58.37,38.60
2026-02-17T19:14:00Z,66.07,35.04
2026-02-17T19:15:00Z,65.30,33.41
2026-02-17T19:16:00Z,66.65,32.85
2026-02-17T19:17:00Z,65.00,36.01
2026-02-17T19:18:00Z,64.87,39.75
2026-02-17T19:19:00Z,70.00,31.00
2026-02-17T19:20:00Z,70.00,29.83
2026-02-17T19:21:00Z,73.36,26.53
2026-02-17T19:22:00Z,69.13,26.71
2026-02-17T19:23:00Z,68.58,27.79
2026-02-17T19:24:00Z,67.00,34.14
2026-02-17T19:25:00Z,68.57,33.38
2026-02-17T19:26:00Z,72.67,29.50
2026-02-17T19:27:00Z,74.15,25.40
2026-02-17T19:28:00Z,79.24,21.73
2026-02-17T19:29:00Z,70.46,25.21
2026-02-17T19:30:00Z,68.00,32.94
2026-02-17T19:31:00Z,69.07,34.28
2026-02-17T19:32:00Z,66.38,33.89
2026-02-17T19:33:00Z,69.93,31.94
2026-02-17T19:34:00Z,75.25,28.06
2026-02-17T19:35:00Z,83.62,21.60
2026-02-17T19:36:00Z,86.40,13.53
2026-02-17T19:37:00Z,87.03,12.95
2026-02-17T19:38:00Z,91.00,9.58
2026-02-17T19:39:00Z,90.18,11.86
2026-02-17T19:40:00Z,86.91,19.24
2026-02-17T19:41:00Z,84.57,26.58
2026-02-17T19:42:00Z,87.00,33.86
2026-02-17T19:43:00Z,88.54,13.05
2026-02-17T19:44:00Z,96.63,2.57
2026-02-17T19:45:00Z,96.90,1.94
2026-02-17T19:46:00Z,98.00,1.02
2026-02-17T19:48:00Z,99.00,1.02
2026-02-17T19:49:00Z,99.00,1.02
2026-02-17T19:50:00Z,99.00,1.02
2026-02-17T19:51:00Z,99.00,1.02
