# event_ticker=KXATPCHALLENGERMATCH-26APR29BERCOP
# final_score=6-4 7-5
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Remy Bertola
# kalshi_date=2026-04-29
timestamp,Remy Bertola,Kimmer Coppejans
2026-04-28T23:57:00Z,,57.00
2026-04-29T00:08:00Z,,57.00
2026-04-29T02:22:00Z,,56.00
2026-04-29T02:34:00Z,,56.00
2026-04-29T02:39:00Z,,54.85
2026-04-29T02:52:00Z,,56.00
2026-04-29T02:58:00Z,45.00,56.00
2026-04-29T03:14:00Z,45.00,56.00
2026-04-29T03:16:00Z,45.00,56.00
2026-04-29T03:37:00Z,45.00,56.00
2026-04-29T04:13:00Z,45.00,56.00
2026-04-29T04:27:00Z,45.00,56.00
2026-04-29T04:40:00Z,45.00,56.00
2026-04-29T04:48:00Z,45.00,56.00
2026-04-29T05:06:00Z,44.00,56.00
2026-04-29T05:13:00Z,44.00,56.00
2026-04-29T05:14:00Z,44.00,56.00
2026-04-29T05:15:00Z,44.00,56.00
2026-04-29T05:17:00Z,44.00,56.00
2026-04-29T05:35:00Z,44.00,56.00
2026-04-29T05:36:00Z,44.00,56.00
2026-04-29T05:38:00Z,44.00,56.00
2026-04-29T05:54:00Z,45.00,56.00
2026-04-29T05:57:00Z,45.00,56.00
2026-04-29T06:25:00Z,45.00,56.00
2026-04-29T06:30:00Z,45.00,56.00
2026-04-29T06:35:00Z,45.00,56.00
2026-04-29T07:47:00Z,45.00,56.00
2026-04-29T09:13:00Z,45.00,56.00
2026-04-29T09:42:00Z,45.00,56.00
2026-04-29T09:43:00Z,45.00,56.00
2026-04-29T09:50:00Z,45.00,56.00
2026-04-29T09:58:00Z,45.00,56.00
2026-04-29T09:59:00Z,45.00,56.00
2026-04-29T10:00:00Z,45.00,56.00
2026-04-29T10:07:00Z,45.00,56.00
2026-04-29T10:10:00Z,45.00,56.00
2026-04-29T10:21:00Z,45.00,56.00
2026-04-29T10:23:00Z,45.00,56.00
2026-04-29T10:26:00Z,45.00,56.00
2026-04-29T10:27:00Z,45.00,53.36
2026-04-29T10:29:00Z,45.00,55.00
2026-04-29T10:31:00Z,44.00,55.00
2026-04-29T10:32:00Z,44.00,59.65
2026-04-29T10:33:00Z,44.00,57.36
2026-04-29T10:34:00Z,44.00,67.56
2026-04-29T10:35:00Z,44.00,65.02
2026-04-29T10:36:00Z,44.00,63.00
2026-04-29T10:39:00Z,44.00,56.00
2026-04-29T10:40:00Z,46.00,54.00
2026-04-29T10:41:00Z,49.85,52.73
2026-04-29T10:42:00Z,50.00,51.00
2026-04-29T10:43:00Z,55.22,52.61
2026-04-29T10:44:00Z,56.00,42.61
2026-04-29T10:45:00Z,61.00,38.58
2026-04-29T10:46:00Z,59.67,39.48
2026-04-29T10:47:00Z,64.96,35.26
2026-04-29T10:48:00Z,68.00,30.34
2026-04-29T10:49:00Z,66.09,36.00
2026-04-29T10:50:00Z,66.09,33.00
2026-04-29T10:51:00Z,68.00,34.00
2026-04-29T10:52:00Z,68.98,33.02
2026-04-29T10:53:00Z,68.00,34.64
2026-04-29T10:54:00Z,62.47,38.27
2026-04-29T10:55:00Z,62.47,37.84
2026-04-29T10:56:00Z,63.68,38.41
2026-04-29T10:57:00Z,60.53,39.13
2026-04-29T10:58:00Z,57.60,49.50
2026-04-29T10:59:00Z,50.00,51.00
2026-04-29T11:00:00Z,41.88,53.79
2026-04-29T11:01:00Z,47.24,55.65
2026-04-29T11:02:00Z,50.16,52.66
2026-04-29T11:03:00Z,40.68,60.52
2026-04-29T11:04:00Z,33.30,66.38
2026-04-29T11:05:00Z,34.69,64.78
2026-04-29T11:06:00Z,32.35,67.88
2026-04-29T11:07:00Z,25.00,75.71
2026-04-29T11:08:00Z,25.31,74.39
2026-04-29T11:09:00Z,31.36,66.65
2026-04-29T11:10:00Z,26.10,73.18
2026-04-29T11:11:00Z,18.36,80.06
2026-04-29T11:12:00Z,19.00,81.83
2026-04-29T11:13:00Z,19.00,80.08
2026-04-29T11:14:00Z,20.00,80.20
2026-04-29T11:15:00Z,20.99,79.12
2026-04-29T11:16:00Z,16.00,82.35
2026-04-29T11:17:00Z,12.92,86.58
2026-04-29T11:18:00Z,14.42,83.18
2026-04-29T11:19:00Z,16.38,83.56
2026-04-29T11:20:00Z,18.21,79.57
2026-04-29T11:21:00Z,23.08,77.00
2026-04-29T11:22:00Z,28.83,73.00
2026-04-29T11:23:00Z,27.99,73.05
2026-04-29T11:24:00Z,26.81,72.06
2026-04-29T11:25:00Z,27.77,72.52
2026-04-29T11:26:00Z,25.95,75.06
2026-04-29T11:27:00Z,23.70,76.17
2026-04-29T11:28:00Z,24.00,77.42
2026-04-29T11:29:00Z,18.00,81.00
2026-04-29T11:30:00Z,17.57,82.34
2026-04-29T11:31:00Z,19.95,82.04
2026-04-29T11:32:00Z,23.73,77.05
2026-04-29T11:33:00Z,24.00,76.61
2026-04-29T11:34:00Z,30.95,70.24
2026-04-29T11:35:00Z,33.72,65.50
2026-04-29T11:36:00Z,30.18,67.40
2026-04-29T11:37:00Z,35.83,62.73
2026-04-29T11:38:00Z,31.02,68.31
2026-04-29T11:39:00Z,37.56,62.03
2026-04-29T11:40:00Z,39.59,60.48
2026-04-29T11:41:00Z,40.75,59.42
2026-04-29T11:42:00Z,40.88,61.05
2026-04-29T11:43:00Z,37.61,62.20
2026-04-29T11:44:00Z,36.19,63.29
2026-04-29T11:45:00Z,33.11,65.99
2026-04-29T11:46:00Z,38.31,62.03
2026-04-29T11:47:00Z,41.00,59.00
2026-04-29T11:48:00Z,41.91,58.32
2026-04-29T11:49:00Z,40.00,60.37
2026-04-29T11:50:00Z,40.00,61.00
