# event_ticker=KXATPCHALLENGERMATCH-26APR07COLOCO
# final_score=6-2 6-2
# match_winner=Raphael Collignon
# fav_player=Raphael Collignon
# dog_player=Christopher O'Connell
# kalshi_date=2026-04-07
timestamp,Raphael Collignon,Christopher O'Connell
2026-04-06T23:19:00Z,73.15,
2026-04-06T23:57:00Z,74.00,
2026-04-07T00:22:00Z,74.00,
2026-04-07T01:20:00Z,74.00,
2026-04-07T01:41:00Z,74.00,26.00
2026-04-07T04:34:00Z,76.00,26.00
2026-04-07T04:35:00Z,76.00,26.00
2026-04-07T04:47:00Z,75.00,26.00
2026-04-07T05:42:00Z,75.00,26.00
2026-04-07T05:54:00Z,76.13,26.00
2026-04-07T06:12:00Z,77.00,26.00
2026-04-07T06:25:00Z,77.00,26.00
2026-04-07T07:54:00Z,77.00,25.00
2026-04-07T07:56:00Z,77.00,26.00
2026-04-07T08:06:00Z,77.00,25.00
2026-04-07T08:16:00Z,77.00,25.00
2026-04-07T08:43:00Z,77.00,25.00
2026-04-07T09:20:00Z,77.00,25.00
2026-04-07T09:21:00Z,77.00,25.00
2026-04-07T09:29:00Z,77.00,25.00
2026-04-07T09:40:00Z,76.00,25.00
2026-04-07T09:50:00Z,76.00,25.00
2026-04-07T10:00:00Z,77.00,25.00
2026-04-07T10:28:00Z,77.00,25.00
2026-04-07T10:29:00Z,79.00,24.00
2026-04-07T10:32:00Z,78.00,24.00
2026-04-07T10:35:00Z,74.00,27.03
2026-04-07T10:36:00Z,76.00,27.03
2026-04-07T10:37:00Z,75.31,27.03
2026-04-07T10:38:00Z,79.00,27.03
2026-04-07T10:41:00Z,79.00,24.55
2026-04-07T10:42:00Z,79.00,23.00
2026-04-07T10:43:00Z,79.00,21.27
2026-04-07T10:45:00Z,74.00,28.00
2026-04-07T10:46:00Z,72.00,27.00
2026-04-07T10:51:00Z,74.00,27.00
2026-04-07T10:52:00Z,83.84,19.11
2026-04-07T10:53:00Z,85.36,16.00
2026-04-07T10:54:00Z,89.00,12.00
2026-04-07T10:55:00Z,86.00,12.00
2026-04-07T10:56:00Z,86.00,14.04
2026-04-07T10:57:00Z,87.00,14.04
2026-04-07T10:58:00Z,87.00,12.00
2026-04-07T10:59:00Z,90.00,12.00
2026-04-07T11:01:00Z,90.00,11.82
2026-04-07T11:03:00Z,90.00,10.00
2026-04-07T11:04:00Z,93.00,9.00
2026-04-07T11:05:00Z,93.00,7.00
2026-04-07T11:06:00Z,93.00,7.00
2026-04-07T11:07:00Z,93.00,7.00
2026-04-07T11:08:00Z,93.00,7.00
2026-04-07T11:09:00Z,93.00,7.00
2026-04-07T11:10:00Z,94.01,10.00
2026-04-07T11:11:00Z,94.00,5.00
2026-04-07T11:12:00Z,96.35,4.00
2026-04-07T11:13:00Z,96.45,3.00
2026-04-07T11:14:00Z,96.45,4.88
2026-04-07T11:15:00Z,98.00,3.00
2026-04-07T11:16:00Z,99.00,2.00
2026-04-07T11:18:00Z,98.98,2.01
2026-04-07T11:19:00Z,99.00,2.01
2026-04-07T11:20:00Z,99.00,2.01
2026-04-07T11:21:00Z,99.00,2.00
2026-04-07T11:22:00Z,99.00,2.00
2026-04-07T11:23:00Z,99.00,2.00
2026-04-07T11:24:00Z,99.00,2.00
2026-04-07T11:25:00Z,99.00,1.00
2026-04-07T11:30:00Z,99.00,2.00
2026-04-07T11:31:00Z,99.00,1.03
2026-04-07T11:33:00Z,98.00,1.52
2026-04-07T11:35:00Z,98.00,1.00
2026-04-07T11:36:00Z,99.00,1.00
