# event_ticker=KXATPMATCH-26MAR04MAEHIJ
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Rinky Hijikata
# fav_player=Francesco Maestrelli
# dog_player=Rinky Hijikata
# kalshi_date=2026-03-04
timestamp,Francesco Maestrelli,Rinky Hijikata
2026-03-05T15:03:00Z,,57.00
2026-03-05T15:15:00Z,,57.00
2026-03-05T15:38:00Z,44.00,57.00
2026-03-05T15:46:00Z,44.00,57.00
2026-03-05T15:47:00Z,43.05,57.00
2026-03-05T15:56:00Z,44.00,57.00
2026-03-05T15:58:00Z,44.00,57.00
2026-03-05T16:28:00Z,44.00,57.00
2026-03-05T16:32:00Z,44.00,57.00
2026-03-05T16:34:00Z,44.00,57.00
2026-03-05T16:43:00Z,44.00,57.00
2026-03-05T16:44:00Z,44.00,57.00
2026-03-05T16:45:00Z,44.00,57.00
2026-03-05T16:47:00Z,44.00,57.00
2026-03-05T16:53:00Z,44.00,57.00
2026-03-05T16:55:00Z,44.00,57.00
2026-03-05T17:09:00Z,43.00,57.00
2026-03-05T17:14:00Z,43.00,57.00
2026-03-05T17:17:00Z,43.00,57.00
2026-03-05T17:19:00Z,43.00,57.17
2026-03-05T17:29:00Z,43.00,57.21
2026-03-05T17:34:00Z,43.00,58.00
2026-03-05T17:51:00Z,43.00,58.00
2026-03-05T18:06:00Z,44.09,58.00
2026-03-05T18:08:00Z,45.00,58.00
2026-03-05T18:18:00Z,44.00,58.00
2026-03-05T18:26:00Z,43.00,58.00
2026-03-05T18:29:00Z,43.00,58.00
2026-03-05T18:30:00Z,44.00,58.00
2026-03-05T18:38:00Z,44.00,58.00
2026-03-05T19:16:00Z,44.00,58.00
2026-03-05T19:37:00Z,42.00,58.00
2026-03-05T20:04:00Z,43.00,57.00
2026-03-05T20:11:00Z,43.00,56.00
2026-03-05T20:17:00Z,44.00,56.00
2026-03-05T20:29:00Z,44.00,56.00
2026-03-05T20:34:00Z,45.00,56.00
2026-03-05T21:10:00Z,45.00,56.00
2026-03-05T21:12:00Z,45.00,56.00
2026-03-05T21:16:00Z,45.00,56.00
2026-03-05T21:29:00Z,45.00,56.00
2026-03-05T21:31:00Z,45.00,56.00
2026-03-05T21:48:00Z,45.00,56.00
2026-03-05T21:49:00Z,45.00,55.00
2026-03-05T21:50:00Z,45.00,56.00
2026-03-05T22:02:00Z,44.00,56.00
2026-03-05T22:05:00Z,45.00,56.00
