# event_ticker=KXATPMATCH-25SEP25RUUMOC
# final_score=4-6 6-1 6-1
# score_resolution=6-4 1-6 1-6
# match_winner=Casper Ruud
# fav_player=Shintaro Mochizuki
# dog_player=Casper Ruud
# kalshi_date=2025-09-25
timestamp,Shintaro Mochizuki,Casper Ruud
2025-09-24T21:42:00Z,31.00,70.00
2025-09-24T22:44:00Z,31.00,70.00
2025-09-25T00:04:00Z,31.00,70.00
2025-09-25T01:27:00Z,31.00,70.00
2025-09-25T01:28:00Z,31.00,69.00
2025-09-25T01:45:00Z,31.00,69.00
2025-09-25T02:27:00Z,31.00,70.00
2025-09-25T02:30:00Z,31.00,70.00
2025-09-25T02:32:00Z,31.00,70.00
2025-09-25T03:05:00Z,31.00,70.00
2025-09-25T03:08:00Z,31.00,70.00
2025-09-25T03:10:00Z,31.00,70.00
2025-09-25T03:15:00Z,31.00,69.00
2025-09-25T03:40:00Z,32.00,70.00
2025-09-25T03:43:00Z,32.00,70.00
2025-09-25T03:52:00Z,32.00,70.00
2025-09-25T04:11:00Z,32.00,69.00
2025-09-25T04:38:00Z,32.00,70.00
2025-09-25T04:42:00Z,30.00,70.00
2025-09-25T04:43:00Z,30.00,70.00
2025-09-25T04:48:00Z,31.00,70.00
2025-09-25T04:56:00Z,31.00,70.00
2025-09-25T05:06:00Z,31.00,70.00
2025-09-25T05:09:00Z,31.00,70.00
2025-09-25T05:14:00Z,31.00,70.00
2025-09-25T05:15:00Z,31.00,70.00
2025-09-25T05:19:00Z,31.00,69.01
2025-09-25T05:22:00Z,30.00,69.01
2025-09-25T05:45:00Z,30.00,69.01
2025-09-25T05:51:00Z,30.00,71.00
2025-09-25T05:54:00Z,30.00,71.00
2025-09-25T06:10:00Z,30.00,71.00
2025-09-25T06:21:00Z,30.00,71.00
2025-09-25T06:26:00Z,30.00,71.00
2025-09-25T06:31:00Z,30.00,71.00
2025-09-25T06:34:00Z,30.00,71.34
2025-09-25T06:36:00Z,30.00,71.34
2025-09-25T06:45:00Z,30.00,72.00
2025-09-25T06:47:00Z,30.00,72.00
2025-09-25T06:48:00Z,29.00,72.00
2025-09-25T06:53:00Z,29.00,71.00
2025-09-25T06:57:00Z,30.00,71.00
2025-09-25T06:59:00Z,30.00,70.00
2025-09-25T09:01:00Z,4.00,81.51
2025-09-25T09:02:00Z,4.00,99.00
