# event_ticker=KXATPCHALLENGERMATCH-26MAY26BROCOU
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Eliakim Coulibaly
# fav_player=Preston Brown
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-05-26
timestamp,Preston Brown,Eliakim Coulibaly
2026-05-26T02:26:00Z,,90.00
2026-05-26T02:29:00Z,10.00,90.00
2026-05-26T02:30:00Z,10.00,90.00
2026-05-26T04:11:00Z,9.42,90.00
2026-05-26T04:39:00Z,9.42,90.00
2026-05-26T04:53:00Z,9.42,90.00
2026-05-26T05:32:00Z,9.00,90.00
2026-05-26T05:33:00Z,9.00,90.00
2026-05-26T05:40:00Z,15.57,87.00
2026-05-26T08:22:00Z,9.00,87.00
2026-05-26T10:41:00Z,10.00,94.00
2026-05-26T11:22:00Z,12.34,89.00
2026-05-26T11:24:00Z,12.34,93.00
2026-05-26T12:00:00Z,11.00,93.00
2026-05-26T12:02:00Z,5.00,95.00
2026-05-26T12:05:00Z,7.00,95.00
2026-05-26T12:08:00Z,10.75,92.00
2026-05-26T12:10:00Z,8.68,92.00
2026-05-26T12:11:00Z,9.00,91.00
2026-05-26T12:12:00Z,9.00,91.00
2026-05-26T12:13:00Z,9.15,91.00
2026-05-26T12:14:00Z,10.00,91.00
2026-05-26T12:15:00Z,10.00,91.00
2026-05-26T12:16:00Z,10.00,91.00
2026-05-26T12:17:00Z,9.00,92.00
2026-05-26T12:18:00Z,11.12,92.00
2026-05-26T12:19:00Z,12.00,90.00
2026-05-26T12:20:00Z,12.00,90.00
2026-05-26T12:21:00Z,17.98,83.57
2026-05-26T12:22:00Z,20.53,82.75
2026-05-26T12:23:00Z,16.00,85.00
2026-05-26T12:24:00Z,17.00,85.00
2026-05-26T12:25:00Z,17.59,85.00
2026-05-26T12:26:00Z,14.29,86.67
2026-05-26T12:27:00Z,12.35,88.80
2026-05-26T12:28:00Z,12.00,88.80
2026-05-26T12:29:00Z,12.00,88.80
2026-05-26T12:30:00Z,13.12,88.80
2026-05-26T12:31:00Z,13.12,89.00
2026-05-26T12:32:00Z,11.00,89.00
2026-05-26T12:33:00Z,13.00,89.00
2026-05-26T12:34:00Z,13.00,87.00
2026-05-26T12:35:00Z,11.46,88.00
2026-05-26T12:36:00Z,11.46,90.00
2026-05-26T12:37:00Z,6.64,93.00
2026-05-26T12:38:00Z,7.00,93.00
2026-05-26T12:39:00Z,6.99,93.00
2026-05-26T12:40:00Z,5.00,96.00
2026-05-26T12:41:00Z,5.00,96.67
2026-05-26T12:42:00Z,4.35,96.00
2026-05-26T12:43:00Z,4.90,96.00
2026-05-26T12:44:00Z,4.50,96.12
2026-05-26T12:45:00Z,5.00,97.00
2026-05-26T12:46:00Z,5.23,96.00
2026-05-26T12:47:00Z,5.47,95.22
2026-05-26T12:48:00Z,5.00,95.22
2026-05-26T12:49:00Z,5.00,95.22
2026-05-26T12:50:00Z,4.00,95.02
2026-05-26T12:51:00Z,4.00,97.00
2026-05-26T12:52:00Z,6.73,95.75
2026-05-26T12:53:00Z,7.93,94.00
2026-05-26T12:54:00Z,5.29,95.00
2026-05-26T12:55:00Z,5.29,96.00
2026-05-26T12:56:00Z,5.00,96.00
2026-05-26T12:57:00Z,4.97,97.00
2026-05-26T12:58:00Z,5.00,97.00
2026-05-26T12:59:00Z,5.11,96.00
2026-05-26T13:00:00Z,5.00,96.00
2026-05-26T13:01:00Z,7.89,94.37
2026-05-26T13:02:00Z,9.57,93.00
2026-05-26T13:03:00Z,8.00,94.89
2026-05-26T13:04:00Z,7.00,94.89
2026-05-26T13:06:00Z,5.24,95.94
2026-05-26T13:07:00Z,5.00,95.94
2026-05-26T13:08:00Z,2.43,95.94
2026-05-26T13:09:00Z,4.09,97.81
2026-05-26T13:10:00Z,2.76,98.00
2026-05-26T13:11:00Z,2.00,98.00
2026-05-26T13:12:00Z,1.00,98.00
2026-05-26T13:13:00Z,1.91,98.00
2026-05-26T13:14:00Z,1.00,98.00
2026-05-26T13:16:00Z,1.00,98.00
2026-05-26T13:17:00Z,1.51,99.00
2026-05-26T13:19:00Z,1.00,99.00
2026-05-26T13:20:00Z,1.00,99.00
