# event_ticker=KXATPMATCH-26MAR20DAMZVE
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Alexander Zverev
# fav_player=Martin Damm Jr
# dog_player=Alexander Zverev
# kalshi_date=2026-03-20
timestamp,Martin Damm Jr,Alexander Zverev
2026-03-21T13:36:00Z,,91.00
2026-03-21T13:37:00Z,,91.00
2026-03-21T13:38:00Z,11.00,91.00
2026-03-21T13:44:00Z,11.00,91.00
2026-03-21T13:50:00Z,11.00,91.00
2026-03-21T13:51:00Z,11.00,91.00
2026-03-21T14:06:00Z,11.00,91.00
2026-03-21T14:09:00Z,11.00,91.00
2026-03-21T14:33:00Z,11.00,91.00
2026-03-21T14:45:00Z,11.00,91.00
2026-03-21T14:49:00Z,11.00,91.00
2026-03-21T15:06:00Z,11.00,91.00
2026-03-21T15:20:00Z,11.00,90.00
2026-03-21T15:22:00Z,11.00,90.00
2026-03-21T15:34:00Z,11.00,90.00
2026-03-21T15:35:00Z,11.00,90.00
2026-03-21T15:40:00Z,11.00,89.00
2026-03-21T15:47:00Z,11.00,90.00
2026-03-21T15:50:00Z,11.00,90.00
2026-03-21T15:58:00Z,11.00,90.00
2026-03-21T15:59:00Z,11.00,90.00
2026-03-21T16:10:00Z,11.00,89.00
2026-03-21T16:14:00Z,11.00,90.00
2026-03-21T16:34:00Z,11.00,89.00
2026-03-21T16:38:00Z,11.00,90.00
2026-03-21T16:46:00Z,11.00,90.00
2026-03-21T16:49:00Z,11.00,90.00
2026-03-21T16:51:00Z,11.00,90.00
2026-03-21T16:56:00Z,11.00,90.00
2026-03-21T17:22:00Z,11.00,90.00
2026-03-21T17:46:00Z,11.00,90.00
2026-03-21T17:51:00Z,10.00,91.00
2026-03-21T17:52:00Z,10.00,91.00
2026-03-21T17:58:00Z,11.00,91.00
2026-03-21T18:05:00Z,11.00,91.00
2026-03-21T18:07:00Z,11.00,91.00
2026-03-21T18:12:00Z,11.00,91.00
2026-03-21T18:25:00Z,11.00,91.00
2026-03-21T18:28:00Z,11.00,91.00
2026-03-21T18:35:00Z,11.00,91.00
2026-03-21T18:44:00Z,11.00,91.00
2026-03-21T18:55:00Z,11.00,91.00
2026-03-21T19:00:00Z,11.00,91.00
2026-03-21T19:01:00Z,11.00,91.00
2026-03-21T19:06:00Z,9.72,91.00
2026-03-21T19:13:00Z,9.72,91.00
2026-03-21T19:18:00Z,9.72,91.00
2026-03-21T19:27:00Z,10.00,91.00
2026-03-21T19:35:00Z,11.00,91.00
2026-03-21T19:39:00Z,11.00,91.00
2026-03-21T19:51:00Z,11.00,91.00
2026-03-21T19:55:00Z,11.00,91.00
2026-03-21T20:19:00Z,11.00,91.00
2026-03-21T20:42:00Z,11.00,91.00
2026-03-21T20:50:00Z,11.00,91.00
2026-03-21T20:52:00Z,11.00,91.00
2026-03-21T21:00:00Z,11.00,91.00
2026-03-21T21:01:00Z,11.00,91.00
2026-03-21T21:06:00Z,11.00,91.00
2026-03-21T21:09:00Z,11.00,91.00
2026-03-21T21:10:00Z,11.00,89.00
2026-03-21T21:11:00Z,11.00,90.00
2026-03-21T21:18:00Z,11.00,91.00
2026-03-21T21:19:00Z,11.00,91.00
2026-03-21T21:22:00Z,11.00,90.00
