# event_ticker=KXATPMATCH-25OCT03BELMAC
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Tomas Machac
# fav_player=Mattia Bellucci
# dog_player=Tomas Machac
# kalshi_date=2025-10-03
timestamp,Mattia Bellucci,Tomas Machac
2025-10-02T21:05:00Z,45.00,62.00
2025-10-02T21:37:00Z,45.00,63.00
2025-10-02T21:40:00Z,45.00,63.00
2025-10-02T22:02:00Z,45.00,64.00
2025-10-02T22:07:00Z,45.00,64.00
2025-10-02T22:12:00Z,45.00,64.00
2025-10-02T23:32:00Z,45.00,64.00
2025-10-02T23:39:00Z,45.00,64.00
2025-10-02T23:45:00Z,45.00,64.00
2025-10-03T00:27:00Z,37.00,64.00
2025-10-03T00:36:00Z,37.00,64.00
2025-10-03T01:01:00Z,37.00,64.00
2025-10-03T01:15:00Z,37.00,64.00
2025-10-03T01:21:00Z,37.00,64.00
2025-10-03T02:01:00Z,38.00,63.00
2025-10-03T02:07:00Z,38.00,64.00
2025-10-03T02:50:00Z,38.00,64.00
2025-10-03T02:59:00Z,38.00,64.00
2025-10-03T03:07:00Z,37.00,64.00
2025-10-03T03:10:00Z,38.04,63.00
2025-10-03T03:37:00Z,38.04,63.00
2025-10-03T03:43:00Z,38.04,63.00
2025-10-03T03:46:00Z,38.00,63.00
2025-10-03T03:49:00Z,38.00,63.00
2025-10-03T03:50:00Z,38.00,62.00
2025-10-03T03:56:00Z,38.00,62.00
2025-10-03T03:59:00Z,38.00,62.00
2025-10-03T04:01:00Z,38.00,62.04
2025-10-03T04:02:00Z,38.00,63.00
2025-10-03T04:03:00Z,38.00,63.00
2025-10-03T04:05:00Z,38.00,63.00
2025-10-03T04:11:00Z,38.00,63.00
2025-10-03T04:17:00Z,38.00,63.00
2025-10-03T04:25:00Z,38.00,63.00
2025-10-03T04:30:00Z,38.00,63.00
2025-10-03T04:41:00Z,38.00,63.00
2025-10-03T04:59:00Z,38.00,63.00
