# event_ticker=KXATPMATCH-25NOV04MCDETC
# final_score=6-7(5) 7-6(3) 6-3
# score_resolution=7-6 6-7 3-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Mackenzie McDonald
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-11-04
timestamp,Mackenzie McDonald,Tomas Martin Etcheverry
2025-11-04T01:07:00Z,44.00,
2025-11-04T01:12:00Z,44.00,57.00
2025-11-04T01:13:00Z,44.00,57.00
2025-11-04T01:56:00Z,44.00,57.00
2025-11-04T02:39:00Z,44.00,53.00
2025-11-04T02:40:00Z,44.00,53.00
2025-11-04T02:51:00Z,44.00,53.00
2025-11-04T02:52:00Z,44.00,53.00
2025-11-04T02:53:00Z,44.00,53.00
2025-11-04T02:54:00Z,44.00,53.00
2025-11-04T02:55:00Z,44.00,53.00
2025-11-04T02:56:00Z,44.00,53.05
2025-11-04T02:57:00Z,44.00,53.00
2025-11-04T02:58:00Z,44.00,53.00
2025-11-04T02:59:00Z,44.00,53.00
2025-11-04T03:00:00Z,44.00,53.00
2025-11-04T03:01:00Z,44.00,53.00
2025-11-04T03:02:00Z,44.00,53.00
2025-11-04T03:03:00Z,44.00,53.00
2025-11-04T03:04:00Z,44.00,53.00
2025-11-04T03:05:00Z,44.00,53.00
2025-11-04T03:06:00Z,44.00,53.00
2025-11-04T03:07:00Z,44.00,53.00
2025-11-04T03:08:00Z,44.00,53.00
2025-11-04T03:09:00Z,44.00,53.00
2025-11-04T03:10:00Z,44.00,53.64
2025-11-04T03:11:00Z,44.00,53.00
2025-11-04T03:12:00Z,44.00,53.00
2025-11-04T03:13:00Z,44.00,53.00
2025-11-04T03:14:00Z,44.00,53.00
2025-11-04T03:15:00Z,44.00,53.82
2025-11-04T03:16:00Z,44.00,53.00
2025-11-04T03:17:00Z,44.00,53.00
2025-11-04T03:19:00Z,44.00,53.00
2025-11-04T03:20:00Z,44.00,54.00
2025-11-04T03:22:00Z,44.00,54.00
2025-11-04T03:23:00Z,44.00,55.00
2025-11-04T03:26:00Z,44.00,54.00
2025-11-04T03:27:00Z,44.00,54.75
2025-11-04T03:29:00Z,44.00,54.00
2025-11-04T03:30:00Z,44.00,54.99
2025-11-04T03:32:00Z,44.00,54.00
2025-11-04T03:44:00Z,44.00,54.00
2025-11-04T03:45:00Z,44.00,54.00
2025-11-04T03:46:00Z,44.00,55.00
2025-11-04T03:50:00Z,44.00,55.00
2025-11-04T03:54:00Z,44.45,55.00
2025-11-04T03:56:00Z,46.00,55.00
2025-11-04T03:59:00Z,46.00,55.00
2025-11-04T04:09:00Z,46.00,55.00
2025-11-04T04:13:00Z,46.00,55.00
2025-11-04T04:14:00Z,46.00,55.00
2025-11-04T04:15:00Z,46.00,55.00
2025-11-04T04:17:00Z,46.00,55.00
2025-11-04T04:21:00Z,46.00,55.56
2025-11-04T04:23:00Z,46.00,56.00
2025-11-04T04:24:00Z,46.00,56.00
2025-11-04T04:30:00Z,46.00,56.00
2025-11-04T04:32:00Z,46.00,56.00
2025-11-04T04:33:00Z,46.00,56.00
2025-11-04T04:34:00Z,46.00,56.00
2025-11-04T04:35:00Z,46.00,56.00
2025-11-04T04:36:00Z,46.00,56.00
2025-11-04T04:37:00Z,46.00,56.00
2025-11-04T04:39:00Z,46.00,56.00
2025-11-04T04:42:00Z,46.00,56.00
2025-11-04T04:45:00Z,46.00,56.00
2025-11-04T04:46:00Z,46.00,56.00
2025-11-04T04:50:00Z,46.00,56.00
2025-11-04T04:56:00Z,46.00,56.00
2025-11-04T05:00:00Z,46.00,55.00
2025-11-04T05:01:00Z,46.00,56.00
2025-11-04T05:08:00Z,46.00,56.00
2025-11-04T05:13:00Z,46.00,56.00
2025-11-04T05:19:00Z,46.00,56.00
2025-11-04T05:23:00Z,46.00,56.00
2025-11-04T05:24:00Z,46.00,56.00
2025-11-04T05:25:00Z,46.00,56.00
2025-11-04T05:26:00Z,46.00,56.00
2025-11-04T05:30:00Z,46.00,56.00
2025-11-04T05:33:00Z,46.00,56.00
2025-11-04T05:37:00Z,46.00,56.00
2025-11-04T05:41:00Z,46.00,56.00
2025-11-04T05:42:00Z,46.00,56.00
2025-11-04T05:47:00Z,46.00,56.00
2025-11-04T05:48:00Z,46.00,56.00
2025-11-04T05:51:00Z,46.00,56.00
2025-11-04T05:54:00Z,46.00,56.00
2025-11-04T05:56:00Z,46.00,56.00
2025-11-04T05:58:00Z,46.00,56.00
2025-11-04T05:59:00Z,46.00,56.00
2025-11-04T06:01:00Z,46.00,56.00
2025-11-04T06:02:00Z,46.00,56.00
2025-11-04T06:03:00Z,46.00,56.00
2025-11-04T06:04:00Z,45.00,56.00
2025-11-04T06:05:00Z,46.00,56.00
2025-11-04T06:06:00Z,46.00,56.00
2025-11-04T06:08:00Z,46.00,56.00
2025-11-04T06:10:00Z,46.00,56.00
2025-11-04T06:11:00Z,46.00,56.00
2025-11-04T06:13:00Z,46.00,56.00
2025-11-04T06:14:00Z,46.00,55.00
2025-11-04T06:15:00Z,46.00,55.00
2025-11-04T06:17:00Z,46.00,56.00
2025-11-04T06:18:00Z,46.00,56.00
2025-11-04T06:19:00Z,46.00,56.00
2025-11-04T06:20:00Z,46.00,56.00
2025-11-04T06:21:00Z,46.00,56.00
2025-11-04T06:22:00Z,45.00,56.00
2025-11-04T06:23:00Z,45.00,56.00
2025-11-04T06:24:00Z,46.00,56.00
2025-11-04T06:25:00Z,46.00,56.00
2025-11-04T06:26:00Z,46.00,56.00
2025-11-04T06:27:00Z,46.00,56.00
2025-11-04T06:28:00Z,45.00,56.00
2025-11-04T06:29:00Z,46.00,56.00
2025-11-04T06:30:00Z,46.00,56.00
2025-11-04T06:32:00Z,46.00,56.00
2025-11-04T06:36:00Z,46.00,56.00
2025-11-04T06:38:00Z,46.00,56.00
