# event_ticker=KXATPCHALLENGERMATCH-26MAR26NEUAJD
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Lukas Neumayer
# fav_player=Duje Ajdukovic
# dog_player=Lukas Neumayer
# kalshi_date=2026-03-26
timestamp,Duje Ajdukovic,Lukas Neumayer
2026-03-27T01:55:00Z,,62.00
2026-03-27T02:21:00Z,41.00,62.00
2026-03-27T03:01:00Z,40.86,62.00
2026-03-27T03:38:00Z,41.00,62.00
2026-03-27T03:58:00Z,41.00,62.00
2026-03-27T03:59:00Z,41.00,62.00
2026-03-27T04:07:00Z,41.00,62.00
2026-03-27T04:09:00Z,41.00,62.00
2026-03-27T04:21:00Z,41.00,62.00
2026-03-27T04:22:00Z,41.00,62.00
2026-03-27T04:40:00Z,41.00,62.00
2026-03-27T05:00:00Z,41.00,62.00
2026-03-27T05:02:00Z,41.00,62.00
2026-03-27T05:06:00Z,41.00,62.00
2026-03-27T05:08:00Z,41.00,62.00
2026-03-27T05:11:00Z,41.00,62.00
2026-03-27T05:13:00Z,41.00,62.00
2026-03-27T05:16:00Z,41.00,62.00
2026-03-27T05:21:00Z,41.00,62.00
2026-03-27T05:23:00Z,41.00,62.00
2026-03-27T05:24:00Z,41.00,62.00
2026-03-27T05:25:00Z,41.00,62.00
2026-03-27T05:26:00Z,41.00,62.00
2026-03-27T05:29:00Z,41.00,62.00
2026-03-27T05:31:00Z,41.00,62.00
2026-03-27T05:33:00Z,40.00,62.00
2026-03-27T05:34:00Z,40.00,62.00
2026-03-27T05:36:00Z,40.00,62.00
2026-03-27T05:37:00Z,40.00,62.00
2026-03-27T05:41:00Z,40.00,62.00
2026-03-27T05:43:00Z,40.00,62.00
2026-03-27T05:44:00Z,40.00,62.00
2026-03-27T05:46:00Z,40.00,62.00
2026-03-27T05:55:00Z,40.00,62.00
2026-03-27T05:56:00Z,40.00,62.00
2026-03-27T05:57:00Z,40.24,62.00
2026-03-27T06:05:00Z,40.24,62.00
2026-03-27T06:06:00Z,41.00,62.00
2026-03-27T06:08:00Z,41.00,62.00
2026-03-27T06:11:00Z,41.00,62.00
2026-03-27T06:21:00Z,41.00,62.00
2026-03-27T06:35:00Z,41.00,62.00
2026-03-27T06:36:00Z,41.00,62.00
2026-03-27T06:38:00Z,41.00,62.00
2026-03-27T06:41:00Z,41.00,62.00
