# event_ticker=KXATPCHALLENGERMATCH-26MAY19KUZRIN
# final_score=6-2 6-0
# match_winner=Dimitar Kuzmanov
# fav_player=Dimitar Kuzmanov
# dog_player=Daniel Rincon
# kalshi_date=2026-05-19
timestamp,Dimitar Kuzmanov,Daniel Rincon
2026-05-19T04:49:00Z,43.00,
2026-05-19T05:00:00Z,43.00,57.00
2026-05-19T05:14:00Z,45.00,57.00
2026-05-19T05:41:00Z,45.00,57.00
2026-05-19T07:52:00Z,45.00,56.00
2026-05-19T08:49:00Z,46.67,56.00
2026-05-19T08:50:00Z,46.67,53.10
2026-05-19T11:31:00Z,47.00,53.10
2026-05-19T11:50:00Z,47.00,54.00
2026-05-19T12:06:00Z,47.00,55.00
2026-05-19T12:17:00Z,50.69,55.00
2026-05-19T12:18:00Z,53.76,46.00
2026-05-19T12:19:00Z,56.00,44.00
2026-05-19T12:20:00Z,55.30,45.00
2026-05-19T12:21:00Z,55.71,44.17
2026-05-19T12:22:00Z,60.00,46.00
2026-05-19T12:23:00Z,58.95,42.83
2026-05-19T12:24:00Z,56.00,46.00
2026-05-19T12:25:00Z,54.04,47.05
2026-05-19T12:26:00Z,47.84,47.98
2026-05-19T12:27:00Z,48.67,50.03
2026-05-19T12:28:00Z,54.00,44.16
2026-05-19T12:29:00Z,54.00,42.82
2026-05-19T12:30:00Z,60.82,42.82
2026-05-19T12:31:00Z,67.07,35.76
2026-05-19T12:32:00Z,67.07,39.00
2026-05-19T12:33:00Z,68.00,39.00
2026-05-19T12:34:00Z,69.00,39.00
2026-05-19T12:35:00Z,69.90,33.00
2026-05-19T12:36:00Z,73.00,27.00
2026-05-19T12:37:00Z,76.38,24.76
2026-05-19T12:38:00Z,78.00,23.00
2026-05-19T12:39:00Z,76.71,23.00
2026-05-19T12:40:00Z,76.71,26.99
2026-05-19T12:41:00Z,76.99,24.17
2026-05-19T12:42:00Z,79.39,21.84
2026-05-19T12:43:00Z,82.91,17.00
2026-05-19T12:44:00Z,82.00,18.00
2026-05-19T12:45:00Z,80.95,20.90
2026-05-19T12:46:00Z,80.00,22.00
2026-05-19T12:47:00Z,80.00,22.00
2026-05-19T12:48:00Z,80.00,23.18
2026-05-19T12:49:00Z,80.00,21.87
2026-05-19T12:50:00Z,83.00,19.00
2026-05-19T12:51:00Z,83.00,18.00
2026-05-19T12:52:00Z,83.00,18.00
2026-05-19T12:53:00Z,84.00,18.00
2026-05-19T12:54:00Z,84.00,18.00
2026-05-19T12:55:00Z,84.00,17.78
2026-05-19T12:56:00Z,85.21,13.13
2026-05-19T12:57:00Z,86.40,13.00
2026-05-19T12:58:00Z,87.00,15.55
2026-05-19T12:59:00Z,85.00,16.00
2026-05-19T13:00:00Z,85.00,16.00
2026-05-19T13:01:00Z,85.57,15.00
2026-05-19T13:02:00Z,87.00,12.84
2026-05-19T13:03:00Z,84.11,15.39
2026-05-19T13:04:00Z,91.83,8.96
2026-05-19T13:05:00Z,93.00,7.38
2026-05-19T13:06:00Z,93.15,7.17
2026-05-19T13:07:00Z,94.00,6.33
2026-05-19T13:08:00Z,95.21,4.00
2026-05-19T13:09:00Z,94.00,8.00
2026-05-19T13:10:00Z,94.54,6.80
2026-05-19T13:11:00Z,95.98,4.00
2026-05-19T13:12:00Z,96.00,4.64
2026-05-19T13:13:00Z,97.00,4.38
2026-05-19T13:14:00Z,96.36,3.88
2026-05-19T13:15:00Z,96.36,3.06
2026-05-19T13:16:00Z,98.97,1.73
2026-05-19T13:17:00Z,99.00,2.17
2026-05-19T13:19:00Z,99.00,2.17
2026-05-19T13:21:00Z,99.00,1.00
2026-05-19T13:22:00Z,99.00,1.00
2026-05-19T13:26:00Z,99.00,1.00
