# event_ticker=KXATPMATCH-26FEB15KORMCD
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Sebastian Korda
# fav_player=Mackenzie McDonald
# dog_player=Sebastian Korda
# kalshi_date=2026-02-15
timestamp,Mackenzie McDonald,Sebastian Korda
2026-02-17T06:53:00Z,,80.00
2026-02-17T08:32:00Z,,80.00
2026-02-17T08:40:00Z,,79.00
2026-02-17T08:44:00Z,,80.00
2026-02-17T08:45:00Z,,79.00
2026-02-17T09:52:00Z,,80.00
2026-02-17T10:21:00Z,,79.00
2026-02-17T10:55:00Z,,81.00
2026-02-17T11:15:00Z,,81.00
2026-02-17T11:28:00Z,,81.00
2026-02-17T11:58:00Z,21.00,81.00
2026-02-17T12:03:00Z,21.00,81.00
2026-02-17T12:16:00Z,21.00,81.00
2026-02-17T12:49:00Z,21.00,81.00
2026-02-17T12:57:00Z,21.00,81.00
2026-02-17T13:05:00Z,20.00,81.00
2026-02-17T13:10:00Z,20.00,81.00
2026-02-17T13:16:00Z,20.00,81.00
2026-02-17T13:54:00Z,20.00,81.00
2026-02-17T14:00:00Z,20.00,81.00
2026-02-17T14:12:00Z,20.00,81.00
2026-02-17T14:35:00Z,20.00,81.00
2026-02-17T14:36:00Z,20.00,81.00
2026-02-17T14:37:00Z,20.00,81.00
2026-02-17T14:39:00Z,20.00,81.00
2026-02-17T14:46:00Z,20.00,81.00
2026-02-17T14:55:00Z,21.00,81.00
2026-02-17T14:56:00Z,21.00,81.00
2026-02-17T15:01:00Z,21.00,81.00
2026-02-17T15:03:00Z,21.00,81.00
2026-02-17T15:04:00Z,21.00,81.00
2026-02-17T15:11:00Z,21.00,81.00
2026-02-17T15:14:00Z,21.00,81.00
2026-02-17T15:19:00Z,21.00,81.00
2026-02-17T15:20:00Z,21.00,81.00
2026-02-17T15:24:00Z,21.00,81.00
2026-02-17T15:30:00Z,21.00,81.00
2026-02-17T15:34:00Z,20.78,81.00
2026-02-17T15:36:00Z,21.00,81.00
2026-02-17T15:41:00Z,21.00,81.00
2026-02-17T15:49:00Z,21.00,81.00
2026-02-17T15:55:00Z,21.00,81.00
2026-02-17T15:58:00Z,21.00,81.00
2026-02-17T16:00:00Z,21.00,81.00
2026-02-17T16:02:00Z,21.00,81.00
2026-02-17T16:33:00Z,21.00,81.00
2026-02-17T16:37:00Z,20.00,81.00
2026-02-17T16:40:00Z,20.00,81.00
2026-02-17T16:41:00Z,20.00,81.00
