# event_ticker=KXATPCHALLENGERMATCH-26MAR30NAMSHI
# final_score=6-4 6-2
# match_winner=Braden Shick
# fav_player=Braden Shick
# dog_player=Ji Sung Nam
# kalshi_date=2026-03-30
timestamp,Braden Shick,Ji Sung Nam
2026-03-30T16:50:00Z,62.00,
2026-03-30T16:51:00Z,60.00,
2026-03-30T17:25:00Z,60.00,
2026-03-30T18:15:00Z,60.00,45.00
2026-03-30T21:22:00Z,59.00,45.00
2026-03-30T22:41:00Z,59.00,45.00
2026-03-30T22:56:00Z,60.00,45.00
2026-03-30T23:07:00Z,60.00,45.00
2026-03-30T23:34:00Z,60.00,45.00
2026-03-30T23:35:00Z,60.00,42.00
2026-03-31T00:06:00Z,60.00,40.00
2026-03-31T00:44:00Z,60.00,40.00
2026-03-31T00:57:00Z,60.00,40.00
2026-03-31T01:46:00Z,61.00,40.00
2026-03-31T01:52:00Z,61.00,40.00
2026-03-31T01:57:00Z,61.00,40.00
2026-03-31T02:11:00Z,61.00,40.00
2026-03-31T02:21:00Z,61.00,40.00
2026-03-31T02:30:00Z,61.00,40.00
2026-03-31T02:41:00Z,61.00,40.00
2026-03-31T02:46:00Z,61.00,40.00
2026-03-31T02:47:00Z,61.00,40.00
2026-03-31T02:48:00Z,61.00,40.00
2026-03-31T02:52:00Z,61.51,40.00
2026-03-31T03:04:00Z,61.51,41.00
2026-03-31T03:11:00Z,60.00,41.00
2026-03-31T03:15:00Z,61.00,41.00
2026-03-31T03:16:00Z,61.00,41.00
2026-03-31T03:19:00Z,61.00,41.00
2026-03-31T03:20:00Z,61.00,41.00
2026-03-31T03:22:00Z,61.00,41.00
2026-03-31T03:35:00Z,61.00,41.00
2026-03-31T03:36:00Z,61.00,41.00
2026-03-31T03:37:00Z,61.00,41.00
2026-03-31T03:38:00Z,61.00,41.00
2026-03-31T03:39:00Z,61.00,38.66
2026-03-31T03:40:00Z,61.18,38.62
2026-03-31T03:41:00Z,58.11,45.93
2026-03-31T03:42:00Z,52.50,50.00
2026-03-31T03:43:00Z,56.05,43.62
2026-03-31T03:44:00Z,65.00,41.00
2026-03-31T03:45:00Z,63.04,37.00
2026-03-31T03:46:00Z,66.00,35.02
2026-03-31T03:47:00Z,73.85,27.99
2026-03-31T03:48:00Z,74.82,26.00
2026-03-31T03:49:00Z,72.46,27.72
2026-03-31T03:50:00Z,76.97,24.82
2026-03-31T03:51:00Z,77.00,24.00
2026-03-31T03:52:00Z,76.99,24.99
2026-03-31T03:53:00Z,75.33,26.73
2026-03-31T03:54:00Z,81.39,19.00
2026-03-31T03:55:00Z,84.00,15.22
2026-03-31T03:56:00Z,84.55,17.78
2026-03-31T03:57:00Z,80.00,20.96
2026-03-31T03:58:00Z,79.00,23.98
2026-03-31T03:59:00Z,79.00,23.98
2026-03-31T04:00:00Z,81.22,20.17
2026-03-31T04:01:00Z,78.90,19.73
2026-03-31T04:02:00Z,80.68,19.02
2026-03-31T04:03:00Z,80.00,19.88
2026-03-31T04:04:00Z,80.00,19.88
2026-03-31T04:05:00Z,81.26,19.44
2026-03-31T04:06:00Z,77.33,24.88
2026-03-31T04:07:00Z,79.06,23.54
2026-03-31T04:08:00Z,80.99,20.94
2026-03-31T04:09:00Z,81.00,19.76
2026-03-31T04:10:00Z,81.87,20.12
2026-03-31T04:11:00Z,78.29,23.22
2026-03-31T04:12:00Z,76.32,24.85
2026-03-31T04:13:00Z,74.17,28.44
2026-03-31T04:14:00Z,62.87,35.92
2026-03-31T04:15:00Z,69.49,32.88
2026-03-31T04:16:00Z,71.87,30.37
2026-03-31T04:17:00Z,61.51,39.61
2026-03-31T04:18:00Z,62.98,35.37
2026-03-31T04:19:00Z,67.84,32.24
2026-03-31T04:20:00Z,74.65,24.84
2026-03-31T04:21:00Z,79.90,20.43
2026-03-31T04:22:00Z,80.59,20.60
2026-03-31T04:23:00Z,83.05,17.93
2026-03-31T04:24:00Z,84.00,16.00
2026-03-31T04:25:00Z,84.00,15.99
2026-03-31T04:26:00Z,85.76,14.65
2026-03-31T04:27:00Z,86.13,15.23
2026-03-31T04:28:00Z,89.42,12.48
2026-03-31T04:29:00Z,84.18,16.74
2026-03-31T04:30:00Z,83.16,17.20
2026-03-31T04:31:00Z,82.36,19.08
2026-03-31T04:32:00Z,83.00,18.29
2026-03-31T04:33:00Z,82.28,16.65
2026-03-31T04:34:00Z,85.01,15.93
2026-03-31T04:35:00Z,84.44,14.35
2026-03-31T04:36:00Z,87.00,14.43
2026-03-31T04:37:00Z,92.83,6.74
2026-03-31T04:38:00Z,93.27,7.96
2026-03-31T04:39:00Z,93.26,8.68
2026-03-31T04:40:00Z,93.37,7.38
2026-03-31T04:41:00Z,93.82,6.10
2026-03-31T04:42:00Z,92.13,9.69
2026-03-31T04:43:00Z,95.15,7.29
2026-03-31T04:44:00Z,96.50,4.34
2026-03-31T04:45:00Z,96.99,3.99
2026-03-31T04:46:00Z,95.93,4.69
2026-03-31T04:47:00Z,94.59,4.66
2026-03-31T04:48:00Z,93.47,7.34
2026-03-31T04:49:00Z,94.96,5.04
2026-03-31T04:50:00Z,97.26,3.60
2026-03-31T04:51:00Z,95.01,6.29
2026-03-31T04:52:00Z,94.94,4.66
2026-03-31T04:53:00Z,97.73,2.28
2026-03-31T04:54:00Z,97.95,2.34
2026-03-31T04:55:00Z,97.96,3.18
2026-03-31T04:56:00Z,98.68,1.84
2026-03-31T04:57:00Z,99.00,1.84
2026-03-31T04:58:00Z,99.00,1.84
2026-03-31T04:59:00Z,99.00,1.84
2026-03-31T05:00:00Z,99.00,1.84
2026-03-31T05:02:00Z,99.00,1.84
2026-03-31T05:03:00Z,99.00,1.84
