# event_ticker=KXATPCHALLENGERMATCH-26MAR19CADAMB
# final_score=6-1 6-4
# match_winner=Gianluca Cadenasso
# fav_player=Gianluca Cadenasso
# dog_player=Luciano Emanuel Ambrogi
# kalshi_date=2026-03-19
timestamp,Gianluca Cadenasso,Luciano Emanuel Ambrogi
2026-03-19T10:48:00Z,,37.00
2026-03-19T12:09:00Z,,37.00
2026-03-19T15:37:00Z,,36.00
2026-03-19T16:34:00Z,,37.00
2026-03-19T16:38:00Z,65.00,37.00
2026-03-19T16:40:00Z,66.00,37.00
2026-03-19T17:49:00Z,63.00,37.00
2026-03-19T17:59:00Z,63.00,37.00
2026-03-19T18:28:00Z,63.00,37.00
2026-03-19T19:00:00Z,63.00,37.00
2026-03-19T19:08:00Z,64.00,38.00
2026-03-19T19:13:00Z,63.00,38.00
2026-03-19T20:50:00Z,63.97,38.00
2026-03-19T20:58:00Z,64.00,38.00
2026-03-19T21:03:00Z,60.70,45.00
2026-03-19T21:04:00Z,60.70,37.62
2026-03-19T21:05:00Z,67.00,33.00
2026-03-19T21:09:00Z,71.00,30.50
2026-03-19T21:11:00Z,71.00,31.60
2026-03-19T21:12:00Z,67.00,33.98
2026-03-19T21:13:00Z,67.00,32.00
2026-03-19T21:14:00Z,63.73,36.77
2026-03-19T21:15:00Z,64.00,37.62
2026-03-19T21:17:00Z,64.00,31.00
2026-03-19T21:18:00Z,70.32,29.34
2026-03-19T21:19:00Z,73.54,24.00
2026-03-19T21:20:00Z,80.00,24.00
2026-03-19T21:21:00Z,80.00,22.00
2026-03-19T21:22:00Z,80.00,19.24
2026-03-19T21:23:00Z,82.00,19.24
2026-03-19T21:24:00Z,82.00,14.04
2026-03-19T21:25:00Z,82.00,14.00
2026-03-19T21:27:00Z,88.78,14.00
2026-03-19T21:28:00Z,89.06,14.00
2026-03-19T21:29:00Z,91.00,10.44
2026-03-19T21:30:00Z,91.00,8.34
2026-03-19T21:31:00Z,92.00,8.34
2026-03-19T21:32:00Z,93.00,8.00
2026-03-19T21:33:00Z,93.00,8.00
2026-03-19T21:34:00Z,93.00,8.00
2026-03-19T21:35:00Z,93.00,8.00
2026-03-19T21:36:00Z,91.00,8.72
2026-03-19T21:37:00Z,91.00,10.06
2026-03-19T21:38:00Z,90.00,10.53
2026-03-19T21:40:00Z,90.00,8.00
2026-03-19T21:41:00Z,92.92,8.00
2026-03-19T21:42:00Z,92.92,9.87
2026-03-19T21:43:00Z,91.00,10.00
2026-03-19T21:44:00Z,91.00,9.15
2026-03-19T21:45:00Z,94.00,9.15
2026-03-19T21:46:00Z,89.00,8.63
2026-03-19T21:47:00Z,89.00,8.00
2026-03-19T21:48:00Z,92.00,8.14
2026-03-19T21:49:00Z,92.62,8.00
2026-03-19T21:50:00Z,94.00,5.37
2026-03-19T21:51:00Z,96.00,3.45
2026-03-19T21:52:00Z,97.00,4.00
2026-03-19T21:53:00Z,97.00,3.74
2026-03-19T21:54:00Z,97.97,3.00
2026-03-19T21:55:00Z,97.38,3.61
2026-03-19T21:56:00Z,98.00,3.00
2026-03-19T21:57:00Z,98.00,2.24
2026-03-19T21:58:00Z,98.00,3.86
2026-03-19T21:59:00Z,98.00,3.94
2026-03-19T22:00:00Z,97.00,4.00
2026-03-19T22:01:00Z,97.00,4.00
2026-03-19T22:03:00Z,97.00,2.62
2026-03-19T22:04:00Z,97.25,3.65
2026-03-19T22:05:00Z,98.00,2.03
2026-03-19T22:06:00Z,98.35,1.00
2026-03-19T22:07:00Z,99.00,2.00
2026-03-19T22:08:00Z,99.00,2.51
2026-03-19T22:09:00Z,98.00,2.24
2026-03-19T22:10:00Z,98.00,2.99
2026-03-19T22:11:00Z,98.00,2.86
2026-03-19T22:12:00Z,97.40,3.58
2026-03-19T22:13:00Z,95.00,4.57
2026-03-19T22:14:00Z,95.57,5.72
2026-03-19T22:15:00Z,97.86,4.07
2026-03-19T22:16:00Z,98.00,1.75
2026-03-19T22:17:00Z,98.00,1.21
2026-03-19T22:18:00Z,99.00,1.98
2026-03-19T22:19:00Z,98.84,2.36
2026-03-19T22:20:00Z,98.02,1.99
2026-03-19T22:21:00Z,99.00,1.67
2026-03-19T22:22:00Z,98.00,3.75
2026-03-19T22:23:00Z,98.00,1.59
2026-03-19T22:24:00Z,99.00,1.00
2026-03-19T22:26:00Z,99.00,1.00
