# event_ticker=KXATPCHALLENGERMATCH-26APR28SHEADD
# final_score=6-2 6-2
# match_winner=Aleksandr Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Dan Added
# kalshi_date=2026-04-28
timestamp,Alexander Shevchenko,Dan Added
2026-04-27T22:13:00Z,,21.00
2026-04-27T22:23:00Z,,21.00
2026-04-27T22:58:00Z,,21.00
2026-04-27T23:10:00Z,81.00,21.00
2026-04-28T00:08:00Z,81.00,21.00
2026-04-28T00:17:00Z,81.00,21.00
2026-04-28T00:19:00Z,82.00,21.00
2026-04-28T03:17:00Z,81.00,21.00
2026-04-28T05:59:00Z,81.00,19.00
2026-04-28T06:09:00Z,81.00,20.00
2026-04-28T06:29:00Z,81.00,20.00
2026-04-28T06:40:00Z,81.00,20.00
2026-04-28T07:10:00Z,82.00,20.00
2026-04-28T07:24:00Z,82.00,20.00
2026-04-28T07:26:00Z,82.00,20.00
2026-04-28T07:45:00Z,82.00,20.00
2026-04-28T09:00:00Z,82.89,20.00
2026-04-28T09:05:00Z,82.89,19.00
2026-04-28T09:06:00Z,84.00,19.00
2026-04-28T09:08:00Z,84.00,19.00
2026-04-28T09:14:00Z,85.00,16.00
2026-04-28T09:16:00Z,85.00,15.00
2026-04-28T09:17:00Z,85.00,14.00
2026-04-28T09:19:00Z,88.00,12.78
2026-04-28T09:20:00Z,89.00,10.05
2026-04-28T09:21:00Z,89.00,9.00
2026-04-28T09:22:00Z,92.00,9.00
2026-04-28T09:28:00Z,92.00,10.00
2026-04-28T09:32:00Z,92.00,8.00
2026-04-28T09:33:00Z,93.00,8.00
2026-04-28T09:34:00Z,91.00,8.00
2026-04-28T09:37:00Z,93.00,8.00
2026-04-28T09:39:00Z,94.00,8.00
2026-04-28T09:40:00Z,95.00,5.12
2026-04-28T09:43:00Z,96.00,5.00
2026-04-28T09:44:00Z,96.00,4.00
2026-04-28T09:45:00Z,96.00,4.00
2026-04-28T09:46:00Z,97.00,3.00
2026-04-28T09:47:00Z,98.00,2.00
2026-04-28T09:48:00Z,99.00,2.00
2026-04-28T09:49:00Z,99.00,1.00
2026-04-28T09:50:00Z,98.13,2.00
2026-04-28T09:52:00Z,97.00,3.00
2026-04-28T09:54:00Z,95.00,5.00
2026-04-28T09:55:00Z,95.00,5.00
2026-04-28T09:56:00Z,96.00,5.00
2026-04-28T09:57:00Z,97.00,3.00
2026-04-28T10:01:00Z,98.00,3.00
2026-04-28T10:03:00Z,99.00,1.00
2026-04-28T10:04:00Z,99.00,2.00
2026-04-28T10:16:00Z,99.00,1.00
