# event_ticker=KXATPMATCH-26FEB13MUNBUB
# final_score=6-4 6-7(4) 7-6(3)
# score_resolution=6-4 6-7 7-6
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Jaume Munar
# kalshi_date=2026-02-13
timestamp,Alexander Bublik,Jaume Munar
2026-02-13T09:05:00Z,,36.00
2026-02-13T09:25:00Z,65.00,36.00
2026-02-13T09:34:00Z,65.00,36.00
2026-02-13T09:57:00Z,65.00,36.00
2026-02-13T10:01:00Z,65.00,36.00
2026-02-13T10:05:00Z,65.00,36.00
2026-02-13T10:21:00Z,65.00,36.00
2026-02-13T10:28:00Z,65.00,36.00
2026-02-13T11:05:00Z,65.00,36.00
2026-02-13T11:09:00Z,65.00,36.00
2026-02-13T11:10:00Z,65.00,36.00
2026-02-13T11:23:00Z,65.00,36.00
2026-02-13T11:34:00Z,65.00,36.00
2026-02-13T11:37:00Z,65.00,36.00
2026-02-13T11:38:00Z,65.00,36.00
2026-02-13T11:39:00Z,65.00,36.00
2026-02-13T11:42:00Z,65.00,35.00
2026-02-13T11:46:00Z,65.00,36.00
2026-02-13T11:59:00Z,65.00,36.00
2026-02-13T12:03:00Z,65.54,36.00
2026-02-13T12:04:00Z,66.00,36.00
2026-02-13T12:05:00Z,66.00,35.00
2026-02-13T12:06:00Z,66.00,35.00
2026-02-13T12:07:00Z,66.00,35.00
2026-02-13T12:08:00Z,66.00,35.00
2026-02-13T12:09:00Z,66.00,35.00
2026-02-13T12:13:00Z,64.00,35.00
2026-02-13T12:17:00Z,64.00,35.00
2026-02-13T12:18:00Z,64.00,34.00
2026-02-13T12:19:00Z,64.00,34.00
2026-02-13T12:21:00Z,66.00,34.00
2026-02-13T12:25:00Z,65.00,34.00
2026-02-13T12:26:00Z,65.00,34.00
2026-02-13T12:28:00Z,67.00,34.00
2026-02-13T12:29:00Z,67.00,34.00
2026-02-13T12:31:00Z,67.00,34.00
2026-02-13T12:38:00Z,67.00,34.00
2026-02-13T12:43:00Z,67.00,34.00
2026-02-13T12:44:00Z,67.00,34.00
2026-02-13T12:46:00Z,67.00,34.00
2026-02-13T12:47:00Z,67.00,34.00
2026-02-13T12:50:00Z,67.00,33.00
2026-02-13T12:51:00Z,67.00,33.00
2026-02-13T12:56:00Z,67.00,33.00
2026-02-13T12:57:00Z,67.00,33.00
2026-02-13T13:00:00Z,67.00,33.00
2026-02-13T13:04:00Z,67.00,34.00
2026-02-13T13:07:00Z,67.00,34.00
2026-02-13T13:08:00Z,67.00,34.00
2026-02-13T13:11:00Z,67.00,34.00
2026-02-13T13:13:00Z,67.00,34.00
2026-02-13T13:14:00Z,67.00,34.00
2026-02-13T13:18:00Z,67.00,34.00
2026-02-13T13:20:00Z,67.00,34.00
2026-02-13T13:21:00Z,67.00,35.00
2026-02-13T13:22:00Z,67.00,35.00
2026-02-13T13:23:00Z,66.00,35.00
2026-02-13T13:28:00Z,66.96,35.00
2026-02-13T13:29:00Z,67.00,35.00
2026-02-13T13:30:00Z,67.00,35.00
2026-02-13T13:31:00Z,67.00,35.00
2026-02-13T13:33:00Z,67.00,35.00
2026-02-13T13:36:00Z,67.00,35.00
2026-02-13T13:37:00Z,67.00,35.00
2026-02-13T13:38:00Z,66.00,35.00
2026-02-13T13:45:00Z,66.00,35.00
2026-02-13T13:47:00Z,66.00,35.00
2026-02-13T13:48:00Z,67.00,35.00
