# event_ticker=KXATPCHALLENGERMATCH-26MAR04JIAGEA
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Filip Cristian Jianu
# kalshi_date=2026-03-04
timestamp,Arthur Gea,Filip Cristian Jianu
2026-03-04T13:49:00Z,,45.00
2026-03-04T14:01:00Z,71.00,45.00
2026-03-04T14:02:00Z,67.00,45.00
2026-03-04T14:03:00Z,67.00,45.00
2026-03-04T14:04:00Z,67.00,45.00
2026-03-04T14:05:00Z,67.00,36.00
2026-03-04T14:06:00Z,68.00,35.00
2026-03-04T14:07:00Z,67.67,34.00
2026-03-04T14:08:00Z,74.00,32.00
2026-03-04T14:09:00Z,70.00,32.00
2026-03-04T14:10:00Z,68.00,35.00
2026-03-04T14:11:00Z,68.00,35.00
2026-03-04T14:13:00Z,68.00,35.00
2026-03-04T14:14:00Z,69.15,32.00
2026-03-04T14:15:00Z,69.15,30.57
2026-03-04T14:16:00Z,70.00,32.98
2026-03-04T14:17:00Z,68.00,35.00
2026-03-04T14:18:00Z,65.00,35.00
2026-03-04T14:19:00Z,69.00,31.00
2026-03-04T14:20:00Z,71.00,31.00
2026-03-04T14:22:00Z,72.31,30.60
2026-03-04T14:23:00Z,70.00,33.00
2026-03-04T14:24:00Z,71.00,33.00
2026-03-04T14:25:00Z,69.00,33.00
2026-03-04T14:26:00Z,66.49,36.13
2026-03-04T14:27:00Z,66.80,34.33
2026-03-04T14:28:00Z,72.00,31.00
2026-03-04T14:29:00Z,72.00,33.00
2026-03-04T14:30:00Z,71.00,32.96
2026-03-04T14:31:00Z,73.62,32.36
2026-03-04T14:32:00Z,67.00,37.00
2026-03-04T14:33:00Z,61.99,46.92
2026-03-04T14:34:00Z,62.22,44.01
2026-03-04T14:35:00Z,65.10,36.54
2026-03-04T14:36:00Z,66.90,33.00
2026-03-04T14:37:00Z,70.00,33.00
2026-03-04T14:38:00Z,67.21,32.73
2026-03-04T14:39:00Z,63.50,39.00
2026-03-04T14:40:00Z,62.50,39.33
2026-03-04T14:41:00Z,65.52,39.33
2026-03-04T14:42:00Z,66.00,39.33
2026-03-04T14:43:00Z,70.00,33.98
2026-03-04T14:44:00Z,68.89,33.98
2026-03-04T14:45:00Z,64.11,40.90
2026-03-04T14:46:00Z,63.07,48.24
2026-03-04T14:47:00Z,74.17,36.33
2026-03-04T14:48:00Z,76.72,25.68
2026-03-04T14:49:00Z,84.05,17.59
2026-03-04T14:50:00Z,84.00,14.65
2026-03-04T14:51:00Z,81.83,14.00
2026-03-04T14:52:00Z,85.00,17.25
2026-03-04T14:53:00Z,84.65,16.15
2026-03-04T14:54:00Z,84.65,17.84
2026-03-04T14:55:00Z,84.10,18.00
2026-03-04T14:56:00Z,87.24,13.11
2026-03-04T14:57:00Z,87.89,13.64
2026-03-04T14:58:00Z,82.55,17.44
2026-03-04T14:59:00Z,82.00,18.66
2026-03-04T15:00:00Z,80.53,20.26
2026-03-04T15:01:00Z,80.00,20.17
2026-03-04T15:02:00Z,85.03,14.94
2026-03-04T15:03:00Z,88.71,11.96
2026-03-04T15:04:00Z,91.93,10.15
2026-03-04T15:05:00Z,93.97,6.97
2026-03-04T15:06:00Z,93.45,6.52
2026-03-04T15:07:00Z,94.84,6.42
2026-03-04T15:08:00Z,96.43,4.22
2026-03-04T15:09:00Z,96.71,5.00
2026-03-04T15:10:00Z,94.75,6.50
2026-03-04T15:11:00Z,95.00,6.66
2026-03-04T15:12:00Z,95.00,6.19
2026-03-04T15:13:00Z,95.66,7.00
2026-03-04T15:14:00Z,94.10,9.65
2026-03-04T15:15:00Z,92.90,8.85
2026-03-04T15:16:00Z,89.82,10.00
2026-03-04T15:17:00Z,94.92,7.36
2026-03-04T15:18:00Z,96.84,4.99
2026-03-04T15:19:00Z,95.28,5.00
2026-03-04T15:20:00Z,96.04,3.11
2026-03-04T15:21:00Z,96.03,5.00
2026-03-04T15:22:00Z,95.96,4.69
2026-03-04T15:23:00Z,96.51,4.16
2026-03-04T15:24:00Z,97.17,3.60
2026-03-04T15:25:00Z,97.00,2.91
2026-03-04T15:26:00Z,97.00,3.27
2026-03-04T15:27:00Z,97.99,3.22
2026-03-04T15:28:00Z,98.98,1.57
2026-03-04T15:29:00Z,98.99,1.75
2026-03-04T15:30:00Z,98.81,1.08
2026-03-04T15:31:00Z,98.58,1.00
2026-03-04T15:32:00Z,95.28,1.73
2026-03-04T15:33:00Z,99.00,1.00
2026-03-04T15:34:00Z,99.00,1.00
