# event_ticker=KXATPCHALLENGERMATCH-26APR21HARPUR
# final_score=6-2 6-0
# match_winner=Nick Hardt
# fav_player=Nick Hardt
# dog_player=Saba Purtseladze
# kalshi_date=2026-04-21
timestamp,Nick Hardt,Saba Purtseladze
2026-04-21T06:33:00Z,66.00,
2026-04-21T07:17:00Z,68.00,
2026-04-21T07:48:00Z,68.00,
2026-04-21T07:49:00Z,69.00,
2026-04-21T11:59:00Z,71.00,
2026-04-21T12:20:00Z,79.00,30.00
2026-04-21T12:30:00Z,79.00,29.00
2026-04-21T13:25:00Z,79.00,27.00
2026-04-21T14:50:00Z,76.00,26.00
2026-04-21T14:51:00Z,76.58,26.00
2026-04-21T14:54:00Z,78.36,26.00
2026-04-21T15:03:00Z,78.36,27.00
2026-04-21T15:05:00Z,78.36,27.00
2026-04-21T15:41:00Z,74.94,27.00
2026-04-21T15:43:00Z,74.94,30.00
2026-04-21T15:47:00Z,74.94,30.45
2026-04-21T15:49:00Z,70.56,35.82
2026-04-21T15:54:00Z,74.58,35.82
2026-04-21T15:55:00Z,73.09,26.00
2026-04-21T15:56:00Z,73.09,26.00
2026-04-21T15:57:00Z,74.85,27.65
2026-04-21T15:58:00Z,75.00,26.45
2026-04-21T15:59:00Z,79.83,20.65
2026-04-21T16:00:00Z,84.17,15.19
2026-04-21T16:01:00Z,80.01,17.22
2026-04-21T16:02:00Z,78.00,22.84
2026-04-21T16:03:00Z,77.02,19.84
2026-04-21T16:04:00Z,81.00,16.85
2026-04-21T16:05:00Z,84.97,18.78
2026-04-21T16:06:00Z,84.42,12.55
2026-04-21T16:07:00Z,86.59,13.01
2026-04-21T16:08:00Z,87.00,13.00
2026-04-21T16:09:00Z,89.00,12.93
2026-04-21T16:10:00Z,86.00,15.00
2026-04-21T16:11:00Z,85.00,15.00
2026-04-21T16:12:00Z,85.00,15.41
2026-04-21T16:13:00Z,82.73,18.33
2026-04-21T16:14:00Z,82.73,14.80
2026-04-21T16:15:00Z,88.47,12.83
2026-04-21T16:16:00Z,89.49,12.00
2026-04-21T16:17:00Z,91.00,9.00
2026-04-21T16:18:00Z,91.00,9.00
2026-04-21T16:19:00Z,91.00,9.45
2026-04-21T16:20:00Z,91.22,7.69
2026-04-21T16:21:00Z,91.22,9.69
2026-04-21T16:22:00Z,90.61,9.42
2026-04-21T16:23:00Z,91.00,10.83
2026-04-21T16:24:00Z,91.00,10.83
2026-04-21T16:25:00Z,91.00,9.00
2026-04-21T16:26:00Z,92.00,8.59
2026-04-21T16:27:00Z,91.00,10.00
2026-04-21T16:28:00Z,91.00,9.00
2026-04-21T16:30:00Z,92.00,10.00
2026-04-21T16:31:00Z,91.00,10.00
2026-04-21T16:32:00Z,91.00,10.00
2026-04-21T16:33:00Z,91.00,11.00
2026-04-21T16:34:00Z,90.00,11.00
2026-04-21T16:35:00Z,91.00,9.99
2026-04-21T16:36:00Z,91.00,7.60
2026-04-21T16:37:00Z,91.00,9.00
2026-04-21T16:38:00Z,91.00,8.58
2026-04-21T16:39:00Z,91.00,9.00
2026-04-21T16:40:00Z,92.97,7.98
2026-04-21T16:41:00Z,94.13,4.09
2026-04-21T16:42:00Z,97.08,4.00
2026-04-21T16:43:00Z,96.15,4.00
2026-04-21T16:44:00Z,97.00,4.00
2026-04-21T16:45:00Z,98.00,2.55
2026-04-21T16:46:00Z,98.84,2.29
2026-04-21T16:47:00Z,98.84,1.00
2026-04-21T16:48:00Z,99.00,2.00
2026-04-21T16:49:00Z,99.00,2.00
2026-04-21T16:50:00Z,99.00,2.00
2026-04-21T16:51:00Z,99.00,1.03
2026-04-21T16:52:00Z,98.76,1.00
2026-04-21T16:53:00Z,99.00,1.00
2026-04-21T16:55:00Z,99.00,1.00
2026-04-21T16:56:00Z,99.00,1.00
2026-04-21T16:59:00Z,99.00,1.00
2026-04-21T17:00:00Z,99.00,1.00
2026-04-21T17:01:00Z,99.00,1.00
