# event_ticker=KXATPCHALLENGERMATCH-26MAY27NAGKOL
# final_score=6-4 7-6(4)
# score_resolution=4-6 6-7
# match_winner=Sumit Nagal
# fav_player=Zdenek Kolar
# dog_player=Sumit Nagal
# kalshi_date=2026-05-27
timestamp,Sumit Nagal,Zdenek Kolar
2026-05-27T03:46:00Z,,55.00
2026-05-27T04:06:00Z,46.00,55.00
2026-05-27T04:14:00Z,43.48,56.00
2026-05-27T04:28:00Z,43.48,57.00
2026-05-27T05:10:00Z,43.48,57.00
2026-05-27T05:15:00Z,45.00,57.00
2026-05-27T05:32:00Z,45.00,57.00
2026-05-27T05:33:00Z,45.00,57.59
2026-05-27T06:17:00Z,45.00,57.59
2026-05-27T06:29:00Z,45.00,57.00
2026-05-27T07:34:00Z,43.00,57.00
2026-05-27T07:47:00Z,43.00,58.00
2026-05-27T07:48:00Z,44.00,58.00
2026-05-27T08:09:00Z,44.00,59.00
2026-05-27T08:28:00Z,44.00,58.00
2026-05-27T08:50:00Z,44.00,57.00
2026-05-27T09:46:00Z,43.00,57.00
2026-05-27T10:09:00Z,43.00,58.94
2026-05-27T10:10:00Z,43.00,60.00
2026-05-27T11:11:00Z,43.00,59.00
2026-05-27T11:17:00Z,43.00,59.00
2026-05-27T11:26:00Z,43.00,59.00
2026-05-27T11:37:00Z,43.00,59.00
2026-05-27T11:38:00Z,43.00,59.00
2026-05-27T11:41:00Z,42.00,59.00
2026-05-27T12:04:00Z,42.00,59.00
2026-05-27T12:05:00Z,42.00,59.00
2026-05-27T12:07:00Z,42.00,59.00
2026-05-27T12:09:00Z,42.00,59.00
2026-05-27T12:12:00Z,42.00,59.00
2026-05-27T12:13:00Z,42.00,59.00
2026-05-27T12:26:00Z,41.00,59.00
2026-05-27T12:34:00Z,42.99,59.00
2026-05-27T12:47:00Z,43.00,59.00
2026-05-27T12:49:00Z,41.00,59.00
2026-05-27T13:04:00Z,41.00,59.00
2026-05-27T13:23:00Z,43.00,59.00
2026-05-27T13:35:00Z,43.00,60.00
2026-05-27T13:37:00Z,43.00,60.00
2026-05-27T13:41:00Z,43.00,60.00
2026-05-27T13:45:00Z,43.00,60.00
2026-05-27T13:48:00Z,43.00,60.00
2026-05-27T13:50:00Z,43.00,60.00
2026-05-27T13:51:00Z,43.78,60.00
2026-05-27T13:55:00Z,43.78,60.00
2026-05-27T13:56:00Z,43.78,60.00
2026-05-27T13:57:00Z,43.78,60.00
2026-05-27T13:58:00Z,43.78,60.00
2026-05-27T14:02:00Z,43.78,60.00
2026-05-27T14:04:00Z,43.78,60.00
2026-05-27T14:05:00Z,41.00,60.00
2026-05-27T14:07:00Z,41.00,57.12
2026-05-27T14:08:00Z,43.33,61.29
2026-05-27T14:09:00Z,42.02,58.16
2026-05-27T14:10:00Z,42.49,58.34
2026-05-27T14:11:00Z,42.00,57.21
2026-05-27T14:12:00Z,43.54,56.77
2026-05-27T14:13:00Z,45.23,55.02
2026-05-27T14:14:00Z,46.97,52.78
2026-05-27T14:15:00Z,45.00,55.38
2026-05-27T14:16:00Z,46.05,52.29
2026-05-27T14:17:00Z,46.05,52.81
2026-05-27T14:18:00Z,44.10,55.23
2026-05-27T14:19:00Z,40.78,59.00
2026-05-27T14:20:00Z,41.00,57.74
2026-05-27T14:21:00Z,39.01,58.78
2026-05-27T14:22:00Z,42.43,55.69
2026-05-27T14:23:00Z,42.00,56.97
2026-05-27T14:24:00Z,44.00,57.01
2026-05-27T14:25:00Z,41.83,60.87
2026-05-27T14:26:00Z,40.45,58.16
2026-05-27T14:27:00Z,44.56,56.02
2026-05-27T14:28:00Z,46.00,55.00
2026-05-27T14:29:00Z,45.75,56.03
2026-05-27T14:30:00Z,45.75,58.73
2026-05-27T14:31:00Z,42.00,57.86
2026-05-27T14:32:00Z,44.31,55.12
2026-05-27T14:33:00Z,47.00,53.67
2026-05-27T14:34:00Z,47.16,53.53
2026-05-27T14:35:00Z,49.97,48.27
2026-05-27T14:36:00Z,56.50,44.31
2026-05-27T14:37:00Z,53.13,42.08
2026-05-27T14:38:00Z,61.50,39.94
2026-05-27T14:39:00Z,61.84,35.51
