# event_ticker=KXATPMATCH-25NOV03CHOSON
# final_score=4-6 6-4 6-4
# match_winner=Lorenzo Sonego
# fav_player=Lorenzo Sonego
# dog_player=Jan Choinski
# kalshi_date=2025-11-03
timestamp,Lorenzo Sonego,Jan Choinski
2025-11-03T01:44:00Z,,21.00
2025-11-03T01:45:00Z,,21.00
2025-11-03T01:52:00Z,80.00,21.00
2025-11-03T02:05:00Z,80.00,21.00
2025-11-03T02:19:00Z,80.00,21.00
2025-11-03T02:24:00Z,80.00,21.00
2025-11-03T02:30:00Z,80.00,21.00
2025-11-03T02:39:00Z,80.00,21.00
2025-11-03T02:52:00Z,80.00,21.00
2025-11-03T03:37:00Z,80.00,21.00
2025-11-03T03:42:00Z,80.00,21.00
2025-11-03T03:43:00Z,80.00,21.00
2025-11-03T03:54:00Z,80.00,21.00
2025-11-03T04:15:00Z,80.00,21.00
2025-11-03T04:18:00Z,80.00,21.00
2025-11-03T04:20:00Z,80.00,21.00
2025-11-03T04:26:00Z,80.00,20.33
2025-11-03T04:48:00Z,80.00,20.33
2025-11-03T05:03:00Z,80.00,20.33
2025-11-03T05:06:00Z,80.00,20.33
2025-11-03T05:09:00Z,80.00,21.00
2025-11-03T05:11:00Z,80.00,21.00
2025-11-03T05:16:00Z,80.00,21.00
2025-11-03T05:17:00Z,80.00,21.00
2025-11-03T05:18:00Z,80.00,21.00
2025-11-03T05:22:00Z,80.00,21.00
2025-11-03T05:24:00Z,80.00,21.00
2025-11-03T05:25:00Z,80.00,21.00
2025-11-03T05:28:00Z,80.00,21.00
2025-11-03T05:30:00Z,80.00,21.00
2025-11-03T05:31:00Z,80.00,21.00
2025-11-03T05:32:00Z,80.00,21.00
2025-11-03T05:33:00Z,80.00,20.00
2025-11-03T05:35:00Z,80.00,21.00
2025-11-03T05:36:00Z,80.00,21.00
2025-11-03T05:38:00Z,80.00,21.00
2025-11-03T05:43:00Z,80.00,21.00
2025-11-03T05:46:00Z,80.00,21.00
2025-11-03T06:01:00Z,80.00,21.00
