# event_ticker=KXATPCHALLENGERMATCH-26MAY12SHEGAS
# final_score=6-1 3-6 6-1
# score_resolution=1-6 6-3 1-6
# match_winner=Aleksandr Shevchenko
# fav_player=Hugo Gaston
# dog_player=Alexander Shevchenko
# kalshi_date=2026-05-12
timestamp,Alexander Shevchenko,Hugo Gaston
2026-05-12T06:20:00Z,59.00,
2026-05-12T08:14:00Z,61.00,
2026-05-12T08:19:00Z,61.00,
2026-05-12T12:18:00Z,60.00,
2026-05-12T12:20:00Z,59.00,
2026-05-12T12:44:00Z,60.00,
2026-05-12T13:04:00Z,60.00,41.00
2026-05-12T13:19:00Z,60.00,41.00
2026-05-12T15:01:00Z,60.00,41.00
2026-05-12T15:03:00Z,60.00,41.00
2026-05-12T15:14:00Z,59.00,41.00
2026-05-12T15:31:00Z,59.00,41.00
2026-05-12T15:55:00Z,60.00,41.00
2026-05-12T15:58:00Z,60.00,41.00
2026-05-12T16:13:00Z,60.00,41.00
2026-05-12T16:18:00Z,60.00,40.00
2026-05-12T16:19:00Z,60.00,40.00
2026-05-12T16:32:00Z,60.00,40.00
2026-05-12T16:36:00Z,60.00,41.00
2026-05-12T16:44:00Z,60.00,41.00
2026-05-12T16:50:00Z,60.00,41.00
2026-05-12T16:57:00Z,60.00,41.00
2026-05-12T17:00:00Z,60.00,41.00
2026-05-12T17:02:00Z,60.00,41.00
2026-05-12T17:03:00Z,60.00,41.00
2026-05-12T17:09:00Z,60.00,41.00
2026-05-12T17:10:00Z,61.00,41.00
2026-05-12T17:15:00Z,61.00,41.00
2026-05-12T17:17:00Z,61.00,41.00
2026-05-12T17:29:00Z,61.00,41.00
2026-05-12T17:34:00Z,61.00,41.00
2026-05-12T17:40:00Z,61.00,41.00
2026-05-12T17:46:00Z,61.00,41.00
2026-05-12T17:59:00Z,61.00,41.00
2026-05-12T18:01:00Z,61.00,41.65
2026-05-12T18:02:00Z,60.00,41.65
2026-05-12T18:05:00Z,61.00,41.52
2026-05-12T18:07:00Z,60.00,41.52
2026-05-12T18:12:00Z,60.00,41.64
2026-05-12T18:13:00Z,58.00,42.00
2026-05-12T18:14:00Z,57.00,42.59
2026-05-12T18:15:00Z,55.09,44.33
2026-05-12T18:16:00Z,56.98,44.79
2026-05-12T18:17:00Z,58.80,40.13
2026-05-12T18:18:00Z,58.00,40.13
2026-05-12T18:19:00Z,61.66,39.00
2026-05-12T18:20:00Z,61.66,39.80
2026-05-12T18:21:00Z,60.60,40.00
2026-05-12T18:22:00Z,62.45,40.00
2026-05-12T18:23:00Z,67.42,34.12
2026-05-12T18:24:00Z,74.11,27.00
2026-05-12T18:25:00Z,75.99,24.97
2026-05-12T18:26:00Z,76.97,25.91
2026-05-12T18:27:00Z,71.33,28.64
2026-05-12T18:28:00Z,69.30,29.00
2026-05-12T18:29:00Z,75.15,25.89
2026-05-12T18:30:00Z,75.33,23.91
2026-05-12T18:31:00Z,76.00,24.00
2026-05-12T18:32:00Z,76.00,24.75
2026-05-12T18:33:00Z,75.63,25.75
2026-05-12T18:34:00Z,74.89,26.00
2026-05-12T18:35:00Z,73.11,26.81
2026-05-12T18:36:00Z,68.18,30.05
2026-05-12T18:37:00Z,72.22,33.02
2026-05-12T18:38:00Z,75.34,33.02
2026-05-12T18:39:00Z,76.26,24.00
2026-05-12T18:40:00Z,75.33,25.79
2026-05-12T18:41:00Z,77.05,23.03
2026-05-12T18:42:00Z,79.97,21.60
2026-05-12T18:43:00Z,81.02,20.00
2026-05-12T18:44:00Z,83.15,17.99
2026-05-12T18:45:00Z,83.83,17.40
2026-05-12T18:46:00Z,84.00,17.98
2026-05-12T18:47:00Z,83.94,17.31
2026-05-12T18:48:00Z,84.46,15.00
2026-05-12T18:49:00Z,86.87,12.98
2026-05-12T18:50:00Z,81.87,19.75
2026-05-12T18:51:00Z,81.54,20.74
2026-05-12T18:52:00Z,81.09,20.74
2026-05-12T18:53:00Z,82.61,19.58
2026-05-12T18:54:00Z,82.11,18.98
2026-05-12T18:55:00Z,80.53,19.75
2026-05-12T18:56:00Z,78.36,21.37
2026-05-12T18:57:00Z,78.00,23.00
2026-05-12T18:58:00Z,75.55,24.91
2026-05-12T18:59:00Z,75.48,24.53
2026-05-12T19:00:00Z,77.67,25.89
2026-05-12T19:01:00Z,75.10,30.45
2026-05-12T19:02:00Z,62.55,36.68
2026-05-12T19:03:00Z,61.01,40.20
2026-05-12T19:04:00Z,59.92,41.87
2026-05-12T19:05:00Z,58.54,43.00
2026-05-12T19:06:00Z,58.00,42.99
2026-05-12T19:07:00Z,55.52,44.48
2026-05-12T19:08:00Z,57.51,44.03
2026-05-12T19:09:00Z,61.10,38.12
2026-05-12T19:10:00Z,62.29,40.73
2026-05-12T19:11:00Z,56.87,43.94
2026-05-12T19:12:00Z,55.01,45.58
2026-05-12T19:13:00Z,55.00,45.98
2026-05-12T19:14:00Z,53.17,47.00
2026-05-12T19:15:00Z,52.74,48.81
2026-05-12T19:16:00Z,54.47,47.68
2026-05-12T19:17:00Z,54.16,45.83
2026-05-12T19:18:00Z,60.92,43.11
2026-05-12T19:19:00Z,63.06,37.80
2026-05-12T19:20:00Z,63.03,42.21
2026-05-12T19:21:00Z,56.22,45.39
2026-05-12T19:22:00Z,52.25,48.02
2026-05-12T19:23:00Z,52.69,48.49
2026-05-12T19:24:00Z,53.61,46.98
2026-05-12T19:25:00Z,56.66,44.25
2026-05-12T19:26:00Z,57.67,42.00
2026-05-12T19:27:00Z,58.81,44.08
2026-05-12T19:28:00Z,58.94,42.04
2026-05-12T19:29:00Z,68.04,33.59
2026-05-12T19:30:00Z,81.09,19.15
2026-05-12T19:31:00Z,86.98,13.53
2026-05-12T19:32:00Z,88.04,11.59
2026-05-12T19:33:00Z,89.02,11.96
2026-05-12T19:34:00Z,89.99,10.56
2026-05-12T19:35:00Z,92.90,6.96
2026-05-12T19:36:00Z,94.78,4.71
2026-05-12T19:37:00Z,96.90,2.89
2026-05-12T19:38:00Z,98.04,2.07
2026-05-12T19:39:00Z,98.29,2.38
2026-05-12T19:40:00Z,98.47,1.81
2026-05-12T19:41:00Z,97.98,1.98
2026-05-12T19:42:00Z,98.56,1.12
2026-05-12T19:43:00Z,99.00,1.19
2026-05-12T19:44:00Z,99.00,1.00
2026-05-12T19:45:00Z,99.00,1.00
2026-05-12T19:46:00Z,98.69,1.00
2026-05-12T19:47:00Z,98.97,1.00
2026-05-12T19:48:00Z,99.00,1.00
2026-05-12T19:49:00Z,99.00,1.00
2026-05-12T19:50:00Z,99.00,1.00
2026-05-12T19:51:00Z,99.00,1.00
