# event_ticker=KXATPCHALLENGERMATCH-26MAY05GILKOL
# final_score=6-4 6-4
# match_winner=Zdenek Kolar
# fav_player=Zdenek Kolar
# dog_player=Felix Gill
# kalshi_date=2026-05-05
timestamp,Felix Gill,Zdenek Kolar
2026-05-05T01:49:00Z,,50.00
2026-05-05T02:33:00Z,53.00,50.00
2026-05-05T02:41:00Z,52.00,50.00
2026-05-05T02:48:00Z,52.00,50.00
2026-05-05T02:57:00Z,52.00,50.00
2026-05-05T04:27:00Z,52.00,50.00
2026-05-05T04:38:00Z,52.00,50.00
2026-05-05T04:57:00Z,52.00,50.00
2026-05-05T06:15:00Z,52.00,50.00
2026-05-05T07:46:00Z,52.00,50.00
2026-05-05T08:55:00Z,51.51,50.00
2026-05-05T09:42:00Z,51.51,50.00
2026-05-05T10:49:00Z,53.00,50.00
2026-05-05T10:53:00Z,52.00,50.00
2026-05-05T10:54:00Z,52.00,48.00
2026-05-05T10:55:00Z,52.00,48.00
2026-05-05T10:57:00Z,52.00,47.00
2026-05-05T10:59:00Z,52.00,51.00
2026-05-05T11:00:00Z,51.70,51.00
2026-05-05T11:01:00Z,49.00,51.00
2026-05-05T11:02:00Z,43.00,56.87
2026-05-05T11:03:00Z,43.00,57.05
2026-05-05T11:04:00Z,46.00,60.84
2026-05-05T11:06:00Z,46.00,62.14
2026-05-05T11:07:00Z,42.16,62.14
2026-05-05T11:08:00Z,41.00,63.00
2026-05-05T11:09:00Z,47.00,58.00
2026-05-05T11:10:00Z,47.00,51.00
2026-05-05T11:11:00Z,47.00,48.00
2026-05-05T11:12:00Z,53.12,48.00
2026-05-05T11:13:00Z,53.12,45.00
2026-05-05T11:14:00Z,53.12,50.72
2026-05-05T11:16:00Z,53.12,46.00
2026-05-05T11:17:00Z,56.00,45.95
2026-05-05T11:18:00Z,57.67,45.95
2026-05-05T11:19:00Z,57.67,45.00
2026-05-05T11:21:00Z,49.00,51.85
2026-05-05T11:22:00Z,49.25,50.80
2026-05-05T11:23:00Z,48.00,56.04
2026-05-05T11:24:00Z,51.00,54.39
2026-05-05T11:25:00Z,39.73,61.49
2026-05-05T11:26:00Z,33.00,68.82
2026-05-05T11:27:00Z,33.00,69.00
2026-05-05T11:28:00Z,30.00,68.26
2026-05-05T11:29:00Z,30.99,71.02
2026-05-05T11:30:00Z,28.49,72.00
2026-05-05T11:32:00Z,28.02,74.00
2026-05-05T11:33:00Z,28.00,72.88
2026-05-05T11:34:00Z,28.00,70.00
2026-05-05T11:35:00Z,28.00,70.00
2026-05-05T11:36:00Z,25.00,75.00
2026-05-05T11:37:00Z,23.00,77.00
2026-05-05T11:38:00Z,23.00,78.00
2026-05-05T11:39:00Z,23.00,78.00
2026-05-05T11:40:00Z,22.14,78.00
2026-05-05T11:42:00Z,16.00,83.00
2026-05-05T11:43:00Z,16.00,87.65
2026-05-05T11:44:00Z,16.00,78.00
2026-05-05T11:45:00Z,23.30,77.03
2026-05-05T11:46:00Z,23.30,77.47
2026-05-05T11:47:00Z,13.00,86.02
2026-05-05T11:48:00Z,12.01,86.02
2026-05-05T11:49:00Z,12.20,85.12
2026-05-05T11:50:00Z,18.38,85.12
2026-05-05T11:51:00Z,18.38,85.00
2026-05-05T11:52:00Z,14.00,82.00
2026-05-05T11:53:00Z,21.37,82.00
2026-05-05T11:54:00Z,21.37,76.28
2026-05-05T11:55:00Z,26.34,71.54
2026-05-05T11:56:00Z,28.00,71.54
2026-05-05T11:57:00Z,29.77,71.00
2026-05-05T11:58:00Z,27.99,72.00
2026-05-05T11:59:00Z,27.99,70.00
2026-05-05T12:00:00Z,29.01,69.00
2026-05-05T12:01:00Z,29.00,72.00
2026-05-05T12:02:00Z,33.59,65.17
2026-05-05T12:03:00Z,32.64,67.41
2026-05-05T12:04:00Z,32.64,73.42
2026-05-05T12:05:00Z,23.00,77.89
2026-05-05T12:06:00Z,22.89,80.00
2026-05-05T12:07:00Z,29.00,72.14
2026-05-05T12:08:00Z,21.69,76.73
2026-05-05T12:09:00Z,22.32,77.90
2026-05-05T12:10:00Z,26.00,73.00
2026-05-05T12:11:00Z,20.54,80.96
2026-05-05T12:12:00Z,20.00,86.57
2026-05-05T12:13:00Z,20.00,88.20
2026-05-05T12:14:00Z,13.00,91.20
2026-05-05T12:15:00Z,9.00,92.00
2026-05-05T12:16:00Z,6.41,93.79
2026-05-05T12:17:00Z,5.25,95.07
2026-05-05T12:18:00Z,2.00,98.00
2026-05-05T12:19:00Z,5.59,92.36
2026-05-05T12:20:00Z,8.26,92.27
2026-05-05T12:21:00Z,9.00,93.01
2026-05-05T12:22:00Z,9.00,94.85
2026-05-05T12:23:00Z,9.00,92.00
2026-05-05T12:24:00Z,9.74,91.59
2026-05-05T12:25:00Z,8.09,95.40
2026-05-05T12:26:00Z,4.00,96.98
2026-05-05T12:27:00Z,5.00,95.82
2026-05-05T12:28:00Z,5.77,94.98
2026-05-05T12:29:00Z,6.00,95.00
2026-05-05T12:30:00Z,8.61,92.12
2026-05-05T12:31:00Z,4.83,95.94
2026-05-05T12:32:00Z,1.00,98.96
