# event_ticker=KXATPMATCH-25JUL21MCDSMI
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Mackenzie McDonald
# fav_player=Colton Smith
# dog_player=Mackenzie McDonald
# kalshi_date=2025-07-21
timestamp,Colton Smith,Mackenzie McDonald
2025-07-21T12:01:00Z,,66.96
2025-07-21T12:05:00Z,,65.00
2025-07-21T12:48:00Z,,65.00
2025-07-21T14:31:00Z,,66.00
2025-07-21T14:51:00Z,,66.00
2025-07-21T15:07:00Z,36.00,66.00
2025-07-21T15:10:00Z,36.00,66.00
2025-07-21T15:40:00Z,36.00,64.00
2025-07-21T15:47:00Z,36.00,63.00
2025-07-21T15:51:00Z,36.00,63.00
2025-07-21T16:12:00Z,36.00,64.00
2025-07-21T16:19:00Z,36.00,64.00
2025-07-21T16:27:00Z,36.00,64.00
2025-07-21T16:45:00Z,36.00,76.00
2025-07-21T16:53:00Z,36.00,74.00
2025-07-21T17:18:00Z,36.00,61.00
2025-07-21T17:47:00Z,40.00,61.00
2025-07-21T17:48:00Z,40.00,61.00
2025-07-21T17:54:00Z,40.00,59.00
2025-07-21T17:59:00Z,41.00,61.00
2025-07-21T18:01:00Z,41.00,61.00
2025-07-21T18:04:00Z,41.00,61.00
2025-07-21T18:07:00Z,38.00,61.00
2025-07-21T18:09:00Z,40.00,61.00
2025-07-21T18:10:00Z,40.00,59.23
2025-07-21T18:11:00Z,40.00,60.00
2025-07-21T18:12:00Z,39.00,61.00
2025-07-21T18:14:00Z,37.00,66.00
2025-07-21T18:16:00Z,38.00,65.40
2025-07-21T18:17:00Z,38.00,64.41
2025-07-21T18:18:00Z,41.00,62.00
2025-07-21T18:20:00Z,36.06,64.07
2025-07-21T18:22:00Z,36.06,67.03
2025-07-21T18:23:00Z,42.00,67.03
2025-07-21T18:24:00Z,40.00,61.00
2025-07-21T18:25:00Z,40.00,64.00
2025-07-21T18:26:00Z,34.00,64.41
2025-07-21T18:27:00Z,34.00,66.00
2025-07-21T18:29:00Z,37.07,66.00
2025-07-21T18:30:00Z,37.07,62.00
2025-07-21T18:31:00Z,41.00,60.00
2025-07-21T18:32:00Z,41.00,67.00
2025-07-21T18:33:00Z,54.00,46.00
2025-07-21T18:34:00Z,47.00,46.00
2025-07-21T18:35:00Z,44.08,46.00
2025-07-21T18:36:00Z,44.08,65.00
2025-07-21T18:38:00Z,54.00,65.00
2025-07-21T18:39:00Z,54.00,50.25
2025-07-21T18:40:00Z,39.43,50.25
2025-07-21T18:41:00Z,38.00,64.63
2025-07-21T18:43:00Z,35.00,64.63
2025-07-21T18:45:00Z,35.38,67.00
2025-07-21T18:46:00Z,31.00,69.13
2025-07-21T18:47:00Z,23.36,78.62
2025-07-21T18:48:00Z,23.36,85.00
2025-07-21T18:49:00Z,16.00,85.00
2025-07-21T18:50:00Z,15.00,87.00
2025-07-21T18:51:00Z,15.00,86.10
2025-07-21T18:52:00Z,14.00,87.00
2025-07-21T18:53:00Z,16.00,84.00
2025-07-21T18:54:00Z,16.00,81.39
2025-07-21T18:55:00Z,16.00,81.06
2025-07-21T18:56:00Z,16.00,84.00
2025-07-21T18:58:00Z,16.00,85.00
2025-07-21T18:59:00Z,16.00,87.97
2025-07-21T19:00:00Z,14.00,87.97
2025-07-21T19:01:00Z,7.14,89.62
2025-07-21T19:02:00Z,11.00,91.99
2025-07-21T19:03:00Z,11.00,97.00
2025-07-21T19:04:00Z,5.48,98.00
2025-07-21T19:05:00Z,6.83,96.00
2025-07-21T19:06:00Z,6.83,92.39
2025-07-21T19:07:00Z,5.00,94.72
2025-07-21T19:08:00Z,4.00,94.72
2025-07-21T19:09:00Z,2.28,99.00
2025-07-21T19:10:00Z,2.28,98.00
2025-07-21T19:11:00Z,3.00,98.00
2025-07-21T19:12:00Z,1.00,97.20
2025-07-21T19:14:00Z,1.00,97.20
2025-07-21T19:15:00Z,1.00,99.00
2025-07-21T19:16:00Z,1.00,99.00
2025-07-21T19:18:00Z,1.00,99.00
