# event_ticker=KXATPMATCH-26FEB22MEDSHA
# final_score=6-1 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Juncheng Shang
# kalshi_date=2026-02-22
timestamp,Daniil Medvedev,Juncheng Shang
2026-02-23T22:39:00Z,,19.00
2026-02-23T22:42:00Z,81.00,19.00
2026-02-23T22:47:00Z,81.00,19.00
2026-02-23T23:01:00Z,81.00,19.00
2026-02-23T23:04:00Z,82.00,19.00
2026-02-23T23:10:00Z,82.00,19.00
2026-02-23T23:38:00Z,82.00,19.00
2026-02-23T23:43:00Z,82.00,19.00
2026-02-23T23:44:00Z,82.00,19.00
2026-02-24T00:20:00Z,82.00,19.00
2026-02-24T00:38:00Z,82.00,19.00
2026-02-24T00:40:00Z,82.00,19.00
2026-02-24T00:41:00Z,82.00,19.00
2026-02-24T01:31:00Z,82.00,19.00
2026-02-24T01:33:00Z,82.00,19.00
2026-02-24T01:49:00Z,81.00,19.00
2026-02-24T02:17:00Z,81.00,19.00
2026-02-24T02:20:00Z,81.00,19.00
2026-02-24T02:21:00Z,81.00,20.00
2026-02-24T02:30:00Z,81.00,20.00
2026-02-24T02:46:00Z,81.00,20.00
2026-02-24T03:06:00Z,81.00,20.00
2026-02-24T03:08:00Z,81.00,20.00
2026-02-24T03:11:00Z,81.00,20.00
2026-02-24T03:12:00Z,81.00,20.00
2026-02-24T03:15:00Z,81.00,20.00
2026-02-24T03:20:00Z,81.00,20.00
2026-02-24T03:21:00Z,81.00,20.00
2026-02-24T03:25:00Z,81.00,20.00
2026-02-24T03:34:00Z,81.00,20.00
2026-02-24T03:38:00Z,81.00,20.00
2026-02-24T03:41:00Z,81.00,20.00
2026-02-24T03:43:00Z,81.00,20.00
2026-02-24T03:55:00Z,81.00,20.00
2026-02-24T04:04:00Z,81.00,20.00
2026-02-24T04:10:00Z,81.00,20.00
2026-02-24T04:15:00Z,81.00,20.00
2026-02-24T04:17:00Z,81.00,20.00
2026-02-24T04:20:00Z,81.00,20.00
2026-02-24T04:23:00Z,81.00,20.00
2026-02-24T04:30:00Z,81.00,20.00
2026-02-24T04:31:00Z,81.00,20.00
2026-02-24T04:41:00Z,81.00,20.00
2026-02-24T04:46:00Z,81.00,20.00
2026-02-24T04:49:00Z,81.00,20.00
2026-02-24T04:51:00Z,81.00,20.00
2026-02-24T04:55:00Z,81.00,20.00
2026-02-24T04:57:00Z,80.00,20.00
2026-02-24T04:58:00Z,81.00,20.00
2026-02-24T04:59:00Z,80.97,20.00
2026-02-24T05:00:00Z,82.00,20.00
2026-02-24T05:01:00Z,82.00,19.00
2026-02-24T05:03:00Z,82.00,19.00
2026-02-24T05:04:00Z,82.00,19.00
