# event_ticker=KXATPCHALLENGERMATCH-26APR03HUEDIA
# final_score=4-6 6-1 6-4
# score_resolution=6-4 1-6 4-6
# match_winner=Facundo Diaz Acosta
# fav_player=Connor Huertas Del Pino
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-04-03
timestamp,Connor Huertas Del Pino,Facundo Diaz Acosta
2026-04-03T02:35:00Z,50.00,74.00
2026-04-03T02:40:00Z,31.00,77.00
2026-04-03T02:42:00Z,31.00,84.00
2026-04-03T02:51:00Z,28.00,80.00
2026-04-03T03:02:00Z,28.00,76.00
2026-04-03T03:10:00Z,28.00,76.00
2026-04-03T03:15:00Z,32.00,76.00
2026-04-03T03:45:00Z,14.00,76.00
2026-04-03T04:02:00Z,32.00,76.00
2026-04-03T04:03:00Z,31.00,76.00
2026-04-03T04:13:00Z,14.00,76.00
2026-04-03T04:30:00Z,26.71,76.00
2026-04-03T04:38:00Z,31.18,76.00
2026-04-03T04:45:00Z,31.18,78.00
2026-04-03T04:46:00Z,31.18,78.00
2026-04-03T05:11:00Z,15.96,84.71
2026-04-03T05:12:00Z,15.01,86.01
2026-04-03T05:21:00Z,22.00,86.01
2026-04-03T05:24:00Z,22.00,86.01
2026-04-03T05:30:00Z,23.00,86.01
2026-04-03T05:34:00Z,23.97,86.01
2026-04-03T05:58:00Z,23.97,81.00
2026-04-03T06:05:00Z,23.97,81.00
2026-04-03T06:13:00Z,23.97,85.00
2026-04-03T06:20:00Z,23.97,88.00
2026-04-03T06:26:00Z,17.00,88.00
2026-04-03T06:36:00Z,13.00,87.95
2026-04-03T07:32:00Z,18.00,87.95
2026-04-03T07:44:00Z,19.00,87.95
2026-04-03T07:56:00Z,16.00,87.95
2026-04-03T08:09:00Z,16.00,85.00
2026-04-03T08:58:00Z,16.00,84.00
2026-04-03T08:59:00Z,16.00,84.00
2026-04-03T09:04:00Z,16.00,84.00
2026-04-03T09:13:00Z,16.00,84.00
2026-04-03T09:19:00Z,16.00,85.00
2026-04-03T09:35:00Z,14.00,85.00
2026-04-03T10:02:00Z,15.00,85.00
2026-04-03T10:56:00Z,15.00,85.00
2026-04-03T11:12:00Z,14.00,85.00
2026-04-03T11:21:00Z,14.00,85.00
2026-04-03T11:59:00Z,14.00,85.00
2026-04-03T12:09:00Z,14.00,85.00
2026-04-03T12:10:00Z,14.00,85.00
2026-04-03T12:18:00Z,14.00,85.00
2026-04-03T12:21:00Z,14.00,85.00
2026-04-03T12:22:00Z,14.00,85.00
2026-04-03T12:29:00Z,14.00,89.00
2026-04-03T12:36:00Z,14.00,89.00
2026-04-03T12:52:00Z,17.00,84.00
2026-04-03T12:56:00Z,12.43,88.00
2026-04-03T12:58:00Z,15.00,88.00
2026-04-03T13:06:00Z,14.00,87.00
2026-04-03T13:21:00Z,15.00,87.00
2026-04-03T13:33:00Z,16.00,87.00
2026-04-03T13:34:00Z,16.00,88.00
2026-04-03T13:37:00Z,16.00,88.00
2026-04-03T13:38:00Z,16.00,88.00
2026-04-03T13:43:00Z,14.40,88.00
2026-04-03T13:44:00Z,14.00,87.00
2026-04-03T13:45:00Z,16.00,88.00
2026-04-03T13:46:00Z,17.00,88.00
2026-04-03T13:47:00Z,16.17,87.56
2026-04-03T13:48:00Z,16.17,86.50
2026-04-03T13:52:00Z,14.85,86.50
2026-04-03T13:53:00Z,14.85,87.31
2026-04-03T13:54:00Z,16.00,87.83
2026-04-03T13:55:00Z,15.00,86.00
2026-04-03T13:56:00Z,16.76,86.00
2026-04-03T13:58:00Z,15.00,86.00
2026-04-03T13:59:00Z,15.00,88.92
2026-04-03T14:00:00Z,14.00,87.00
2026-04-03T14:01:00Z,14.00,88.00
2026-04-03T14:02:00Z,14.84,87.00
2026-04-03T14:03:00Z,14.00,87.09
2026-04-03T14:04:00Z,13.00,88.00
2026-04-03T14:05:00Z,13.00,88.00
2026-04-03T14:06:00Z,13.00,88.00
2026-04-03T14:07:00Z,13.14,87.00
2026-04-03T14:08:00Z,15.07,85.37
2026-04-03T14:09:00Z,16.35,86.00
2026-04-03T14:10:00Z,13.87,86.00
2026-04-03T14:11:00Z,17.15,84.35
2026-04-03T14:12:00Z,18.54,83.29
