# event_ticker=KXATPCHALLENGERMATCH-26FEB24SIMLEO
# final_score=4-6 6-2 7-6(10)
# score_resolution=4-6 6-2 7-6
# match_winner=Ilia Simakin
# fav_player=Ilia Simakin
# dog_player=Mitsuki Wei Kang Leong
# kalshi_date=2026-02-24
timestamp,Ilia Simakin,Mitsuki Wei Kang Leong
2026-02-23T19:45:00Z,,21.00
2026-02-23T20:49:00Z,82.00,21.00
2026-02-23T21:42:00Z,82.00,20.00
2026-02-23T22:36:00Z,82.00,20.00
2026-02-23T23:17:00Z,82.00,20.00
2026-02-23T23:34:00Z,82.00,20.00
2026-02-23T23:44:00Z,82.00,20.00
2026-02-24T00:40:00Z,82.00,20.00
2026-02-24T01:17:00Z,82.00,20.00
2026-02-24T01:18:00Z,83.00,20.00
2026-02-24T01:44:00Z,83.00,20.00
2026-02-24T02:14:00Z,83.00,19.00
2026-02-24T02:28:00Z,83.00,19.00
2026-02-24T02:34:00Z,83.00,19.00
2026-02-24T02:36:00Z,83.00,19.00
2026-02-24T02:39:00Z,85.00,19.00
2026-02-24T02:54:00Z,85.00,19.00
2026-02-24T03:32:00Z,85.00,19.00
2026-02-24T03:38:00Z,85.00,19.00
2026-02-24T03:54:00Z,85.00,19.00
2026-02-24T03:59:00Z,85.00,19.00
2026-02-24T04:01:00Z,85.00,19.00
2026-02-24T04:06:00Z,85.00,19.00
2026-02-24T04:14:00Z,85.00,19.00
2026-02-24T04:21:00Z,85.00,19.00
2026-02-24T04:25:00Z,85.00,19.00
2026-02-24T04:27:00Z,85.00,19.00
2026-02-24T04:35:00Z,85.00,19.00
2026-02-24T04:43:00Z,85.00,19.00
2026-02-24T04:46:00Z,85.00,19.00
2026-02-24T04:47:00Z,85.00,19.00
2026-02-24T04:48:00Z,85.00,19.00
2026-02-24T04:49:00Z,85.00,19.00
2026-02-24T04:51:00Z,85.00,19.00
2026-02-24T04:52:00Z,84.00,19.00
2026-02-24T04:53:00Z,84.00,19.00
2026-02-24T04:54:00Z,84.00,19.00
2026-02-24T04:55:00Z,84.00,19.00
2026-02-24T04:59:00Z,84.00,19.00
2026-02-24T05:01:00Z,84.00,19.00
