# event_ticker=KXATPCHALLENGERMATCH-26MAY14TYASTE
# final_score=7-6(7) 5-7 6-4
# score_resolution=6-7 7-5 4-6
# match_winner=Kriish Tyagi
# fav_player=Hamish Stewart
# dog_player=Kriish Tyagi
# kalshi_date=2026-05-14
timestamp,Kriish Tyagi,Hamish Stewart
2026-05-14T00:27:00Z,,85.00
2026-05-14T00:29:00Z,,83.00
2026-05-14T04:04:00Z,,86.00
2026-05-14T04:13:00Z,15.00,86.00
2026-05-14T04:32:00Z,15.00,86.00
2026-05-14T04:51:00Z,15.00,87.00
2026-05-14T05:26:00Z,15.00,87.00
2026-05-14T05:27:00Z,15.00,87.00
2026-05-14T06:00:00Z,15.00,86.00
2026-05-14T06:22:00Z,15.00,86.77
2026-05-14T09:13:00Z,15.00,87.00
2026-05-14T09:14:00Z,15.00,87.00
2026-05-14T10:05:00Z,15.00,87.00
2026-05-14T10:48:00Z,15.00,87.00
2026-05-14T10:49:00Z,15.00,87.00
2026-05-14T10:50:00Z,15.00,87.00
2026-05-14T11:15:00Z,15.00,87.00
2026-05-14T11:35:00Z,14.00,87.00
2026-05-14T11:41:00Z,13.00,87.00
2026-05-14T11:45:00Z,13.00,87.00
2026-05-14T11:48:00Z,13.00,87.00
2026-05-14T11:50:00Z,13.00,87.00
2026-05-14T11:52:00Z,14.00,87.00
2026-05-14T11:53:00Z,12.86,88.00
2026-05-14T11:54:00Z,16.92,84.00
2026-05-14T11:55:00Z,16.06,84.00
2026-05-14T11:56:00Z,18.00,83.00
2026-05-14T11:57:00Z,18.00,85.00
2026-05-14T11:58:00Z,17.87,82.28
2026-05-14T11:59:00Z,17.69,83.00
2026-05-14T12:00:00Z,16.28,82.00
2026-05-14T12:01:00Z,19.12,84.00
2026-05-14T12:02:00Z,18.95,82.00
2026-05-14T12:03:00Z,18.95,82.02
2026-05-14T12:04:00Z,15.92,84.14
2026-05-14T12:05:00Z,15.37,86.00
2026-05-14T12:06:00Z,15.32,84.61
2026-05-14T12:07:00Z,17.99,84.61
2026-05-14T12:08:00Z,19.00,83.00
2026-05-14T12:09:00Z,19.00,83.00
2026-05-14T12:10:00Z,18.00,83.00
2026-05-14T12:11:00Z,19.00,79.02
2026-05-14T12:12:00Z,24.43,78.00
