# event_ticker=KXATPCHALLENGERMATCH-26MAY18MARJOR
# final_score=2-6 7-5 6-3
# match_winner=David Jorda Sanchis
# fav_player=David Jorda Sanchis
# dog_player=Andres Martin
# kalshi_date=2026-05-18
timestamp,Andres Martin,David Jorda Sanchis
2026-05-18T01:12:00Z,33.00,
2026-05-18T02:29:00Z,36.00,
2026-05-18T03:01:00Z,36.00,
2026-05-18T03:15:00Z,36.00,66.00
2026-05-18T05:08:00Z,35.00,66.00
2026-05-18T05:54:00Z,35.00,66.00
2026-05-18T05:55:00Z,35.00,66.00
2026-05-18T07:07:00Z,34.00,66.00
2026-05-18T08:24:00Z,34.00,65.00
2026-05-18T11:57:00Z,36.00,65.00
2026-05-18T12:04:00Z,36.00,66.00
2026-05-18T12:08:00Z,38.00,65.00
2026-05-18T12:10:00Z,40.00,65.00
2026-05-18T12:11:00Z,40.76,65.00
2026-05-18T12:12:00Z,48.00,56.27
2026-05-18T12:13:00Z,48.00,49.00
2026-05-18T12:14:00Z,55.54,48.00
2026-05-18T12:15:00Z,51.74,48.00
2026-05-18T12:16:00Z,43.00,48.00
2026-05-18T12:17:00Z,40.00,48.00
2026-05-18T12:20:00Z,51.24,51.00
2026-05-18T12:21:00Z,43.77,51.00
2026-05-18T12:22:00Z,46.95,51.00
2026-05-18T12:23:00Z,56.43,46.00
2026-05-18T12:24:00Z,53.11,46.00
2026-05-18T12:27:00Z,60.00,40.00
2026-05-18T12:28:00Z,60.19,41.00
2026-05-18T12:29:00Z,61.52,39.00
2026-05-18T12:30:00Z,61.98,39.00
2026-05-18T12:32:00Z,64.00,39.00
2026-05-18T12:33:00Z,61.00,40.45
2026-05-18T12:34:00Z,64.00,40.45
2026-05-18T12:36:00Z,67.00,33.00
2026-05-18T12:37:00Z,63.83,33.00
2026-05-18T12:40:00Z,67.00,35.00
2026-05-18T12:41:00Z,70.00,35.00
2026-05-18T12:42:00Z,71.43,30.00
2026-05-18T12:43:00Z,71.00,30.00
2026-05-18T12:44:00Z,70.75,30.00
2026-05-18T12:45:00Z,71.00,30.00
2026-05-18T12:46:00Z,70.05,28.00
2026-05-18T12:47:00Z,72.15,28.87
2026-05-18T12:48:00Z,66.59,31.78
2026-05-18T12:49:00Z,68.67,32.36
2026-05-18T12:50:00Z,72.02,26.68
2026-05-18T12:51:00Z,71.48,28.41
2026-05-18T12:52:00Z,71.44,30.99
2026-05-18T12:53:00Z,67.00,33.49
2026-05-18T12:54:00Z,63.89,35.87
2026-05-18T12:55:00Z,59.01,41.00
2026-05-18T12:56:00Z,63.11,39.00
2026-05-18T12:57:00Z,68.47,33.00
2026-05-18T12:58:00Z,68.42,33.00
2026-05-18T12:59:00Z,69.41,33.00
2026-05-18T13:00:00Z,69.41,29.00
2026-05-18T13:01:00Z,73.54,26.47
2026-05-18T13:02:00Z,71.26,26.00
2026-05-18T13:03:00Z,67.00,32.75
2026-05-18T13:04:00Z,68.93,31.20
2026-05-18T13:05:00Z,66.19,36.70
2026-05-18T13:06:00Z,60.16,40.76
2026-05-18T13:07:00Z,61.40,35.99
2026-05-18T13:08:00Z,70.98,35.99
2026-05-18T13:09:00Z,72.00,35.99
2026-05-18T13:10:00Z,73.80,26.00
2026-05-18T13:11:00Z,71.00,25.06
2026-05-18T13:12:00Z,69.03,32.21
2026-05-18T13:13:00Z,67.00,34.28
2026-05-18T13:14:00Z,70.78,28.34
2026-05-18T13:15:00Z,74.00,25.00
2026-05-18T13:16:00Z,74.57,26.00
2026-05-18T13:17:00Z,70.10,30.53
2026-05-18T13:18:00Z,69.00,32.00
2026-05-18T13:19:00Z,68.39,32.25
2026-05-18T13:20:00Z,67.05,34.61
2026-05-18T13:21:00Z,72.13,29.47
2026-05-18T13:22:00Z,72.95,30.19
2026-05-18T13:23:00Z,74.51,27.00
2026-05-18T13:24:00Z,71.56,28.80
2026-05-18T13:25:00Z,67.14,32.03
2026-05-18T13:26:00Z,66.37,33.79
2026-05-18T13:27:00Z,69.36,28.01
2026-05-18T13:28:00Z,69.93,30.48
2026-05-18T13:29:00Z,64.85,33.92
2026-05-18T13:30:00Z,55.74,43.32
2026-05-18T13:31:00Z,43.00,57.98
2026-05-18T13:32:00Z,38.42,62.28
2026-05-18T13:33:00Z,38.73,63.73
2026-05-18T13:34:00Z,36.15,64.09
2026-05-18T13:35:00Z,38.45,63.25
2026-05-18T13:36:00Z,40.94,58.54
2026-05-18T13:37:00Z,38.03,63.43
2026-05-18T13:38:00Z,38.00,63.00
2026-05-18T13:39:00Z,38.00,63.00
2026-05-18T13:40:00Z,38.28,63.01
2026-05-18T13:41:00Z,36.36,67.23
2026-05-18T13:42:00Z,37.55,64.96
2026-05-18T13:43:00Z,35.32,67.32
2026-05-18T13:44:00Z,36.16,68.54
2026-05-18T13:45:00Z,28.98,70.25
2026-05-18T13:46:00Z,33.62,72.12
2026-05-18T13:47:00Z,31.62,71.41
2026-05-18T13:48:00Z,34.99,65.96
2026-05-18T13:49:00Z,35.91,65.56
2026-05-18T13:50:00Z,27.50,75.74
2026-05-18T13:51:00Z,34.35,69.05
2026-05-18T13:52:00Z,38.94,60.99
2026-05-18T13:53:00Z,45.56,57.33
2026-05-18T13:54:00Z,51.61,46.97
2026-05-18T13:55:00Z,56.52,50.07
2026-05-18T13:56:00Z,60.12,40.78
2026-05-18T13:57:00Z,57.49,47.82
2026-05-18T13:58:00Z,66.63,34.57
2026-05-18T13:59:00Z,59.96,43.45
2026-05-18T14:00:00Z,59.17,41.05
2026-05-18T14:01:00Z,54.78,45.45
2026-05-18T14:02:00Z,56.00,47.65
2026-05-18T14:03:00Z,47.68,53.82
2026-05-18T14:04:00Z,47.16,53.94
2026-05-18T14:05:00Z,50.70,48.86
2026-05-18T14:06:00Z,45.13,55.76
2026-05-18T14:07:00Z,44.98,56.38
2026-05-18T14:08:00Z,44.64,56.14
2026-05-18T14:09:00Z,42.01,59.44
2026-05-18T14:10:00Z,42.37,62.72
2026-05-18T14:11:00Z,31.45,69.36
2026-05-18T14:12:00Z,41.84,58.77
2026-05-18T14:13:00Z,47.92,53.23
2026-05-18T14:14:00Z,48.05,53.32
2026-05-18T14:15:00Z,52.46,47.86
2026-05-18T14:16:00Z,50.60,49.86
2026-05-18T14:17:00Z,46.08,51.98
2026-05-18T14:18:00Z,39.00,64.63
2026-05-18T14:19:00Z,35.06,66.87
2026-05-18T14:20:00Z,42.71,58.44
2026-05-18T14:21:00Z,41.97,62.17
2026-05-18T14:22:00Z,18.96,83.65
2026-05-18T14:23:00Z,14.57,85.53
2026-05-18T14:24:00Z,15.33,82.38
2026-05-18T14:25:00Z,26.71,72.18
2026-05-18T14:26:00Z,23.92,75.77
2026-05-18T14:27:00Z,24.89,80.12
2026-05-18T14:28:00Z,16.02,88.57
2026-05-18T14:29:00Z,7.77,92.30
2026-05-18T14:30:00Z,5.91,94.46
2026-05-18T14:31:00Z,3.54,96.45
2026-05-18T14:32:00Z,5.68,95.83
2026-05-18T14:33:00Z,8.11,92.36
2026-05-18T14:34:00Z,5.67,95.13
2026-05-18T14:35:00Z,2.58,98.90
2026-05-18T14:36:00Z,2.58,99.00
