# event_ticker=KXATPCHALLENGERMATCH-26MAY30OLISAK
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Stefanos Sakellaridis
# fav_player=Genaro Alberto Olivieri
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-05-30
timestamp,Genaro Alberto Olivieri,Stefanos Sakellaridis
2026-05-30T01:52:00Z,,65.00
2026-05-30T02:38:00Z,35.00,65.00
2026-05-30T02:42:00Z,35.00,67.00
2026-05-30T03:15:00Z,35.00,67.00
2026-05-30T03:23:00Z,35.00,67.00
2026-05-30T03:32:00Z,35.00,67.00
2026-05-30T03:40:00Z,35.00,67.00
2026-05-30T03:59:00Z,35.00,67.00
2026-05-30T04:15:00Z,35.00,67.00
2026-05-30T04:36:00Z,34.00,67.00
2026-05-30T04:54:00Z,34.00,66.00
2026-05-30T05:02:00Z,34.00,66.00
2026-05-30T05:17:00Z,34.00,66.00
2026-05-30T05:26:00Z,35.00,66.00
2026-05-30T05:37:00Z,35.00,67.00
2026-05-30T05:52:00Z,35.00,67.00
2026-05-30T06:21:00Z,35.00,67.00
2026-05-30T06:27:00Z,35.00,67.00
2026-05-30T06:37:00Z,35.00,67.00
2026-05-30T06:54:00Z,35.00,67.00
2026-05-30T06:55:00Z,35.00,67.00
2026-05-30T07:03:00Z,35.00,67.00
2026-05-30T07:46:00Z,35.00,67.00
2026-05-30T07:48:00Z,35.00,67.00
2026-05-30T09:14:00Z,35.00,67.00
2026-05-30T09:29:00Z,35.00,67.00
2026-05-30T09:30:00Z,35.00,67.00
2026-05-30T09:42:00Z,35.00,67.00
2026-05-30T10:21:00Z,35.00,67.00
2026-05-30T10:25:00Z,35.00,67.00
2026-05-30T10:27:00Z,35.00,67.00
2026-05-30T10:47:00Z,35.00,64.94
2026-05-30T11:56:00Z,37.00,64.94
2026-05-30T12:16:00Z,37.00,66.00
2026-05-30T12:29:00Z,36.00,66.00
2026-05-30T12:36:00Z,36.00,67.00
2026-05-30T12:52:00Z,36.00,66.00
2026-05-30T12:55:00Z,36.00,66.45
2026-05-30T13:00:00Z,36.00,67.00
2026-05-30T13:03:00Z,36.00,67.00
2026-05-30T13:04:00Z,36.00,67.00
2026-05-30T13:17:00Z,36.00,68.00
2026-05-30T13:18:00Z,36.00,68.00
2026-05-30T13:19:00Z,34.00,68.00
2026-05-30T13:20:00Z,34.00,68.57
2026-05-30T13:23:00Z,34.00,68.00
2026-05-30T13:24:00Z,34.00,68.00
2026-05-30T13:26:00Z,35.00,64.67
2026-05-30T13:27:00Z,32.80,67.00
2026-05-30T13:28:00Z,29.24,71.97
2026-05-30T13:29:00Z,29.24,68.00
2026-05-30T13:30:00Z,32.00,69.24
2026-05-30T13:31:00Z,33.00,69.24
2026-05-30T13:32:00Z,32.21,69.24
2026-05-30T13:33:00Z,34.95,65.50
2026-05-30T13:34:00Z,35.00,65.00
2026-05-30T13:35:00Z,32.00,67.27
2026-05-30T13:36:00Z,32.00,69.00
2026-05-30T13:37:00Z,32.00,71.00
2026-05-30T13:38:00Z,28.24,72.25
2026-05-30T13:39:00Z,31.09,72.25
2026-05-30T13:40:00Z,30.00,70.00
2026-05-30T13:41:00Z,34.53,64.81
2026-05-30T13:42:00Z,36.00,63.00
2026-05-30T13:43:00Z,37.97,64.09
2026-05-30T13:44:00Z,33.47,67.69
2026-05-30T13:45:00Z,33.47,68.00
2026-05-30T13:46:00Z,33.85,67.03
2026-05-30T13:47:00Z,33.00,67.03
2026-05-30T13:48:00Z,36.00,66.82
2026-05-30T13:49:00Z,36.00,71.00
2026-05-30T13:50:00Z,33.37,65.44
2026-05-30T13:51:00Z,33.37,67.00
2026-05-30T13:52:00Z,33.37,72.00
2026-05-30T13:53:00Z,33.37,73.83
2026-05-30T13:54:00Z,32.00,73.81
2026-05-30T13:55:00Z,25.02,73.81
2026-05-30T13:56:00Z,26.51,75.00
2026-05-30T13:57:00Z,23.84,75.00
2026-05-30T13:58:00Z,27.99,73.59
2026-05-30T13:59:00Z,25.03,73.00
2026-05-30T14:00:00Z,25.00,75.00
2026-05-30T14:02:00Z,25.00,78.00
2026-05-30T14:04:00Z,23.27,78.00
2026-05-30T14:05:00Z,25.82,76.47
2026-05-30T14:06:00Z,24.00,77.00
2026-05-30T14:07:00Z,21.12,79.84
2026-05-30T14:08:00Z,23.00,78.00
2026-05-30T14:09:00Z,25.00,76.00
2026-05-30T14:10:00Z,23.32,76.80
2026-05-30T14:11:00Z,23.32,79.94
2026-05-30T14:12:00Z,23.32,80.00
2026-05-30T14:13:00Z,21.88,78.58
2026-05-30T14:14:00Z,22.98,78.39
2026-05-30T14:15:00Z,21.99,77.13
2026-05-30T14:16:00Z,21.00,79.99
2026-05-30T14:17:00Z,20.98,79.94
2026-05-30T14:18:00Z,20.00,81.00
2026-05-30T14:22:00Z,20.00,81.00
2026-05-30T14:23:00Z,18.65,80.95
2026-05-30T14:24:00Z,14.54,84.17
2026-05-30T14:25:00Z,10.64,89.15
2026-05-30T14:26:00Z,10.00,90.83
2026-05-30T14:27:00Z,11.36,88.95
2026-05-30T14:28:00Z,9.70,90.03
2026-05-30T14:29:00Z,8.37,92.01
2026-05-30T14:30:00Z,12.12,89.44
2026-05-30T14:31:00Z,13.70,86.33
2026-05-30T14:32:00Z,18.34,86.81
2026-05-30T14:33:00Z,10.51,89.92
2026-05-30T14:34:00Z,7.41,93.00
2026-05-30T14:35:00Z,10.51,91.83
2026-05-30T14:36:00Z,10.00,90.00
2026-05-30T14:37:00Z,11.00,90.00
2026-05-30T14:38:00Z,15.60,86.50
2026-05-30T14:39:00Z,15.88,85.97
2026-05-30T14:40:00Z,10.16,89.42
2026-05-30T14:41:00Z,10.92,89.00
2026-05-30T14:42:00Z,11.00,89.12
2026-05-30T14:43:00Z,9.00,91.45
2026-05-30T14:44:00Z,8.48,92.05
2026-05-30T14:45:00Z,8.31,93.00
2026-05-30T14:46:00Z,7.98,93.23
2026-05-30T14:47:00Z,8.52,92.01
2026-05-30T14:48:00Z,9.00,90.99
2026-05-30T14:49:00Z,9.00,91.12
