# event_ticker=KXATPCHALLENGERMATCH-26MAR25NAGBON
# final_score=6-2 4-6 7-5
# match_winner=Federico Bondioli
# fav_player=Federico Bondioli
# dog_player=Sumit Nagal
# kalshi_date=2026-03-25
timestamp,Federico Bondioli,Sumit Nagal
2026-03-25T00:55:00Z,,65.00
2026-03-25T01:58:00Z,,65.00
2026-03-25T02:10:00Z,36.00,65.00
2026-03-25T03:22:00Z,37.00,65.00
2026-03-25T03:33:00Z,38.00,65.00
2026-03-25T04:14:00Z,38.00,65.00
2026-03-25T04:27:00Z,38.00,64.00
2026-03-25T04:29:00Z,37.00,64.00
2026-03-25T04:59:00Z,37.00,64.00
2026-03-25T05:10:00Z,37.00,64.00
2026-03-25T05:23:00Z,37.00,64.00
2026-03-25T05:24:00Z,37.00,63.00
2026-03-25T05:37:00Z,37.00,63.00
2026-03-25T05:46:00Z,37.00,63.00
2026-03-25T05:47:00Z,37.00,64.00
2026-03-25T05:53:00Z,37.00,64.00
2026-03-25T05:59:00Z,37.00,64.00
2026-03-25T06:11:00Z,37.00,63.00
2026-03-25T06:20:00Z,36.00,63.00
2026-03-25T06:23:00Z,37.00,63.00
2026-03-25T06:25:00Z,37.00,63.00
2026-03-25T06:59:00Z,37.00,64.00
2026-03-25T07:36:00Z,38.00,64.00
2026-03-25T07:52:00Z,38.00,64.00
2026-03-25T08:23:00Z,38.00,64.00
2026-03-25T08:29:00Z,37.00,64.00
2026-03-25T08:30:00Z,36.00,64.00
2026-03-25T09:23:00Z,36.00,64.00
2026-03-25T09:26:00Z,37.00,64.00
2026-03-25T09:53:00Z,37.00,64.00
2026-03-25T10:16:00Z,37.00,64.00
2026-03-25T11:09:00Z,37.00,64.00
2026-03-25T11:13:00Z,37.00,64.00
2026-03-25T11:23:00Z,37.00,64.00
2026-03-25T11:42:00Z,37.00,64.00
2026-03-25T11:47:00Z,37.00,64.24
2026-03-25T11:54:00Z,37.00,64.24
2026-03-25T11:58:00Z,37.00,65.00
2026-03-25T12:05:00Z,37.25,65.00
2026-03-25T12:12:00Z,37.25,65.42
2026-03-25T12:13:00Z,37.25,66.00
2026-03-25T12:16:00Z,37.25,66.00
2026-03-25T12:18:00Z,37.25,66.00
2026-03-25T12:22:00Z,37.00,66.00
2026-03-25T12:25:00Z,36.00,66.00
2026-03-25T12:26:00Z,36.00,66.00
2026-03-25T12:30:00Z,36.00,66.00
2026-03-25T12:33:00Z,37.00,66.00
2026-03-25T12:35:00Z,37.00,66.00
2026-03-25T12:36:00Z,37.37,66.00
2026-03-25T12:37:00Z,36.00,66.00
2026-03-25T12:40:00Z,36.00,66.00
2026-03-25T12:41:00Z,41.00,63.00
2026-03-25T12:42:00Z,43.00,60.05
2026-03-25T12:46:00Z,44.64,60.05
2026-03-25T12:47:00Z,36.09,64.44
2026-03-25T12:48:00Z,33.50,73.04
2026-03-25T12:49:00Z,32.00,65.01
2026-03-25T12:51:00Z,32.00,63.00
2026-03-25T12:52:00Z,42.00,63.00
2026-03-25T12:53:00Z,42.01,61.04
2026-03-25T12:54:00Z,47.63,60.45
2026-03-25T12:55:00Z,49.90,51.28
2026-03-25T12:56:00Z,48.34,51.96
2026-03-25T12:57:00Z,44.00,54.87
2026-03-25T12:58:00Z,55.60,46.00
2026-03-25T12:59:00Z,60.27,43.00
2026-03-25T13:00:00Z,62.44,40.00
2026-03-25T13:01:00Z,63.00,39.47
2026-03-25T13:02:00Z,64.23,38.68
2026-03-25T13:03:00Z,63.00,43.00
2026-03-25T13:04:00Z,65.00,38.23
2026-03-25T13:05:00Z,66.06,34.98
2026-03-25T13:06:00Z,66.87,37.00
2026-03-25T13:07:00Z,63.76,40.22
2026-03-25T13:08:00Z,63.21,39.02
2026-03-25T13:09:00Z,65.00,38.94
2026-03-25T13:10:00Z,61.20,38.94
2026-03-25T13:11:00Z,65.48,37.75
2026-03-25T13:12:00Z,67.00,35.00
2026-03-25T13:13:00Z,67.44,34.48
2026-03-25T13:14:00Z,70.53,33.87
2026-03-25T13:15:00Z,71.00,28.73
2026-03-25T13:16:00Z,69.32,28.73
2026-03-25T13:17:00Z,71.00,34.00
2026-03-25T13:18:00Z,73.56,30.00
2026-03-25T13:19:00Z,71.45,27.96
2026-03-25T13:20:00Z,73.45,28.00
2026-03-25T13:21:00Z,73.29,28.00
2026-03-25T13:22:00Z,72.84,28.91
2026-03-25T13:23:00Z,73.87,29.00
2026-03-25T13:24:00Z,74.00,27.34
2026-03-25T13:25:00Z,74.65,28.00
2026-03-25T13:26:00Z,74.31,29.66
2026-03-25T13:27:00Z,64.90,36.38
2026-03-25T13:28:00Z,59.98,40.47
2026-03-25T13:29:00Z,60.00,41.07
2026-03-25T13:30:00Z,60.00,42.17
2026-03-25T13:31:00Z,62.65,39.34
2026-03-25T13:32:00Z,63.46,39.73
2026-03-25T13:33:00Z,64.24,37.95
2026-03-25T13:34:00Z,61.53,36.60
2026-03-25T13:35:00Z,60.79,40.31
2026-03-25T13:36:00Z,57.95,42.77
2026-03-25T13:37:00Z,61.00,43.00
2026-03-25T13:38:00Z,65.39,35.00
2026-03-25T13:39:00Z,71.06,37.73
2026-03-25T13:40:00Z,73.27,26.70
2026-03-25T13:41:00Z,68.11,34.61
2026-03-25T13:42:00Z,68.19,35.46
2026-03-25T13:43:00Z,64.64,36.03
2026-03-25T13:44:00Z,68.47,31.37
2026-03-25T13:45:00Z,68.07,33.97
2026-03-25T13:46:00Z,73.73,34.12
2026-03-25T13:47:00Z,68.11,34.17
2026-03-25T13:48:00Z,68.35,37.83
2026-03-25T13:49:00Z,69.95,34.81
2026-03-25T13:50:00Z,61.27,42.87
2026-03-25T13:51:00Z,60.00,43.00
2026-03-25T13:52:00Z,60.64,42.31
