# event_ticker=KXATPCHALLENGERMATCH-26MAR04KOUZEP
# final_score=6-1 1-0 RET
# match_winner=Moise Kouame
# fav_player=Giulio Zeppieri
# dog_player=Moise Kouame
# kalshi_date=2026-03-04
timestamp,Giulio Zeppieri,Moise Kouame
2026-03-04T13:52:00Z,,57.00
2026-03-04T14:32:00Z,56.00,57.00
2026-03-04T14:38:00Z,56.00,57.00
2026-03-04T14:40:00Z,56.00,57.00
2026-03-04T14:44:00Z,56.00,57.00
2026-03-04T14:45:00Z,56.00,46.00
2026-03-04T14:48:00Z,56.00,46.00
2026-03-04T14:49:00Z,56.51,46.00
2026-03-04T14:57:00Z,57.00,46.00
2026-03-04T14:58:00Z,57.00,45.00
2026-03-04T15:03:00Z,57.00,45.00
2026-03-04T15:08:00Z,57.00,45.00
2026-03-04T15:10:00Z,57.00,45.00
2026-03-04T15:12:00Z,57.00,45.00
2026-03-04T15:13:00Z,57.00,43.00
2026-03-04T15:14:00Z,57.00,45.00
2026-03-04T15:20:00Z,57.00,45.00
2026-03-04T15:27:00Z,57.00,45.00
2026-03-04T15:28:00Z,57.00,45.00
2026-03-04T15:35:00Z,57.00,45.00
2026-03-04T15:36:00Z,55.00,45.00
2026-03-04T15:38:00Z,55.00,46.00
2026-03-04T15:40:00Z,55.00,46.00
2026-03-04T15:42:00Z,54.00,46.00
2026-03-04T15:43:00Z,54.00,46.00
2026-03-04T15:44:00Z,54.00,46.00
2026-03-04T15:45:00Z,56.00,46.00
2026-03-04T15:47:00Z,56.00,46.00
2026-03-04T15:48:00Z,56.00,47.00
2026-03-04T15:49:00Z,56.00,48.00
2026-03-04T15:50:00Z,55.00,48.00
2026-03-04T15:52:00Z,55.00,48.00
2026-03-04T15:53:00Z,53.00,47.00
2026-03-04T15:54:00Z,55.00,47.00
2026-03-04T15:56:00Z,53.00,47.00
2026-03-04T15:57:00Z,53.00,47.00
2026-03-04T15:58:00Z,53.00,48.00
2026-03-04T15:59:00Z,52.64,48.00
2026-03-04T16:01:00Z,52.00,48.00
2026-03-04T16:02:00Z,54.00,48.00
2026-03-04T16:04:00Z,54.00,47.00
2026-03-04T16:09:00Z,54.00,48.00
2026-03-04T16:10:00Z,54.00,48.00
2026-03-04T16:14:00Z,53.00,48.00
2026-03-04T16:18:00Z,54.00,48.00
2026-03-04T16:23:00Z,54.00,48.00
2026-03-04T16:27:00Z,54.00,48.00
2026-03-04T16:28:00Z,54.00,48.00
2026-03-04T16:29:00Z,54.00,48.00
2026-03-04T16:30:00Z,53.00,48.00
2026-03-04T16:33:00Z,53.00,48.00
2026-03-04T16:37:00Z,53.00,48.00
2026-03-04T16:38:00Z,53.00,48.00
2026-03-04T16:40:00Z,53.00,48.00
2026-03-04T16:41:00Z,54.00,48.00
2026-03-04T16:44:00Z,54.00,47.00
2026-03-04T16:48:00Z,54.00,48.00
2026-03-04T16:49:00Z,54.00,48.00
2026-03-04T16:51:00Z,53.00,48.00
2026-03-04T16:57:00Z,54.00,48.00
2026-03-04T16:58:00Z,54.00,47.00
