# event_ticker=KXATPCHALLENGERMATCH-26MAR18RODAMB
# final_score=3-6 6-3 3-0 RET
# match_winner=Luciano Emanuel Ambrogi
# fav_player=Luciano Emanuel Ambrogi
# dog_player=Santiago Rodriguez Taverna
# kalshi_date=2026-03-18
timestamp,Luciano Emanuel Ambrogi,Santiago Rodriguez Taverna
2026-03-18T07:17:00Z,,42.00
2026-03-18T08:20:00Z,,42.00
2026-03-18T09:05:00Z,61.00,42.00
2026-03-18T10:10:00Z,60.00,42.00
2026-03-18T11:51:00Z,60.00,42.00
2026-03-18T11:53:00Z,60.00,42.00
2026-03-18T11:58:00Z,61.00,42.00
2026-03-18T12:45:00Z,60.00,42.00
2026-03-18T13:13:00Z,61.00,42.00
2026-03-18T14:09:00Z,61.00,40.00
2026-03-18T14:19:00Z,61.00,42.00
2026-03-18T14:24:00Z,61.00,42.00
2026-03-18T15:47:00Z,61.00,41.00
2026-03-18T16:35:00Z,61.00,41.00
2026-03-18T16:36:00Z,61.00,42.00
2026-03-18T16:37:00Z,61.00,42.66
2026-03-18T16:42:00Z,61.00,42.66
2026-03-18T16:49:00Z,61.00,41.00
2026-03-18T16:54:00Z,61.00,41.00
2026-03-18T16:58:00Z,61.00,40.00
2026-03-18T17:00:00Z,58.95,40.00
2026-03-18T17:02:00Z,60.00,42.00
2026-03-18T17:04:00Z,60.50,42.00
2026-03-18T17:05:00Z,60.31,43.00
2026-03-18T17:06:00Z,60.00,43.00
2026-03-18T17:07:00Z,60.00,43.00
2026-03-18T17:08:00Z,60.00,42.63
2026-03-18T17:09:00Z,58.00,43.54
2026-03-18T17:10:00Z,60.67,43.94
2026-03-18T17:11:00Z,56.55,46.63
2026-03-18T17:12:00Z,57.42,45.35
2026-03-18T17:13:00Z,55.43,47.10
2026-03-18T17:14:00Z,50.32,53.45
2026-03-18T17:15:00Z,46.62,54.16
2026-03-18T17:16:00Z,44.00,58.18
2026-03-18T17:17:00Z,45.10,58.55
2026-03-18T17:18:00Z,40.58,60.34
2026-03-18T17:19:00Z,41.33,58.13
2026-03-18T17:20:00Z,37.29,63.38
2026-03-18T17:21:00Z,37.29,63.06
2026-03-18T17:22:00Z,39.69,61.60
2026-03-18T17:23:00Z,39.73,61.61
2026-03-18T17:24:00Z,37.52,64.92
2026-03-18T17:25:00Z,35.95,67.58
2026-03-18T17:26:00Z,35.70,65.11
2026-03-18T17:27:00Z,36.90,65.07
2026-03-18T17:28:00Z,35.10,65.71
2026-03-18T17:29:00Z,37.47,64.64
2026-03-18T17:30:00Z,31.78,69.32
2026-03-18T17:31:00Z,34.72,67.00
2026-03-18T17:32:00Z,31.19,69.07
2026-03-18T17:33:00Z,35.60,66.20
2026-03-18T17:34:00Z,37.85,63.36
2026-03-18T17:35:00Z,36.89,66.19
2026-03-18T17:36:00Z,33.21,67.98
2026-03-18T17:37:00Z,31.30,68.25
2026-03-18T17:38:00Z,30.95,69.93
2026-03-18T17:39:00Z,31.00,68.48
2026-03-18T17:40:00Z,33.03,69.01
2026-03-18T17:41:00Z,32.28,69.87
2026-03-18T17:42:00Z,31.45,69.55
2026-03-18T17:43:00Z,31.51,70.36
2026-03-18T17:44:00Z,31.54,68.46
2026-03-18T17:45:00Z,30.26,69.57
2026-03-18T17:46:00Z,30.82,71.86
2026-03-18T17:47:00Z,29.37,73.81
2026-03-18T17:48:00Z,26.00,73.99
2026-03-18T17:49:00Z,27.00,74.00
2026-03-18T17:50:00Z,27.50,73.39
2026-03-18T17:51:00Z,30.37,70.95
2026-03-18T17:52:00Z,29.21,71.00
2026-03-18T17:53:00Z,25.60,73.31
2026-03-18T17:54:00Z,26.18,74.76
2026-03-18T17:55:00Z,25.05,74.71
2026-03-18T17:56:00Z,25.97,73.84
2026-03-18T17:57:00Z,26.00,74.80
2026-03-18T17:58:00Z,26.00,74.91
2026-03-18T17:59:00Z,26.00,73.33
2026-03-18T18:00:00Z,22.59,76.25
2026-03-18T18:01:00Z,28.33,75.49
2026-03-18T18:02:00Z,29.40,72.84
2026-03-18T18:03:00Z,29.70,71.90
2026-03-18T18:04:00Z,29.84,70.44
2026-03-18T18:05:00Z,36.30,64.04
2026-03-18T18:06:00Z,33.63,66.46
2026-03-18T18:07:00Z,28.91,72.33
2026-03-18T18:08:00Z,26.04,75.88
2026-03-18T18:09:00Z,20.53,81.37
2026-03-18T18:10:00Z,14.14,85.51
2026-03-18T18:11:00Z,15.47,84.93
2026-03-18T18:12:00Z,21.38,78.32
2026-03-18T18:13:00Z,24.86,75.51
2026-03-18T18:14:00Z,26.72,75.10
2026-03-18T18:15:00Z,28.75,72.80
2026-03-18T18:16:00Z,28.19,73.00
2026-03-18T18:17:00Z,32.77,75.50
2026-03-18T18:18:00Z,33.54,65.59
2026-03-18T18:19:00Z,40.34,65.73
2026-03-18T18:20:00Z,42.09,62.73
2026-03-18T18:21:00Z,40.92,59.04
2026-03-18T18:22:00Z,41.47,62.24
2026-03-18T18:23:00Z,45.20,55.90
2026-03-18T18:24:00Z,63.20,39.35
2026-03-18T18:25:00Z,64.29,36.77
2026-03-18T18:26:00Z,66.15,35.50
2026-03-18T18:27:00Z,75.55,24.97
2026-03-18T18:28:00Z,72.14,29.35
2026-03-18T18:29:00Z,66.58,35.42
2026-03-18T18:30:00Z,66.08,36.72
2026-03-18T18:31:00Z,66.33,37.90
2026-03-18T18:32:00Z,65.69,36.64
2026-03-18T18:33:00Z,65.51,38.00
2026-03-18T18:34:00Z,72.25,29.21
2026-03-18T18:35:00Z,68.14,32.42
2026-03-18T18:36:00Z,68.92,33.43
2026-03-18T18:37:00Z,71.28,30.71
2026-03-18T18:38:00Z,69.52,31.36
2026-03-18T18:39:00Z,69.89,34.39
2026-03-18T18:40:00Z,68.85,33.23
2026-03-18T18:41:00Z,69.10,32.87
2026-03-18T18:42:00Z,68.35,33.28
2026-03-18T18:43:00Z,70.81,30.55
2026-03-18T18:44:00Z,75.00,27.17
2026-03-18T18:45:00Z,69.69,30.65
2026-03-18T18:46:00Z,68.59,34.53
2026-03-18T18:47:00Z,65.09,34.94
2026-03-18T18:48:00Z,66.19,34.81
2026-03-18T18:49:00Z,69.15,34.62
2026-03-18T18:50:00Z,68.00,36.17
2026-03-18T18:51:00Z,68.00,34.23
2026-03-18T18:52:00Z,68.36,31.49
2026-03-18T18:53:00Z,72.15,32.44
2026-03-18T18:54:00Z,72.54,28.13
2026-03-18T18:55:00Z,76.07,25.89
2026-03-18T18:56:00Z,70.82,30.54
