# event_ticker=KXATPMATCH-25SEP27COBTIE
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Learner Tien
# fav_player=Flavio Cobolli
# dog_player=Learner Tien
# kalshi_date=2025-09-27
timestamp,Flavio Cobolli,Learner Tien
2025-09-27T17:22:00Z,,40.00
2025-09-27T17:26:00Z,62.00,40.00
2025-09-27T17:56:00Z,60.00,40.00
2025-09-27T18:03:00Z,60.00,40.00
2025-09-27T18:09:00Z,60.00,40.00
2025-09-27T18:25:00Z,60.00,40.00
2025-09-27T18:29:00Z,60.00,40.00
2025-09-27T18:42:00Z,60.00,38.00
2025-09-27T19:28:00Z,60.00,38.00
2025-09-27T19:30:00Z,63.00,38.00
2025-09-27T19:44:00Z,63.00,38.00
2025-09-27T20:00:00Z,63.00,38.00
2025-09-27T20:15:00Z,63.00,38.00
2025-09-27T21:01:00Z,63.00,40.00
2025-09-27T21:04:00Z,63.00,40.00
2025-09-27T21:39:00Z,62.00,40.00
2025-09-27T23:04:00Z,62.00,39.00
2025-09-27T23:15:00Z,61.00,39.00
2025-09-27T23:24:00Z,61.00,39.00
2025-09-27T23:37:00Z,62.00,39.00
2025-09-27T23:54:00Z,62.00,39.00
2025-09-28T00:00:00Z,62.00,39.00
2025-09-28T00:03:00Z,61.00,39.00
2025-09-28T00:28:00Z,62.00,39.00
2025-09-28T00:50:00Z,62.00,39.00
2025-09-28T01:16:00Z,61.00,39.00
2025-09-28T01:22:00Z,61.00,39.00
2025-09-28T01:29:00Z,61.00,40.00
2025-09-28T01:41:00Z,61.00,40.00
2025-09-28T01:49:00Z,61.00,40.00
2025-09-28T01:57:00Z,61.00,40.00
2025-09-28T02:02:00Z,61.00,40.00
2025-09-28T02:30:00Z,61.00,40.00
2025-09-28T02:31:00Z,61.00,40.00
2025-09-28T02:34:00Z,61.00,40.00
2025-09-28T02:40:00Z,61.00,40.00
2025-09-28T02:42:00Z,61.00,40.00
2025-09-28T02:45:00Z,61.00,40.00
2025-09-28T02:53:00Z,61.00,40.00
2025-09-28T02:54:00Z,61.00,40.00
2025-09-28T02:55:00Z,61.00,40.00
2025-09-28T02:56:00Z,61.00,40.00
2025-09-28T02:58:00Z,61.00,40.00
2025-09-28T03:00:00Z,62.00,40.00
2025-09-28T03:03:00Z,63.00,40.00
2025-09-28T03:05:00Z,62.00,40.00
2025-09-28T03:06:00Z,62.00,40.00
2025-09-28T03:08:00Z,61.00,40.00
2025-09-28T03:09:00Z,61.00,40.00
2025-09-28T03:10:00Z,61.00,40.20
2025-09-28T03:12:00Z,61.00,40.20
2025-09-28T03:13:00Z,61.00,42.59
2025-09-28T03:14:00Z,58.00,42.59
2025-09-28T03:15:00Z,53.66,46.46
2025-09-28T03:16:00Z,51.72,50.70
2025-09-28T03:17:00Z,49.00,52.00
2025-09-28T03:18:00Z,46.25,53.99
2025-09-28T03:19:00Z,49.44,49.77
2025-09-28T03:20:00Z,48.00,51.04
2025-09-28T03:21:00Z,49.69,53.43
2025-09-28T03:22:00Z,53.96,47.02
2025-09-28T03:23:00Z,47.63,54.72
2025-09-28T03:24:00Z,42.36,59.84
2025-09-28T03:25:00Z,40.37,63.95
2025-09-28T03:26:00Z,40.37,65.38
2025-09-28T03:27:00Z,45.92,59.00
2025-09-28T03:28:00Z,45.92,57.00
2025-09-28T03:29:00Z,53.00,57.00
2025-09-28T03:30:00Z,53.00,49.00
2025-09-28T03:31:00Z,53.00,49.00
2025-09-28T03:33:00Z,41.00,61.79
2025-09-28T03:35:00Z,38.00,62.79
2025-09-28T03:36:00Z,40.00,63.00
2025-09-28T03:37:00Z,32.00,65.77
2025-09-28T03:38:00Z,32.00,69.00
2025-09-28T03:40:00Z,28.12,70.00
2025-09-28T03:41:00Z,28.12,72.88
2025-09-28T03:42:00Z,24.00,77.00
2025-09-28T03:44:00Z,24.00,77.00
2025-09-28T03:46:00Z,28.90,77.00
2025-09-28T03:47:00Z,29.00,71.00
2025-09-28T03:48:00Z,28.00,75.29
2025-09-28T03:49:00Z,30.59,72.00
2025-09-28T03:50:00Z,31.38,70.65
2025-09-28T03:51:00Z,28.00,73.81
2025-09-28T03:52:00Z,28.70,74.03
2025-09-28T03:53:00Z,26.60,74.00
2025-09-28T03:54:00Z,27.00,75.00
2025-09-28T03:55:00Z,24.24,75.59
2025-09-28T03:56:00Z,28.75,74.33
2025-09-28T03:57:00Z,32.00,74.33
2025-09-28T03:58:00Z,30.79,74.33
2025-09-28T04:00:00Z,30.79,73.42
2025-09-28T04:01:00Z,30.79,74.00
2025-09-28T04:03:00Z,30.43,73.00
2025-09-28T04:04:00Z,19.89,81.00
2025-09-28T04:05:00Z,14.70,84.45
2025-09-28T04:06:00Z,14.25,86.00
2025-09-28T04:07:00Z,22.91,80.36
2025-09-28T04:08:00Z,20.48,80.36
2025-09-28T04:09:00Z,20.20,80.36
2025-09-28T04:10:00Z,14.00,85.01
2025-09-28T04:11:00Z,14.55,85.28
2025-09-28T04:12:00Z,11.30,88.00
2025-09-28T04:13:00Z,10.81,90.72
2025-09-28T04:14:00Z,4.62,91.72
2025-09-28T04:15:00Z,2.96,96.53
2025-09-28T04:16:00Z,2.23,97.14
2025-09-28T04:17:00Z,3.00,85.87
2025-09-28T04:18:00Z,2.02,85.87
2025-09-28T04:19:00Z,2.50,96.64
2025-09-28T04:20:00Z,29.00,99.00
2025-09-28T04:21:00Z,3.58,99.00
2025-09-28T04:22:00Z,2.73,99.00
2025-09-28T04:23:00Z,3.00,97.00
2025-09-28T04:24:00Z,2.00,97.70
2025-09-28T04:25:00Z,1.25,98.98
2025-09-28T04:26:00Z,1.00,98.98
2025-09-28T04:29:00Z,1.00,99.00
2025-09-28T04:32:00Z,1.00,99.00
