# event_ticker=KXATPMATCH-25NOV05VUKBER
# final_score=7-6(5) 6-3
# score_resolution=6-7 3-6
# match_winner=Matteo Berrettini
# fav_player=Aleksandar Vukic
# dog_player=Matteo Berrettini
# kalshi_date=2025-11-05
timestamp,Aleksandar Vukic,Matteo Berrettini
2025-11-05T08:46:00Z,27.00,
2025-11-05T08:51:00Z,27.00,74.00
2025-11-05T09:06:00Z,27.00,74.00
2025-11-05T10:08:00Z,27.00,74.00
2025-11-05T10:30:00Z,26.00,74.00
2025-11-05T11:01:00Z,26.00,74.00
2025-11-05T11:18:00Z,27.00,74.00
2025-11-05T12:16:00Z,27.00,74.00
2025-11-05T12:39:00Z,27.00,74.00
2025-11-05T12:56:00Z,27.00,74.00
2025-11-05T12:59:00Z,27.00,74.00
2025-11-05T13:44:00Z,27.00,74.00
2025-11-05T13:54:00Z,27.00,74.00
2025-11-05T14:07:00Z,27.00,74.00
2025-11-05T14:13:00Z,27.00,74.00
2025-11-05T14:19:00Z,27.00,74.00
2025-11-05T14:34:00Z,27.00,74.67
2025-11-05T14:36:00Z,27.00,74.67
2025-11-05T14:39:00Z,27.00,74.67
2025-11-05T14:40:00Z,27.00,74.67
2025-11-05T14:43:00Z,27.00,74.67
2025-11-05T15:01:00Z,27.00,75.00
2025-11-05T15:09:00Z,26.00,75.00
2025-11-05T15:15:00Z,27.00,75.00
2025-11-05T15:17:00Z,27.00,75.00
2025-11-05T15:20:00Z,27.00,75.00
2025-11-05T15:25:00Z,27.00,75.00
2025-11-05T15:26:00Z,27.00,75.00
2025-11-05T15:36:00Z,27.00,75.00
2025-11-05T15:46:00Z,27.00,75.00
2025-11-05T15:49:00Z,27.00,75.00
2025-11-05T15:54:00Z,27.00,75.00
2025-11-05T16:03:00Z,27.00,75.00
2025-11-05T16:11:00Z,27.00,75.00
2025-11-05T16:12:00Z,27.00,75.00
2025-11-05T16:27:00Z,27.00,75.00
2025-11-05T16:31:00Z,27.00,75.00
2025-11-05T16:34:00Z,27.00,75.00
2025-11-05T16:48:00Z,27.00,75.00
2025-11-05T16:50:00Z,27.00,75.00
2025-11-05T16:56:00Z,27.00,75.00
2025-11-05T16:57:00Z,27.00,73.00
2025-11-05T16:58:00Z,27.00,75.00
2025-11-05T17:02:00Z,27.00,75.00
2025-11-05T17:03:00Z,27.00,75.00
2025-11-05T17:05:00Z,27.00,75.00
2025-11-05T17:08:00Z,27.00,75.00
2025-11-05T17:14:00Z,27.00,75.00
2025-11-05T17:19:00Z,27.00,75.00
2025-11-05T17:33:00Z,27.00,74.00
2025-11-05T17:36:00Z,27.00,74.11
