# event_ticker=KXATPCHALLENGERMATCH-26JUN04NARBER
# final_score=6-2 4-6 6-3
# match_winner=Remy Bertola
# fav_player=Remy Bertola
# dog_player=Luca Nardi
# kalshi_date=2026-06-04
timestamp,Luca Nardi,Remy Bertola
2026-06-04T09:13:00Z,68.00,
2026-06-04T09:30:00Z,68.00,
2026-06-04T10:18:00Z,68.00,32.00
2026-06-04T11:20:00Z,68.00,32.00
2026-06-04T11:34:00Z,68.00,32.00
2026-06-04T11:44:00Z,68.00,32.00
2026-06-04T12:20:00Z,68.00,32.00
2026-06-04T12:41:00Z,68.00,31.00
2026-06-04T13:37:00Z,68.00,33.00
2026-06-04T13:41:00Z,69.00,33.00
2026-06-04T13:55:00Z,67.00,33.00
2026-06-04T14:00:00Z,67.00,32.00
2026-06-04T14:18:00Z,68.00,32.00
2026-06-04T14:33:00Z,68.00,32.00
2026-06-04T14:36:00Z,68.00,32.00
2026-06-04T14:44:00Z,68.00,32.00
2026-06-04T14:47:00Z,68.00,32.00
2026-06-04T14:53:00Z,68.00,32.00
2026-06-04T14:58:00Z,69.00,32.00
2026-06-04T15:00:00Z,69.00,32.00
2026-06-04T15:20:00Z,69.00,32.00
2026-06-04T15:21:00Z,69.00,31.00
2026-06-04T16:06:00Z,69.00,31.00
2026-06-04T16:09:00Z,69.00,31.00
2026-06-04T16:25:00Z,69.00,31.00
2026-06-04T16:33:00Z,69.00,30.00
2026-06-04T16:36:00Z,69.00,31.00
2026-06-04T16:39:00Z,68.00,31.00
2026-06-04T16:53:00Z,69.00,31.00
2026-06-04T17:08:00Z,69.00,31.00
2026-06-04T17:11:00Z,69.00,31.00
2026-06-04T17:26:00Z,69.00,31.00
2026-06-04T17:35:00Z,69.00,31.00
2026-06-04T17:38:00Z,69.00,31.00
2026-06-04T17:46:00Z,69.00,32.00
2026-06-04T17:48:00Z,69.00,32.00
2026-06-04T17:54:00Z,69.00,32.00
2026-06-04T17:55:00Z,69.00,32.00
2026-06-04T17:57:00Z,69.00,31.00
2026-06-04T18:06:00Z,69.00,30.00
2026-06-04T18:31:00Z,69.00,30.00
2026-06-04T18:32:00Z,69.00,30.00
2026-06-04T18:34:00Z,69.74,32.00
