# event_ticker=KXATPCHALLENGERMATCH-26MAR16DEVNUA
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Murkel Dellien
# fav_player=Alex Santino Nunez Vera
# dog_player=Murkel Dellien
# kalshi_date=2026-03-16
timestamp,Alex Santino Nunez Vera,Murkel Dellien
2026-03-17T13:31:00Z,6.00,
2026-03-17T13:46:00Z,6.00,95.00
2026-03-17T13:56:00Z,6.00,95.00
2026-03-17T14:07:00Z,6.00,94.00
2026-03-17T14:17:00Z,6.00,94.00
2026-03-17T14:42:00Z,6.00,94.00
2026-03-17T17:04:00Z,6.00,94.00
2026-03-17T17:05:00Z,7.00,94.00
2026-03-17T18:45:00Z,7.00,94.00
2026-03-17T19:05:00Z,7.00,94.00
2026-03-17T19:25:00Z,7.00,94.00
2026-03-17T19:36:00Z,7.00,94.00
2026-03-17T19:46:00Z,7.00,94.00
2026-03-17T19:57:00Z,7.00,94.00
2026-03-17T20:15:00Z,7.00,94.00
2026-03-17T20:31:00Z,7.00,94.00
2026-03-17T20:33:00Z,7.00,94.00
2026-03-17T20:40:00Z,7.00,94.00
2026-03-17T20:43:00Z,7.00,94.00
2026-03-17T20:49:00Z,7.00,94.00
2026-03-17T20:51:00Z,7.00,94.00
2026-03-17T21:09:00Z,7.00,94.00
2026-03-17T21:12:00Z,7.00,94.00
2026-03-17T21:16:00Z,7.00,95.00
2026-03-17T21:20:00Z,7.00,95.00
2026-03-17T21:26:00Z,7.00,95.00
2026-03-17T21:31:00Z,7.23,95.00
2026-03-17T21:33:00Z,7.54,95.00
2026-03-17T21:51:00Z,8.00,95.00
2026-03-17T21:53:00Z,8.00,95.00
2026-03-17T21:58:00Z,8.00,95.00
2026-03-17T21:59:00Z,8.49,95.00
2026-03-17T22:07:00Z,8.00,93.00
2026-03-17T22:13:00Z,8.00,93.00
2026-03-17T22:15:00Z,8.00,93.00
2026-03-17T22:20:00Z,8.00,93.00
2026-03-17T22:31:00Z,8.00,94.00
2026-03-17T23:08:00Z,8.00,94.00
2026-03-17T23:26:00Z,8.00,94.00
2026-03-17T23:28:00Z,8.00,94.00
2026-03-17T23:34:00Z,8.00,94.00
2026-03-17T23:46:00Z,8.00,94.00
2026-03-17T23:49:00Z,8.00,92.00
2026-03-18T00:00:00Z,8.00,92.00
2026-03-18T00:02:00Z,8.00,94.00
2026-03-18T00:04:00Z,7.00,94.00
2026-03-18T00:23:00Z,7.34,94.00
2026-03-18T00:24:00Z,7.00,94.00
2026-03-18T00:26:00Z,7.00,94.00
2026-03-18T00:28:00Z,7.00,94.00
2026-03-18T00:32:00Z,6.32,94.00
2026-03-18T00:35:00Z,7.48,94.00
2026-03-18T00:36:00Z,7.30,94.00
2026-03-18T00:37:00Z,6.00,94.00
2026-03-18T00:39:00Z,7.74,94.00
2026-03-18T00:41:00Z,7.87,94.00
2026-03-18T00:46:00Z,7.43,94.00
2026-03-18T00:57:00Z,7.43,94.00
2026-03-18T01:08:00Z,8.00,94.00
