# event_ticker=KXATPMATCH-26MAY21MICTIE
# final_score=6-4 3-6 6-1
# score_resolution=4-6 6-3 1-6
# match_winner=Learner Tien
# fav_player=Alex Michelsen
# dog_player=Learner Tien
# kalshi_date=2026-05-21
timestamp,Alex Michelsen,Learner Tien
2026-05-21T04:14:00Z,,55.00
2026-05-21T04:16:00Z,47.00,55.00
2026-05-21T04:17:00Z,47.00,55.00
2026-05-21T04:18:00Z,47.00,55.00
2026-05-21T04:21:00Z,47.00,55.00
2026-05-21T04:22:00Z,47.00,55.00
2026-05-21T04:25:00Z,47.00,54.00
2026-05-21T04:29:00Z,47.00,54.00
2026-05-21T04:30:00Z,47.00,54.00
2026-05-21T04:32:00Z,47.00,54.00
2026-05-21T04:33:00Z,47.00,54.00
2026-05-21T04:35:00Z,47.00,54.00
2026-05-21T04:36:00Z,47.00,54.00
2026-05-21T04:37:00Z,47.00,54.00
2026-05-21T04:38:00Z,47.00,54.00
2026-05-21T04:39:00Z,47.00,54.00
2026-05-21T04:41:00Z,47.00,54.00
2026-05-21T04:43:00Z,47.00,54.00
2026-05-21T04:44:00Z,47.00,54.00
2026-05-21T04:45:00Z,47.00,54.00
2026-05-21T04:49:00Z,47.00,54.00
2026-05-21T04:50:00Z,47.00,54.00
2026-05-21T04:55:00Z,47.00,55.00
2026-05-21T04:56:00Z,47.00,54.00
2026-05-21T04:57:00Z,47.00,54.00
2026-05-21T05:00:00Z,47.00,54.00
2026-05-21T05:01:00Z,47.00,54.00
2026-05-21T05:04:00Z,47.00,54.00
2026-05-21T05:07:00Z,47.00,54.09
2026-05-21T05:08:00Z,47.00,54.09
2026-05-21T05:09:00Z,47.00,54.09
2026-05-21T05:10:00Z,47.00,54.00
2026-05-21T05:11:00Z,47.00,54.00
2026-05-21T05:14:00Z,47.00,54.00
2026-05-21T05:15:00Z,47.00,54.00
2026-05-21T05:16:00Z,47.00,54.00
2026-05-21T05:19:00Z,47.00,54.00
2026-05-21T05:20:00Z,47.00,54.00
2026-05-21T05:25:00Z,47.00,54.00
2026-05-21T05:26:00Z,47.00,54.00
2026-05-21T05:30:00Z,47.00,54.00
2026-05-21T05:32:00Z,47.00,54.00
2026-05-21T05:36:00Z,47.00,54.00
2026-05-21T05:37:00Z,47.00,54.00
2026-05-21T05:38:00Z,47.00,54.00
2026-05-21T05:40:00Z,47.00,54.00
2026-05-21T05:42:00Z,47.00,54.00
2026-05-21T05:46:00Z,47.00,54.00
2026-05-21T05:48:00Z,47.00,53.90
2026-05-21T05:52:00Z,47.00,53.90
2026-05-21T05:53:00Z,47.00,54.00
2026-05-21T05:54:00Z,47.00,54.00
2026-05-21T05:58:00Z,47.00,53.49
2026-05-21T06:02:00Z,47.00,53.89
2026-05-21T06:03:00Z,47.00,53.00
2026-05-21T06:04:00Z,47.00,53.00
2026-05-21T06:08:00Z,47.00,53.00
2026-05-21T06:11:00Z,48.00,53.00
2026-05-21T06:15:00Z,48.48,53.00
2026-05-21T06:20:00Z,48.00,53.00
2026-05-21T06:24:00Z,48.00,53.00
2026-05-21T06:26:00Z,48.00,53.00
2026-05-21T06:29:00Z,49.00,53.00
2026-05-21T06:31:00Z,49.00,53.00
2026-05-21T06:33:00Z,49.00,52.00
2026-05-21T06:35:00Z,49.00,53.00
2026-05-21T06:36:00Z,49.00,53.00
2026-05-21T06:37:00Z,48.00,53.00
