# event_ticker=KXATPCHALLENGERMATCH-26MAY08PDATOB
# final_score=6-1 6-3
# match_winner=Matheus Pucinelli De Almeida
# fav_player=Matheus Pucinelli de Almeida
# dog_player=Miguel Tobon
# kalshi_date=2026-05-08
timestamp,Matheus Pucinelli de Almeida,Miguel Tobon
2026-05-08T10:57:00Z,,33.00
2026-05-08T13:01:00Z,68.00,33.00
2026-05-08T13:55:00Z,68.00,34.00
2026-05-08T14:12:00Z,68.00,34.00
2026-05-08T14:26:00Z,67.00,34.00
2026-05-08T15:32:00Z,67.00,36.34
2026-05-08T16:01:00Z,66.00,36.34
2026-05-08T16:28:00Z,66.00,36.34
2026-05-08T16:34:00Z,66.00,36.34
2026-05-08T16:44:00Z,66.00,36.00
2026-05-08T17:11:00Z,65.00,36.00
2026-05-08T17:39:00Z,66.00,36.00
2026-05-08T17:57:00Z,66.00,36.00
2026-05-08T17:58:00Z,66.00,36.00
2026-05-08T18:15:00Z,65.00,36.00
2026-05-08T18:22:00Z,65.00,36.00
2026-05-08T18:24:00Z,66.00,36.00
2026-05-08T18:31:00Z,66.00,36.00
2026-05-08T18:42:00Z,66.00,36.00
2026-05-08T19:01:00Z,66.00,36.00
2026-05-08T19:05:00Z,66.00,36.00
2026-05-08T19:06:00Z,66.00,36.00
2026-05-08T19:17:00Z,66.00,36.00
2026-05-08T19:22:00Z,66.00,36.00
2026-05-08T19:23:00Z,66.00,36.00
2026-05-08T19:27:00Z,66.00,36.00
2026-05-08T19:31:00Z,66.00,36.00
2026-05-08T19:33:00Z,66.00,36.00
2026-05-08T19:41:00Z,66.00,36.00
2026-05-08T19:44:00Z,66.00,36.00
2026-05-08T19:46:00Z,66.00,36.00
2026-05-08T19:47:00Z,66.00,36.00
2026-05-08T19:50:00Z,66.00,36.00
2026-05-08T19:54:00Z,66.00,36.00
2026-05-08T19:56:00Z,66.00,36.00
2026-05-08T19:59:00Z,66.00,36.00
2026-05-08T20:00:00Z,66.00,36.00
2026-05-08T20:05:00Z,65.93,36.00
2026-05-08T20:06:00Z,66.00,36.00
2026-05-08T20:07:00Z,66.00,36.00
2026-05-08T20:08:00Z,66.00,36.00
2026-05-08T20:11:00Z,66.00,36.00
2026-05-08T20:12:00Z,63.43,38.19
2026-05-08T20:13:00Z,62.00,37.96
2026-05-08T20:14:00Z,61.27,39.70
2026-05-08T20:15:00Z,62.98,40.00
2026-05-08T20:16:00Z,61.00,39.02
2026-05-08T20:17:00Z,61.00,37.80
2026-05-08T20:18:00Z,56.54,43.12
2026-05-08T20:19:00Z,55.85,44.26
2026-05-08T20:20:00Z,56.11,46.90
2026-05-08T20:21:00Z,61.35,38.37
2026-05-08T20:22:00Z,62.91,39.83
2026-05-08T20:23:00Z,69.70,33.61
2026-05-08T20:24:00Z,65.68,34.57
2026-05-08T20:25:00Z,64.42,35.46
2026-05-08T20:26:00Z,73.14,26.66
2026-05-08T20:27:00Z,76.00,25.00
2026-05-08T20:28:00Z,77.90,23.03
2026-05-08T20:29:00Z,78.87,21.86
2026-05-08T20:30:00Z,79.00,20.68
2026-05-08T20:31:00Z,80.14,20.66
2026-05-08T20:32:00Z,83.24,17.31
2026-05-08T20:33:00Z,85.08,14.44
2026-05-08T20:34:00Z,88.09,14.65
2026-05-08T20:35:00Z,90.30,14.00
2026-05-08T20:36:00Z,85.08,14.00
2026-05-08T20:37:00Z,86.00,13.15
2026-05-08T20:38:00Z,88.83,12.00
2026-05-08T20:39:00Z,85.70,14.14
2026-05-08T20:40:00Z,86.00,15.00
2026-05-08T20:41:00Z,87.00,14.00
2026-05-08T20:42:00Z,87.87,12.14
2026-05-08T20:43:00Z,88.83,10.56
2026-05-08T20:44:00Z,90.44,11.78
