# event_ticker=KXATPCHALLENGERMATCH-26MAY14UGOBER
# final_score=7-6(2) 6-4
# score_resolution=6-7 4-6
# match_winner=Camilo Ugo Carabelli
# fav_player=Matteo Berrettini
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2026-05-14
timestamp,Camilo Ugo Carabelli,Matteo Berrettini
2026-05-14T03:17:00Z,43.00,
2026-05-14T03:24:00Z,42.28,
2026-05-14T03:45:00Z,44.00,
2026-05-14T04:10:00Z,44.00,
2026-05-14T04:13:00Z,44.00,56.22
2026-05-14T04:15:00Z,44.00,60.00
2026-05-14T04:16:00Z,45.00,60.00
2026-05-14T04:21:00Z,44.00,60.00
2026-05-14T04:24:00Z,44.00,60.00
2026-05-14T04:26:00Z,42.00,60.00
2026-05-14T04:27:00Z,42.00,59.00
2026-05-14T04:37:00Z,44.00,59.00
2026-05-14T04:55:00Z,43.63,60.67
2026-05-14T05:03:00Z,39.74,60.67
2026-05-14T05:33:00Z,41.00,60.67
2026-05-14T05:41:00Z,42.14,59.00
2026-05-14T05:46:00Z,41.40,60.00
2026-05-14T05:49:00Z,43.00,60.00
2026-05-14T06:02:00Z,41.88,60.00
2026-05-14T06:39:00Z,42.00,60.00
2026-05-14T09:04:00Z,42.00,59.00
2026-05-14T09:06:00Z,40.00,59.00
2026-05-14T09:07:00Z,40.00,59.00
2026-05-14T09:09:00Z,40.00,59.00
2026-05-14T09:10:00Z,40.00,59.00
2026-05-14T09:11:00Z,40.00,59.00
2026-05-14T09:13:00Z,40.00,59.00
2026-05-14T09:18:00Z,40.00,59.00
2026-05-14T10:39:00Z,40.00,61.00
2026-05-14T10:52:00Z,40.00,61.00
2026-05-14T11:20:00Z,40.00,61.00
2026-05-14T11:32:00Z,40.00,61.00
2026-05-14T11:56:00Z,40.00,60.00
2026-05-14T12:04:00Z,41.00,60.00
2026-05-14T12:14:00Z,41.00,60.00
2026-05-14T12:49:00Z,41.00,58.00
2026-05-14T12:51:00Z,43.14,58.00
2026-05-14T12:58:00Z,43.00,58.00
2026-05-14T13:02:00Z,43.00,58.00
2026-05-14T13:05:00Z,43.00,58.00
2026-05-14T13:07:00Z,43.00,58.00
2026-05-14T13:08:00Z,43.00,58.00
2026-05-14T13:09:00Z,43.00,58.00
2026-05-14T13:10:00Z,43.00,58.00
2026-05-14T13:22:00Z,43.00,58.00
2026-05-14T13:23:00Z,43.00,58.00
2026-05-14T13:24:00Z,43.00,58.00
2026-05-14T13:27:00Z,43.00,58.00
2026-05-14T13:37:00Z,43.00,58.00
2026-05-14T13:40:00Z,43.00,58.00
2026-05-14T13:41:00Z,43.00,58.00
2026-05-14T13:46:00Z,43.00,58.00
2026-05-14T13:47:00Z,43.00,58.00
2026-05-14T13:49:00Z,43.00,58.00
2026-05-14T13:50:00Z,43.00,58.00
2026-05-14T13:56:00Z,43.00,58.00
2026-05-14T13:58:00Z,43.00,58.00
2026-05-14T14:06:00Z,43.00,58.00
2026-05-14T14:09:00Z,43.00,58.00
2026-05-14T14:10:00Z,43.00,58.00
2026-05-14T14:11:00Z,43.00,58.00
2026-05-14T14:12:00Z,43.73,58.00
2026-05-14T14:13:00Z,43.36,58.00
2026-05-14T14:15:00Z,43.46,58.00
2026-05-14T14:16:00Z,43.00,58.00
2026-05-14T14:17:00Z,43.00,58.00
2026-05-14T14:19:00Z,43.86,58.00
2026-05-14T14:20:00Z,43.00,58.17
2026-05-14T14:22:00Z,43.00,58.17
2026-05-14T14:25:00Z,43.80,56.00
2026-05-14T14:26:00Z,44.10,56.00
2026-05-14T14:27:00Z,43.67,59.00
2026-05-14T14:29:00Z,43.67,59.00
2026-05-14T14:30:00Z,43.72,59.00
2026-05-14T14:32:00Z,44.00,59.00
2026-05-14T14:33:00Z,44.08,59.00
2026-05-14T14:34:00Z,44.00,59.00
2026-05-14T14:35:00Z,45.00,59.00
2026-05-14T14:36:00Z,41.28,59.00
2026-05-14T14:37:00Z,43.00,59.00
2026-05-14T14:38:00Z,44.57,58.00
2026-05-14T14:39:00Z,44.07,58.00
2026-05-14T14:40:00Z,45.77,58.00
2026-05-14T14:41:00Z,44.00,58.00
2026-05-14T14:42:00Z,45.63,58.00
2026-05-14T14:43:00Z,44.78,58.00
2026-05-14T14:44:00Z,44.90,58.00
2026-05-14T14:45:00Z,44.78,57.00
2026-05-14T14:46:00Z,44.63,57.00
2026-05-14T14:47:00Z,44.54,57.00
2026-05-14T14:48:00Z,44.00,57.00
2026-05-14T14:49:00Z,46.23,54.39
2026-05-14T14:50:00Z,44.44,55.66
2026-05-14T14:51:00Z,47.00,54.08
2026-05-14T14:52:00Z,47.58,54.00
2026-05-14T14:53:00Z,47.00,54.43
2026-05-14T14:54:00Z,50.84,52.82
2026-05-14T14:55:00Z,55.01,50.11
2026-05-14T14:56:00Z,60.20,41.68
2026-05-14T14:57:00Z,64.93,36.10
2026-05-14T14:58:00Z,66.82,33.56
2026-05-14T14:59:00Z,67.00,34.00
2026-05-14T15:00:00Z,66.58,34.00
2026-05-14T15:01:00Z,67.42,33.87
2026-05-14T15:02:00Z,64.06,35.00
2026-05-14T15:03:00Z,63.53,37.92
2026-05-14T15:04:00Z,64.64,36.49
2026-05-14T15:05:00Z,64.87,36.14
2026-05-14T15:06:00Z,61.98,39.00
2026-05-14T15:07:00Z,59.60,43.53
2026-05-14T15:08:00Z,51.02,50.35
2026-05-14T15:09:00Z,50.65,49.97
2026-05-14T15:10:00Z,56.12,46.05
2026-05-14T15:11:00Z,62.68,38.14
2026-05-14T15:12:00Z,63.00,37.68
2026-05-14T15:13:00Z,62.13,38.87
2026-05-14T15:14:00Z,64.19,36.26
2026-05-14T15:15:00Z,64.80,36.15
2026-05-14T15:16:00Z,62.46,38.54
2026-05-14T15:17:00Z,59.27,41.20
