# event_ticker=KXATPMATCH-26FEB23SHEKHA
# final_score=6-7(5) 6-2 6-3
# score_resolution=7-6 2-6 3-6
# match_winner=Karen Khachanov
# fav_player=Alexander Shevchenko
# dog_player=Karen Khachanov
# kalshi_date=2026-02-23
timestamp,Alexander Shevchenko,Karen Khachanov
2026-02-24T01:37:00Z,,80.00
2026-02-24T01:42:00Z,,80.00
2026-02-24T02:21:00Z,21.00,80.00
2026-02-24T02:51:00Z,21.00,80.00
2026-02-24T03:03:00Z,21.00,80.00
2026-02-24T03:20:00Z,21.00,80.00
2026-02-24T03:27:00Z,21.00,80.00
2026-02-24T03:39:00Z,21.00,80.00
2026-02-24T03:41:00Z,21.00,80.00
2026-02-24T03:54:00Z,21.00,80.00
2026-02-24T03:56:00Z,21.00,80.00
2026-02-24T04:18:00Z,21.00,80.00
2026-02-24T04:47:00Z,21.00,80.00
2026-02-24T04:52:00Z,21.00,80.00
2026-02-24T04:53:00Z,21.00,80.00
2026-02-24T04:57:00Z,21.00,80.00
2026-02-24T05:05:00Z,21.00,80.00
2026-02-24T05:07:00Z,21.00,80.00
2026-02-24T05:08:00Z,21.00,80.00
2026-02-24T05:15:00Z,21.00,80.00
2026-02-24T05:31:00Z,20.00,80.00
2026-02-24T05:33:00Z,20.00,80.00
2026-02-24T05:35:00Z,20.00,80.00
2026-02-24T05:40:00Z,20.00,80.00
2026-02-24T05:47:00Z,20.00,81.00
2026-02-24T05:50:00Z,20.00,81.00
2026-02-24T05:51:00Z,20.00,81.00
2026-02-24T05:53:00Z,20.00,81.00
2026-02-24T06:02:00Z,20.00,81.00
2026-02-24T06:04:00Z,20.00,81.00
2026-02-24T06:08:00Z,20.00,81.00
2026-02-24T06:09:00Z,20.00,81.00
2026-02-24T06:10:00Z,20.00,81.00
2026-02-24T06:11:00Z,20.00,81.00
2026-02-24T06:17:00Z,20.00,81.00
2026-02-24T06:18:00Z,20.00,81.00
2026-02-24T06:19:00Z,20.00,81.00
2026-02-24T06:25:00Z,20.00,81.00
2026-02-24T06:30:00Z,20.00,81.00
2026-02-24T06:31:00Z,20.00,81.00
2026-02-24T06:39:00Z,20.00,81.00
2026-02-24T06:42:00Z,20.00,81.00
2026-02-24T06:46:00Z,20.00,80.00
