# event_ticker=KXATPCHALLENGERMATCH-26MAY15CHOFER
# final_score=5-7 7-6(4) 6-2
# score_resolution=5-7 7-6 6-2
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Arthur Fery
# kalshi_date=2026-05-15
timestamp,Jan Choinski,Arthur Fery
2026-05-16T18:43:00Z,39.01,60.31
2026-05-16T18:44:00Z,39.49,61.00
2026-05-16T18:45:00Z,39.89,60.07
2026-05-16T18:46:00Z,39.59,59.00
2026-05-16T18:47:00Z,39.00,59.82
2026-05-16T18:48:00Z,39.87,59.89
2026-05-16T18:49:00Z,39.91,59.00
2026-05-16T18:50:00Z,40.00,59.00
2026-05-16T18:51:00Z,39.78,59.34
2026-05-16T18:52:00Z,39.23,59.34
2026-05-16T18:53:00Z,39.01,59.00
2026-05-16T18:54:00Z,39.00,60.00
2026-05-16T18:55:00Z,39.00,59.00
2026-05-16T18:56:00Z,39.00,60.07
2026-05-16T18:57:00Z,39.27,60.81
2026-05-16T18:58:00Z,39.38,60.00
2026-05-16T18:59:00Z,40.31,59.23
2026-05-16T19:00:00Z,42.43,60.00
2026-05-16T19:01:00Z,40.50,59.00
2026-05-16T19:02:00Z,40.98,59.22
2026-05-16T19:03:00Z,42.55,60.85
2026-05-16T19:04:00Z,40.42,60.00
2026-05-16T19:05:00Z,41.37,60.15
2026-05-16T19:06:00Z,40.62,61.00
2026-05-16T19:07:00Z,41.00,61.00
2026-05-16T19:08:00Z,39.80,60.00
2026-05-16T19:09:00Z,39.20,60.06
2026-05-16T19:10:00Z,39.00,60.00
2026-05-16T19:11:00Z,40.00,60.00
2026-05-16T19:12:00Z,39.19,60.21
2026-05-16T19:13:00Z,40.82,60.00
2026-05-16T19:14:00Z,40.93,60.00
2026-05-16T19:15:00Z,39.00,60.57
2026-05-16T19:16:00Z,39.00,60.00
2026-05-16T19:17:00Z,40.07,59.00
2026-05-16T19:18:00Z,40.07,59.00
2026-05-16T19:19:00Z,40.07,60.00
2026-05-16T19:20:00Z,40.00,59.00
2026-05-16T19:21:00Z,40.15,59.00
2026-05-16T19:22:00Z,40.00,60.00
