# event_ticker=KXATPCHALLENGERMATCH-26MAR16URSMAR
# final_score=6-3 6-7(4) 7-6(7)
# score_resolution=6-3 6-7 7-6
# match_winner=Andres Martin
# fav_player=Andres Martin
# dog_player=Vadym Ursu
# kalshi_date=2026-03-16
timestamp,Andres Martin,Vadym Ursu
2026-03-16T15:11:00Z,,35.34
2026-03-16T15:30:00Z,63.00,35.34
2026-03-16T17:36:00Z,62.00,35.34
2026-03-16T18:02:00Z,62.00,39.00
2026-03-16T18:03:00Z,62.00,39.00
2026-03-16T18:10:00Z,63.75,39.00
2026-03-16T18:24:00Z,64.00,39.00
2026-03-16T18:35:00Z,63.00,39.00
2026-03-16T19:28:00Z,60.00,39.00
2026-03-16T19:34:00Z,60.00,39.00
2026-03-16T20:06:00Z,60.00,39.00
2026-03-16T20:22:00Z,63.00,39.00
2026-03-16T20:42:00Z,59.00,39.00
2026-03-16T20:53:00Z,59.00,38.68
2026-03-16T20:54:00Z,72.11,38.68
2026-03-16T20:57:00Z,72.11,39.58
2026-03-16T20:58:00Z,70.77,39.00
2026-03-16T20:59:00Z,74.99,30.10
2026-03-16T21:00:00Z,73.00,30.10
2026-03-16T21:01:00Z,73.00,33.00
2026-03-16T21:02:00Z,72.09,32.33
2026-03-16T21:03:00Z,67.85,34.00
2026-03-16T21:04:00Z,68.83,38.46
2026-03-16T21:05:00Z,68.99,34.56
2026-03-16T21:06:00Z,68.00,34.56
2026-03-16T21:07:00Z,67.89,34.00
2026-03-16T21:08:00Z,66.73,34.00
2026-03-16T21:09:00Z,65.15,34.00
2026-03-16T21:10:00Z,64.00,37.00
2026-03-16T21:11:00Z,66.77,36.85
2026-03-16T21:12:00Z,68.23,34.00
2026-03-16T21:13:00Z,66.24,35.33
2026-03-16T21:14:00Z,67.31,35.33
2026-03-16T21:15:00Z,68.00,34.00
2026-03-16T21:16:00Z,68.00,34.62
2026-03-16T21:17:00Z,73.76,26.15
2026-03-16T21:18:00Z,80.88,20.00
2026-03-16T21:19:00Z,81.15,20.00
2026-03-16T21:20:00Z,85.00,16.00
2026-03-16T21:21:00Z,85.00,15.91
2026-03-16T21:22:00Z,84.84,15.10
2026-03-16T21:23:00Z,84.60,15.10
2026-03-16T21:24:00Z,84.60,18.00
2026-03-16T21:25:00Z,84.54,13.92
2026-03-16T21:26:00Z,86.00,13.92
2026-03-16T21:27:00Z,86.00,16.00
2026-03-16T21:28:00Z,86.05,14.00
2026-03-16T21:29:00Z,85.91,14.00
2026-03-16T21:30:00Z,83.85,14.00
2026-03-16T21:31:00Z,83.09,18.44
2026-03-16T21:32:00Z,84.13,18.44
2026-03-16T21:33:00Z,86.00,15.00
2026-03-16T21:34:00Z,85.00,15.00
2026-03-16T21:35:00Z,86.54,17.00
2026-03-16T21:36:00Z,83.17,15.83
2026-03-16T21:37:00Z,84.59,17.08
2026-03-16T21:38:00Z,84.00,18.00
2026-03-16T21:39:00Z,86.72,16.71
2026-03-16T21:40:00Z,83.00,16.71
2026-03-16T21:41:00Z,85.00,17.88
2026-03-16T21:42:00Z,82.49,17.88
2026-03-16T21:43:00Z,75.67,24.88
2026-03-16T21:44:00Z,81.07,23.98
2026-03-16T21:45:00Z,82.01,19.00
2026-03-16T21:46:00Z,84.00,19.00
2026-03-16T21:47:00Z,80.03,21.52
2026-03-16T21:48:00Z,79.39,22.00
2026-03-16T21:49:00Z,80.00,21.26
2026-03-16T21:50:00Z,78.48,23.82
2026-03-16T21:51:00Z,76.36,24.87
2026-03-16T21:52:00Z,76.60,25.78
2026-03-16T21:53:00Z,72.95,29.26
2026-03-16T21:54:00Z,80.05,22.79
2026-03-16T21:55:00Z,78.63,24.07
2026-03-16T21:56:00Z,79.29,21.17
2026-03-16T21:57:00Z,89.81,11.37
2026-03-16T21:58:00Z,95.00,5.24
2026-03-16T21:59:00Z,92.99,6.05
2026-03-16T22:00:00Z,94.63,5.00
2026-03-16T22:01:00Z,94.59,5.07
2026-03-16T22:02:00Z,97.82,1.81
2026-03-16T22:03:00Z,98.00,2.18
2026-03-16T22:04:00Z,99.00,1.00
2026-03-16T22:05:00Z,99.00,1.72
2026-03-16T22:06:00Z,98.00,1.22
2026-03-16T22:07:00Z,97.32,2.98
2026-03-16T22:08:00Z,97.10,3.48
2026-03-16T22:09:00Z,98.53,1.41
2026-03-16T22:10:00Z,98.97,2.83
2026-03-16T22:11:00Z,90.72,3.46
2026-03-16T22:12:00Z,92.04,9.55
2026-03-16T22:13:00Z,88.01,20.37
2026-03-16T22:14:00Z,81.22,17.52
2026-03-16T22:15:00Z,84.06,14.60
2026-03-16T22:16:00Z,79.14,24.59
2026-03-16T22:17:00Z,73.82,26.59
2026-03-16T22:18:00Z,78.05,28.07
2026-03-16T22:19:00Z,79.13,20.96
2026-03-16T22:20:00Z,80.62,19.55
2026-03-16T22:21:00Z,75.32,23.51
2026-03-16T22:22:00Z,70.17,36.01
2026-03-16T22:23:00Z,64.49,37.34
2026-03-16T22:24:00Z,65.63,40.25
2026-03-16T22:25:00Z,61.97,37.29
2026-03-16T22:26:00Z,73.15,29.54
2026-03-16T22:27:00Z,64.37,38.71
2026-03-16T22:28:00Z,59.94,39.14
2026-03-16T22:29:00Z,60.33,40.48
2026-03-16T22:30:00Z,65.08,34.29
2026-03-16T22:31:00Z,67.53,34.08
2026-03-16T22:32:00Z,66.09,32.07
2026-03-16T22:33:00Z,65.03,43.37
2026-03-16T22:34:00Z,66.56,34.27
2026-03-16T22:35:00Z,67.40,34.16
2026-03-16T22:36:00Z,71.60,26.06
2026-03-16T22:37:00Z,85.44,16.01
2026-03-16T22:38:00Z,76.97,21.63
2026-03-16T22:39:00Z,80.21,23.43
2026-03-16T22:40:00Z,72.99,28.23
2026-03-16T22:41:00Z,65.35,35.73
2026-03-16T22:42:00Z,72.57,30.86
2026-03-16T22:43:00Z,76.29,29.05
2026-03-16T22:44:00Z,84.11,19.23
2026-03-16T22:45:00Z,84.07,21.23
2026-03-16T22:46:00Z,70.54,33.60
2026-03-16T22:47:00Z,65.77,35.94
2026-03-16T22:48:00Z,60.22,38.71
2026-03-16T22:49:00Z,58.16,39.07
2026-03-16T22:50:00Z,63.99,42.50
2026-03-16T22:51:00Z,60.97,41.51
2026-03-16T22:52:00Z,61.02,42.00
2026-03-16T22:53:00Z,58.84,43.71
2026-03-16T22:54:00Z,59.89,43.24
2026-03-16T22:55:00Z,58.68,45.91
2026-03-16T22:56:00Z,50.01,52.06
2026-03-16T22:57:00Z,28.09,71.09
2026-03-16T22:58:00Z,25.81,74.70
2026-03-16T22:59:00Z,34.47,63.08
2026-03-16T23:00:00Z,51.63,46.54
2026-03-16T23:01:00Z,45.48,59.90
2026-03-16T23:02:00Z,37.07,66.19
2026-03-16T23:03:00Z,31.06,68.16
2026-03-16T23:04:00Z,21.51,77.31
2026-03-16T23:05:00Z,14.58,86.04
2026-03-16T23:06:00Z,17.93,81.68
2026-03-16T23:07:00Z,21.90,81.78
2026-03-16T23:08:00Z,17.53,86.22
2026-03-16T23:09:00Z,16.96,86.19
2026-03-16T23:10:00Z,19.49,80.88
2026-03-16T23:11:00Z,21.14,78.85
2026-03-16T23:12:00Z,14.97,86.47
2026-03-16T23:13:00Z,8.92,90.90
2026-03-16T23:14:00Z,32.49,68.28
2026-03-16T23:15:00Z,33.87,70.77
2026-03-16T23:16:00Z,42.16,51.20
2026-03-16T23:17:00Z,63.97,32.44
2026-03-16T23:18:00Z,68.68,31.45
2026-03-16T23:19:00Z,74.75,20.65
2026-03-16T23:20:00Z,73.14,26.32
2026-03-16T23:21:00Z,67.92,34.69
2026-03-16T23:22:00Z,70.90,30.80
2026-03-16T23:23:00Z,66.61,31.19
2026-03-16T23:24:00Z,61.82,42.85
2026-03-16T23:25:00Z,69.31,29.85
2026-03-16T23:26:00Z,77.23,27.05
2026-03-16T23:27:00Z,60.66,30.15
2026-03-16T23:28:00Z,48.28,50.40
2026-03-16T23:29:00Z,47.38,56.10
2026-03-16T23:30:00Z,66.57,33.19
2026-03-16T23:31:00Z,85.09,15.53
2026-03-16T23:32:00Z,54.91,41.84
2026-03-16T23:33:00Z,70.20,35.54
2026-03-16T23:34:00Z,75.97,22.35
2026-03-16T23:35:00Z,99.00,1.00
2026-03-16T23:36:00Z,99.00,1.00
2026-03-16T23:37:00Z,99.00,1.00
