# event_ticker=KXATPCHALLENGERMATCH-26MAY28GLIBRO
# final_score=6-2 4-6 6-3
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Daniil Glinka
# kalshi_date=2026-05-28
timestamp,Daniil Glinka,Liam Broady
2026-05-27T21:13:00Z,41.03,
2026-05-27T21:21:00Z,42.00,
2026-05-27T21:22:00Z,42.00,
2026-05-27T21:24:00Z,42.00,58.00
2026-05-27T21:30:00Z,42.00,61.00
2026-05-27T22:27:00Z,42.00,61.00
2026-05-27T22:42:00Z,42.00,60.00
2026-05-27T22:43:00Z,41.00,60.00
2026-05-27T23:27:00Z,41.00,60.00
2026-05-27T23:32:00Z,41.00,60.00
2026-05-27T23:42:00Z,41.00,60.00
2026-05-27T23:47:00Z,41.00,60.00
2026-05-27T23:53:00Z,41.00,60.51
2026-05-27T23:54:00Z,41.00,61.00
2026-05-27T23:59:00Z,41.00,60.00
2026-05-28T00:04:00Z,41.00,60.00
2026-05-28T00:10:00Z,41.00,60.43
2026-05-28T01:07:00Z,41.00,58.00
2026-05-28T01:13:00Z,43.00,58.00
2026-05-28T01:24:00Z,43.00,58.00
2026-05-28T01:26:00Z,43.00,58.00
2026-05-28T01:31:00Z,43.00,57.00
2026-05-28T01:33:00Z,43.00,57.00
2026-05-28T01:34:00Z,43.00,58.00
2026-05-28T01:41:00Z,43.00,58.00
2026-05-28T01:45:00Z,43.00,58.00
2026-05-28T02:13:00Z,43.00,58.00
2026-05-28T02:15:00Z,43.00,58.00
2026-05-28T02:16:00Z,43.00,57.48
2026-05-28T02:20:00Z,43.00,58.00
2026-05-28T02:22:00Z,43.00,58.00
2026-05-28T02:25:00Z,43.00,58.00
2026-05-28T02:36:00Z,43.00,58.00
2026-05-28T02:40:00Z,43.00,58.00
2026-05-28T02:42:00Z,43.00,58.00
2026-05-28T02:49:00Z,44.00,58.00
2026-05-28T02:50:00Z,44.00,58.00
2026-05-28T02:53:00Z,44.00,58.00
2026-05-28T02:54:00Z,44.00,57.00
2026-05-28T02:55:00Z,44.00,57.00
2026-05-28T02:56:00Z,44.00,57.00
2026-05-28T02:57:00Z,44.00,58.00
2026-05-28T02:59:00Z,44.00,58.00
2026-05-28T03:08:00Z,44.00,58.00
2026-05-28T03:10:00Z,44.00,58.00
2026-05-28T03:11:00Z,44.00,58.00
2026-05-28T03:13:00Z,44.00,58.00
2026-05-28T03:14:00Z,44.00,57.00
2026-05-28T03:18:00Z,44.00,58.00
2026-05-28T03:21:00Z,44.00,58.00
2026-05-28T03:24:00Z,44.00,57.00
2026-05-28T03:27:00Z,44.00,57.00
2026-05-28T03:30:00Z,44.00,57.00
2026-05-28T03:31:00Z,44.00,58.00
2026-05-28T03:32:00Z,44.00,58.00
2026-05-28T03:33:00Z,44.00,58.00
2026-05-28T03:38:00Z,44.00,58.00
2026-05-28T03:40:00Z,44.00,58.00
2026-05-28T03:42:00Z,44.00,58.00
2026-05-28T03:44:00Z,44.00,57.61
2026-05-28T03:46:00Z,44.00,58.00
2026-05-28T03:47:00Z,44.00,57.00
2026-05-28T03:55:00Z,44.00,57.00
2026-05-28T04:00:00Z,44.00,57.00
2026-05-28T04:04:00Z,44.00,57.00
2026-05-28T04:12:00Z,44.00,58.00
2026-05-28T04:13:00Z,44.00,58.00
2026-05-28T04:15:00Z,44.00,58.00
2026-05-28T04:20:00Z,44.00,58.00
2026-05-28T04:21:00Z,44.00,58.00
2026-05-28T04:23:00Z,44.00,58.00
2026-05-28T04:24:00Z,44.00,58.00
2026-05-28T04:27:00Z,44.00,58.00
2026-05-28T04:33:00Z,44.00,58.00
2026-05-28T04:34:00Z,44.00,58.00
2026-05-28T04:36:00Z,44.00,58.00
2026-05-28T04:39:00Z,44.00,58.00
