# event_ticker=KXATPMATCH-25AUG20BAUFUC
# final_score=6-4 6-3
# match_winner=Marton Fucsovics
# fav_player=Marton Fucsovics
# dog_player=Roberto Bautista Agut
# kalshi_date=2025-08-20
timestamp,Marton Fucsovics,Roberto Bautista Agut
2025-08-20T09:32:00Z,,47.00
2025-08-20T10:08:00Z,,47.00
2025-08-20T11:00:00Z,,48.00
2025-08-20T12:13:00Z,,48.00
2025-08-20T12:18:00Z,,48.00
2025-08-20T13:52:00Z,,46.00
2025-08-20T14:03:00Z,,44.00
2025-08-20T14:13:00Z,,44.38
2025-08-20T14:16:00Z,,45.00
2025-08-20T14:28:00Z,,45.00
2025-08-20T14:33:00Z,57.00,45.00
2025-08-20T15:42:00Z,55.00,45.00
2025-08-20T15:49:00Z,56.00,45.00
2025-08-20T16:00:00Z,56.00,45.00
2025-08-20T16:01:00Z,56.00,45.00
2025-08-20T17:16:00Z,56.00,45.00
2025-08-20T17:27:00Z,56.00,45.00
2025-08-20T17:30:00Z,56.00,45.00
2025-08-20T17:32:00Z,56.00,45.00
2025-08-20T17:40:00Z,56.00,45.00
2025-08-20T18:02:00Z,56.00,45.00
2025-08-20T18:12:00Z,56.00,45.00
2025-08-20T18:16:00Z,56.00,45.00
2025-08-20T18:23:00Z,56.00,45.00
2025-08-20T18:38:00Z,56.00,45.00
2025-08-20T18:49:00Z,56.00,45.00
2025-08-20T19:18:00Z,56.00,45.00
2025-08-20T19:19:00Z,56.00,45.00
2025-08-20T19:22:00Z,56.00,45.00
2025-08-20T19:26:00Z,56.00,45.00
2025-08-20T19:27:00Z,56.00,45.00
2025-08-20T19:29:00Z,56.00,45.00
2025-08-20T19:30:00Z,56.00,45.00
2025-08-20T19:31:00Z,58.84,45.00
2025-08-20T19:33:00Z,59.00,44.00
2025-08-20T19:34:00Z,59.00,47.70
2025-08-20T19:35:00Z,59.00,44.08
2025-08-20T19:36:00Z,59.00,45.00
2025-08-20T19:38:00Z,58.00,45.00
2025-08-20T19:40:00Z,56.05,45.00
2025-08-20T19:41:00Z,56.05,47.85
2025-08-20T19:42:00Z,52.00,49.00
2025-08-20T19:44:00Z,57.00,46.00
2025-08-20T19:46:00Z,59.00,45.00
2025-08-20T19:47:00Z,60.00,45.00
2025-08-20T19:48:00Z,60.00,48.40
2025-08-20T19:49:00Z,60.00,48.95
2025-08-20T19:50:00Z,60.00,49.00
2025-08-20T19:51:00Z,60.00,49.96
2025-08-20T19:52:00Z,60.00,52.00
2025-08-20T19:53:00Z,60.00,58.00
2025-08-20T19:54:00Z,60.00,49.52
2025-08-20T19:55:00Z,53.84,49.61
2025-08-20T19:56:00Z,54.00,47.68
2025-08-20T19:57:00Z,54.00,51.69
2025-08-20T19:59:00Z,54.00,54.00
2025-08-20T20:00:00Z,52.00,54.00
2025-08-20T20:02:00Z,53.00,48.00
2025-08-20T20:03:00Z,44.43,56.18
2025-08-20T20:04:00Z,37.97,57.80
2025-08-20T20:05:00Z,37.97,51.00
2025-08-20T20:06:00Z,51.00,51.00
2025-08-20T20:07:00Z,48.00,52.40
2025-08-20T20:09:00Z,48.11,52.40
2025-08-20T20:10:00Z,48.11,54.00
2025-08-20T20:11:00Z,51.00,53.00
2025-08-20T20:12:00Z,53.46,53.00
2025-08-20T20:13:00Z,54.00,48.00
2025-08-20T20:14:00Z,54.00,46.40
2025-08-20T20:15:00Z,56.97,45.02
2025-08-20T20:16:00Z,61.00,37.32
2025-08-20T20:17:00Z,69.92,29.66
2025-08-20T20:18:00Z,75.00,24.00
2025-08-20T20:19:00Z,76.00,24.19
2025-08-20T20:20:00Z,77.00,20.00
2025-08-20T20:21:00Z,78.00,21.00
2025-08-20T20:22:00Z,80.00,19.61
2025-08-20T20:23:00Z,80.00,21.35
2025-08-20T20:24:00Z,80.00,21.88
2025-08-20T20:25:00Z,77.94,23.83
2025-08-20T20:26:00Z,77.94,26.00
2025-08-20T20:27:00Z,75.00,27.33
2025-08-20T20:28:00Z,76.79,26.00
2025-08-20T20:29:00Z,76.00,26.00
2025-08-20T20:30:00Z,80.00,23.16
2025-08-20T20:31:00Z,77.00,22.20
2025-08-20T20:32:00Z,79.19,23.14
2025-08-20T20:33:00Z,79.19,25.95
2025-08-20T20:34:00Z,79.19,27.00
2025-08-20T20:35:00Z,79.19,27.03
2025-08-20T20:36:00Z,75.53,27.03
2025-08-20T20:37:00Z,76.00,28.01
2025-08-20T20:38:00Z,80.01,23.00
2025-08-20T20:39:00Z,79.00,23.00
2025-08-20T20:40:00Z,82.63,16.13
2025-08-20T20:41:00Z,85.00,17.13
2025-08-20T20:42:00Z,85.00,17.08
2025-08-20T20:43:00Z,86.72,15.49
2025-08-20T20:44:00Z,81.12,18.17
2025-08-20T20:45:00Z,83.20,21.16
2025-08-20T20:46:00Z,80.00,21.16
2025-08-20T20:47:00Z,80.00,24.21
2025-08-20T20:48:00Z,80.00,25.00
2025-08-20T20:49:00Z,80.16,20.00
2025-08-20T20:50:00Z,81.60,19.69
2025-08-20T20:51:00Z,82.52,19.69
2025-08-20T20:52:00Z,90.31,12.04
2025-08-20T20:53:00Z,91.00,11.00
2025-08-20T20:54:00Z,84.15,14.45
2025-08-20T20:55:00Z,91.69,7.38
2025-08-20T20:56:00Z,96.00,5.08
2025-08-20T20:57:00Z,96.00,8.75
2025-08-20T20:58:00Z,95.07,7.14
2025-08-20T20:59:00Z,90.00,10.62
2025-08-20T21:00:00Z,91.00,16.60
2025-08-20T21:01:00Z,97.00,4.89
2025-08-20T21:02:00Z,97.10,2.26
2025-08-20T21:03:00Z,98.00,2.73
2025-08-20T21:04:00Z,99.00,1.23
2025-08-20T21:05:00Z,99.00,1.23
2025-08-20T21:07:00Z,99.00,1.23
2025-08-20T21:09:00Z,99.00,1.23
