# event_ticker=KXATPCHALLENGERMATCH-26MAY21MONAGA
# final_score=6-2 6-3
# match_winner=Franco Agamenone
# fav_player=Franco Agamenone
# dog_player=Thiago Monteiro
# kalshi_date=2026-05-21
timestamp,Thiago Monteiro,Franco Agamenone
2026-05-21T10:44:00Z,72.00,
2026-05-21T11:01:00Z,72.00,
2026-05-21T11:56:00Z,71.94,32.00
2026-05-21T11:57:00Z,72.00,32.00
2026-05-21T11:58:00Z,76.12,32.00
2026-05-21T11:59:00Z,76.12,23.00
2026-05-21T12:00:00Z,74.90,25.87
2026-05-21T12:01:00Z,75.00,25.87
2026-05-21T12:03:00Z,75.00,34.00
2026-05-21T12:04:00Z,63.00,37.00
2026-05-21T12:05:00Z,63.00,38.00
2026-05-21T12:07:00Z,62.00,44.44
2026-05-21T12:08:00Z,62.00,43.00
2026-05-21T12:11:00Z,41.00,61.00
2026-05-21T12:13:00Z,40.00,61.16
2026-05-21T12:14:00Z,41.91,60.00
2026-05-21T12:15:00Z,42.00,60.00
2026-05-21T12:16:00Z,42.00,60.00
2026-05-21T12:17:00Z,41.03,60.00
2026-05-21T12:19:00Z,32.01,60.00
2026-05-21T12:20:00Z,28.33,68.83
2026-05-21T12:21:00Z,28.33,67.00
2026-05-21T12:22:00Z,28.33,66.00
2026-05-21T12:23:00Z,42.35,65.00
2026-05-21T12:24:00Z,42.35,65.00
2026-05-21T12:26:00Z,36.39,65.00
2026-05-21T12:27:00Z,32.50,68.50
2026-05-21T12:28:00Z,32.50,73.25
2026-05-21T12:29:00Z,32.00,73.25
2026-05-21T12:30:00Z,31.13,73.00
2026-05-21T12:31:00Z,31.13,73.00
2026-05-21T12:32:00Z,46.06,69.48
2026-05-21T12:33:00Z,44.64,56.00
2026-05-21T12:34:00Z,36.54,60.69
2026-05-21T12:35:00Z,34.03,69.08
2026-05-21T12:36:00Z,34.03,68.00
2026-05-21T12:37:00Z,36.00,67.00
2026-05-21T12:38:00Z,38.82,68.21
2026-05-21T12:39:00Z,33.00,69.05
2026-05-21T12:40:00Z,33.00,64.30
2026-05-21T12:41:00Z,36.11,67.61
2026-05-21T12:42:00Z,37.70,71.31
2026-05-21T12:43:00Z,35.42,68.34
2026-05-21T12:44:00Z,34.79,68.00
2026-05-21T12:45:00Z,29.47,71.54
2026-05-21T12:46:00Z,28.00,74.24
2026-05-21T12:47:00Z,27.72,76.61
2026-05-21T12:48:00Z,32.07,73.75
2026-05-21T12:49:00Z,36.37,66.44
2026-05-21T12:50:00Z,38.23,68.89
2026-05-21T12:51:00Z,27.40,72.42
2026-05-21T12:52:00Z,30.00,71.07
2026-05-21T12:53:00Z,29.00,70.00
2026-05-21T12:54:00Z,29.00,72.00
2026-05-21T12:55:00Z,29.00,75.75
2026-05-21T12:56:00Z,16.72,80.16
2026-05-21T12:57:00Z,12.84,87.35
2026-05-21T12:58:00Z,11.00,90.77
2026-05-21T12:59:00Z,6.26,93.50
2026-05-21T13:00:00Z,8.75,93.90
2026-05-21T13:01:00Z,6.31,95.09
2026-05-21T13:02:00Z,6.00,94.91
2026-05-21T13:03:00Z,6.28,94.96
2026-05-21T13:04:00Z,5.75,95.87
2026-05-21T13:05:00Z,7.00,93.02
2026-05-21T13:06:00Z,6.16,95.97
2026-05-21T13:07:00Z,5.00,95.72
2026-05-21T13:08:00Z,6.00,95.05
2026-05-21T13:09:00Z,7.55,94.26
2026-05-21T13:10:00Z,3.56,98.38
2026-05-21T13:11:00Z,1.11,97.71
2026-05-21T13:12:00Z,5.96,94.06
2026-05-21T13:13:00Z,5.00,97.98
2026-05-21T13:14:00Z,5.00,99.00
2026-05-21T13:21:00Z,5.00,99.00
