# event_ticker=KXATPCHALLENGERMATCH-26MAY05HEIMAR
# final_score=2-6 6-0 6-0
# match_winner=Gustavo Heide
# fav_player=Gustavo Heide
# dog_player=Lilian Marmousez
# kalshi_date=2026-05-05
timestamp,Gustavo Heide,Lilian Marmousez
2026-05-05T00:36:00Z,,24.00
2026-05-05T01:56:00Z,78.00,24.00
2026-05-05T02:03:00Z,76.00,24.00
2026-05-05T02:58:00Z,78.00,24.00
2026-05-05T03:00:00Z,78.00,24.00
2026-05-05T03:17:00Z,78.00,22.00
2026-05-05T04:24:00Z,78.00,22.00
2026-05-05T04:38:00Z,78.00,22.00
2026-05-05T04:39:00Z,78.00,22.00
2026-05-05T05:39:00Z,78.00,25.00
2026-05-05T06:02:00Z,75.00,25.00
2026-05-05T06:04:00Z,75.00,25.00
2026-05-05T06:07:00Z,75.00,25.00
2026-05-05T06:08:00Z,74.00,25.00
2026-05-05T06:21:00Z,74.00,25.00
2026-05-05T06:58:00Z,75.00,25.00
2026-05-05T06:59:00Z,75.00,25.00
2026-05-05T08:47:00Z,75.00,24.00
2026-05-05T09:00:00Z,75.00,25.00
2026-05-05T09:08:00Z,75.00,23.00
2026-05-05T09:10:00Z,75.00,25.00
2026-05-05T09:11:00Z,73.00,29.91
2026-05-05T09:12:00Z,73.00,32.00
2026-05-05T09:13:00Z,69.00,32.00
2026-05-05T09:14:00Z,68.00,32.00
2026-05-05T09:15:00Z,71.97,32.00
2026-05-05T09:17:00Z,71.97,26.00
2026-05-05T09:18:00Z,73.00,26.00
2026-05-05T09:19:00Z,72.00,30.00
2026-05-05T09:22:00Z,71.00,30.00
2026-05-05T09:23:00Z,71.00,28.00
2026-05-05T09:24:00Z,71.00,38.00
2026-05-05T09:25:00Z,71.00,39.01
2026-05-05T09:26:00Z,64.00,39.01
2026-05-05T09:27:00Z,64.00,42.23
2026-05-05T09:28:00Z,56.00,46.00
2026-05-05T09:29:00Z,56.00,48.31
2026-05-05T09:30:00Z,56.00,52.43
2026-05-05T09:31:00Z,56.00,51.00
2026-05-05T09:32:00Z,51.00,51.00
2026-05-05T09:33:00Z,51.00,49.20
2026-05-05T09:34:00Z,51.00,49.00
2026-05-05T09:35:00Z,53.00,48.00
2026-05-05T09:36:00Z,53.00,49.00
2026-05-05T09:37:00Z,50.00,51.65
2026-05-05T09:38:00Z,46.84,54.00
2026-05-05T09:40:00Z,46.00,54.00
2026-05-05T09:41:00Z,46.00,54.00
2026-05-05T09:42:00Z,46.00,55.06
2026-05-05T09:43:00Z,38.00,56.57
2026-05-05T09:44:00Z,42.06,54.50
2026-05-05T09:45:00Z,42.00,58.10
2026-05-05T09:46:00Z,36.00,61.36
2026-05-05T09:47:00Z,36.00,62.77
2026-05-05T09:48:00Z,36.00,64.00
2026-05-05T09:49:00Z,36.00,65.00
2026-05-05T09:50:00Z,44.36,50.00
2026-05-05T09:51:00Z,53.00,48.45
2026-05-05T09:53:00Z,52.50,47.93
2026-05-05T09:54:00Z,55.01,43.33
2026-05-05T09:55:00Z,60.86,39.66
2026-05-05T09:56:00Z,60.86,39.00
2026-05-05T09:57:00Z,58.67,41.00
2026-05-05T09:58:00Z,59.00,39.00
2026-05-05T09:59:00Z,64.83,35.00
2026-05-05T10:00:00Z,67.71,32.00
2026-05-05T10:01:00Z,71.00,32.00
2026-05-05T10:02:00Z,70.00,29.00
2026-05-05T10:03:00Z,70.00,30.00
2026-05-05T10:04:00Z,71.00,30.00
2026-05-05T10:05:00Z,72.00,30.00
2026-05-05T10:06:00Z,70.36,30.00
2026-05-05T10:07:00Z,72.32,28.00
2026-05-05T10:08:00Z,72.32,28.00
2026-05-05T10:10:00Z,74.00,28.00
2026-05-05T10:11:00Z,74.00,28.00
2026-05-05T10:12:00Z,74.00,28.00
2026-05-05T10:14:00Z,72.48,28.33
2026-05-05T10:15:00Z,76.64,26.00
2026-05-05T10:16:00Z,75.01,23.00
2026-05-05T10:17:00Z,83.26,16.77
2026-05-05T10:18:00Z,86.85,12.17
2026-05-05T10:19:00Z,87.44,9.00
2026-05-05T10:20:00Z,86.30,13.00
2026-05-05T10:21:00Z,91.00,10.57
2026-05-05T10:22:00Z,87.35,12.73
2026-05-05T10:23:00Z,89.08,12.73
2026-05-05T10:24:00Z,92.00,9.95
2026-05-05T10:25:00Z,93.47,8.00
2026-05-05T10:26:00Z,95.90,3.67
2026-05-05T10:27:00Z,98.00,2.00
2026-05-05T10:28:00Z,97.00,3.00
2026-05-05T10:29:00Z,98.00,3.00
2026-05-05T10:30:00Z,98.00,3.82
2026-05-05T10:31:00Z,98.00,3.00
2026-05-05T10:32:00Z,98.98,1.00
2026-05-05T10:33:00Z,99.00,1.00
2026-05-05T10:34:00Z,98.97,1.00
2026-05-05T10:35:00Z,98.00,1.00
