# event_ticker=KXATPCHALLENGERMATCH-26MAR24GUETRA
# final_score=7-6(7) 2-6 7-6(7)
# score_resolution=7-6 2-6 7-6
# match_winner=Andrea Guerrieri
# fav_player=Andrea Guerrieri
# dog_player=Stefano Travaglia
# kalshi_date=2026-03-24
timestamp,Andrea Guerrieri,Stefano Travaglia
2026-03-24T04:04:00Z,,75.36
2026-03-24T04:06:00Z,,76.01
2026-03-24T04:08:00Z,,77.00
2026-03-24T04:09:00Z,,74.68
2026-03-24T04:48:00Z,,76.00
2026-03-24T05:00:00Z,26.00,76.00
2026-03-24T05:06:00Z,26.00,76.00
2026-03-24T05:21:00Z,26.00,76.00
2026-03-24T05:56:00Z,24.00,76.00
2026-03-24T06:12:00Z,24.00,76.93
2026-03-24T06:14:00Z,23.00,76.93
2026-03-24T06:57:00Z,23.00,77.00
2026-03-24T07:00:00Z,25.00,77.00
2026-03-24T07:31:00Z,23.00,77.00
2026-03-24T07:54:00Z,23.00,77.00
2026-03-24T08:12:00Z,25.00,77.00
2026-03-24T08:22:00Z,25.00,77.00
2026-03-24T08:26:00Z,25.00,77.00
2026-03-24T08:36:00Z,25.00,77.00
2026-03-24T08:43:00Z,25.00,77.00
2026-03-24T08:52:00Z,25.00,77.00
2026-03-24T09:52:00Z,25.00,77.00
2026-03-24T09:55:00Z,25.00,77.00
2026-03-24T10:35:00Z,23.00,77.00
2026-03-24T10:49:00Z,23.00,78.00
2026-03-24T10:57:00Z,23.00,78.18
2026-03-24T11:05:00Z,23.00,79.00
2026-03-24T11:13:00Z,24.00,79.00
2026-03-24T11:23:00Z,24.00,77.00
2026-03-24T11:35:00Z,23.00,77.00
2026-03-24T11:36:00Z,22.00,79.00
2026-03-24T11:45:00Z,22.00,80.00
2026-03-24T11:50:00Z,22.00,80.00
2026-03-24T12:16:00Z,21.00,80.00
2026-03-24T12:22:00Z,21.00,80.00
2026-03-24T12:32:00Z,21.00,80.00
2026-03-24T12:39:00Z,21.00,80.00
2026-03-24T12:40:00Z,21.00,79.00
2026-03-24T13:04:00Z,21.00,79.00
2026-03-24T13:08:00Z,21.00,79.00
2026-03-24T13:30:00Z,22.00,79.00
2026-03-24T13:36:00Z,22.00,79.33
2026-03-24T14:00:00Z,21.00,79.33
2026-03-24T14:03:00Z,21.00,79.33
2026-03-24T14:06:00Z,22.00,79.33
2026-03-24T14:09:00Z,22.00,81.00
2026-03-24T14:10:00Z,22.00,81.00
2026-03-24T14:13:00Z,22.00,81.00
