# event_ticker=KXATPMATCH-26MAR04FONCOL
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Joao Fonseca
# fav_player=Joao Fonseca
# dog_player=Raphael Collignon
# kalshi_date=2026-03-04
timestamp,Joao Fonseca,Raphael Collignon
2026-03-04T15:02:00Z,57.00,
2026-03-04T15:03:00Z,56.00,
2026-03-04T15:11:00Z,56.00,44.00
2026-03-04T15:14:00Z,57.00,44.00
2026-03-04T15:17:00Z,57.00,44.00
2026-03-04T15:22:00Z,57.00,44.00
2026-03-04T15:29:00Z,57.00,44.00
2026-03-04T15:30:00Z,57.00,44.00
2026-03-04T15:35:00Z,57.00,44.00
2026-03-04T15:36:00Z,57.00,44.00
2026-03-04T15:43:00Z,57.00,44.00
2026-03-04T15:48:00Z,56.93,44.00
2026-03-04T15:49:00Z,57.00,44.00
2026-03-04T15:51:00Z,57.00,44.00
2026-03-04T15:55:00Z,57.00,44.00
2026-03-04T15:57:00Z,57.00,44.00
2026-03-04T16:00:00Z,57.00,44.00
2026-03-04T16:01:00Z,57.00,44.00
2026-03-04T16:06:00Z,57.00,44.00
2026-03-04T16:11:00Z,57.00,44.00
2026-03-04T16:12:00Z,57.00,44.00
2026-03-04T16:13:00Z,57.00,44.00
2026-03-04T16:15:00Z,57.00,44.00
2026-03-04T16:19:00Z,57.00,44.00
2026-03-04T16:20:00Z,57.00,44.00
2026-03-04T16:25:00Z,57.00,44.00
2026-03-04T16:27:00Z,57.00,44.00
2026-03-04T16:29:00Z,57.00,44.00
2026-03-04T16:36:00Z,57.00,44.00
2026-03-04T16:40:00Z,57.00,44.00
2026-03-04T16:43:00Z,57.00,44.00
2026-03-04T16:47:00Z,57.00,44.00
2026-03-04T16:48:00Z,57.00,44.00
2026-03-04T16:50:00Z,57.00,44.00
2026-03-04T16:52:00Z,57.00,44.00
2026-03-04T17:10:00Z,57.00,44.00
2026-03-04T17:11:00Z,57.00,44.00
2026-03-04T17:23:00Z,57.00,44.00
2026-03-04T17:24:00Z,57.00,44.00
2026-03-04T17:28:00Z,57.00,44.00
2026-03-04T17:33:00Z,57.00,44.00
2026-03-04T17:35:00Z,57.00,44.00
2026-03-04T17:36:00Z,57.00,44.22
2026-03-04T17:40:00Z,57.00,44.22
2026-03-04T17:41:00Z,57.00,45.00
2026-03-04T17:52:00Z,56.00,44.00
2026-03-04T17:59:00Z,56.00,44.00
2026-03-04T18:02:00Z,56.00,45.00
2026-03-04T18:03:00Z,56.04,45.00
2026-03-04T18:04:00Z,57.00,45.00
2026-03-04T18:05:00Z,56.00,45.00
2026-03-04T18:09:00Z,56.00,45.00
2026-03-04T18:14:00Z,56.00,45.00
2026-03-04T18:16:00Z,57.00,45.00
2026-03-04T18:20:00Z,57.00,45.00
2026-03-04T18:22:00Z,57.00,44.00
2026-03-04T18:23:00Z,57.00,45.00
2026-03-04T18:26:00Z,56.00,45.00
2026-03-04T18:32:00Z,57.00,45.00
2026-03-04T18:33:00Z,57.00,45.00
2026-03-04T18:39:00Z,57.00,45.00
2026-03-04T18:42:00Z,57.00,45.00
2026-03-04T18:49:00Z,56.20,44.00
2026-03-04T18:56:00Z,57.00,44.00
2026-03-04T18:59:00Z,57.00,44.00
2026-03-04T19:01:00Z,57.00,44.00
2026-03-04T19:02:00Z,57.00,44.00
2026-03-04T19:08:00Z,57.00,43.00
2026-03-04T19:12:00Z,57.00,43.00
2026-03-04T19:15:00Z,57.00,43.00
2026-03-04T19:18:00Z,56.00,43.00
2026-03-04T19:24:00Z,56.13,43.00
2026-03-04T19:25:00Z,56.00,44.77
2026-03-04T19:29:00Z,56.00,44.77
2026-03-04T19:30:00Z,55.00,44.77
2026-03-04T19:33:00Z,56.00,44.77
2026-03-04T19:38:00Z,56.00,44.77
2026-03-04T19:45:00Z,56.00,44.77
2026-03-04T19:46:00Z,56.00,44.77
2026-03-04T19:47:00Z,56.00,44.77
2026-03-04T19:56:00Z,56.00,44.77
2026-03-04T19:57:00Z,56.00,45.00
2026-03-04T19:59:00Z,56.48,45.00
2026-03-04T20:05:00Z,56.48,44.00
2026-03-04T20:07:00Z,57.00,44.00
2026-03-04T20:11:00Z,57.00,44.00
2026-03-04T20:16:00Z,57.00,44.00
2026-03-04T20:17:00Z,57.00,44.00
2026-03-04T20:19:00Z,57.00,44.00
2026-03-04T20:23:00Z,55.74,44.00
2026-03-04T20:24:00Z,56.16,44.00
2026-03-04T20:25:00Z,56.16,44.00
2026-03-04T20:36:00Z,55.99,44.00
2026-03-04T20:39:00Z,55.99,44.00
2026-03-04T20:41:00Z,55.99,44.00
2026-03-04T20:46:00Z,57.00,44.00
2026-03-04T20:47:00Z,57.00,44.00
2026-03-04T20:48:00Z,57.00,44.32
2026-03-04T20:50:00Z,57.00,44.00
2026-03-04T20:53:00Z,57.00,44.00
2026-03-04T20:54:00Z,57.00,44.00
2026-03-04T20:55:00Z,57.00,44.00
2026-03-04T20:58:00Z,57.00,44.00
2026-03-04T21:01:00Z,57.00,44.00
2026-03-04T21:06:00Z,57.00,44.00
2026-03-04T21:10:00Z,57.00,44.00
