# event_ticker=KXATPMATCH-26MAR04BERMAN
# final_score=4-6 7-5 7-5
# score_resolution=6-4 5-7 5-7
# match_winner=Matteo Berrettini
# fav_player=Adrian Mannarino
# dog_player=Matteo Berrettini
# kalshi_date=2026-03-04
timestamp,Adrian Mannarino,Matteo Berrettini
2026-03-04T11:20:00Z,30.80,
2026-03-04T11:27:00Z,32.00,
2026-03-04T11:30:00Z,32.00,
2026-03-04T11:45:00Z,32.00,70.00
2026-03-04T11:55:00Z,32.00,70.00
2026-03-04T12:14:00Z,33.00,70.00
2026-03-04T12:27:00Z,32.00,70.00
2026-03-04T12:28:00Z,33.00,70.00
2026-03-04T12:35:00Z,33.00,70.00
2026-03-04T12:40:00Z,32.00,70.00
2026-03-04T12:45:00Z,32.00,69.00
2026-03-04T12:46:00Z,33.00,69.00
2026-03-04T12:50:00Z,33.00,69.00
2026-03-04T13:00:00Z,33.00,69.00
2026-03-04T13:05:00Z,33.00,67.25
2026-03-04T13:15:00Z,33.00,69.00
2026-03-04T13:31:00Z,33.00,69.00
2026-03-04T13:45:00Z,33.00,69.00
2026-03-04T14:00:00Z,33.00,69.00
2026-03-04T14:01:00Z,33.00,69.00
2026-03-04T14:02:00Z,33.00,69.00
2026-03-04T14:03:00Z,33.00,69.00
2026-03-04T14:12:00Z,33.00,69.00
2026-03-04T14:17:00Z,33.00,69.00
2026-03-04T14:18:00Z,33.00,69.00
2026-03-04T14:21:00Z,33.00,69.00
2026-03-04T14:22:00Z,33.00,68.00
2026-03-04T14:40:00Z,33.00,68.00
2026-03-04T14:42:00Z,33.00,68.00
2026-03-04T14:44:00Z,33.00,68.00
2026-03-04T14:48:00Z,33.00,68.00
2026-03-04T14:50:00Z,33.00,68.00
2026-03-04T14:52:00Z,33.00,68.00
2026-03-04T14:55:00Z,33.00,68.00
2026-03-04T14:56:00Z,33.00,68.00
2026-03-04T15:04:00Z,33.00,68.00
2026-03-04T15:22:00Z,33.00,68.00
2026-03-04T15:23:00Z,33.00,68.00
2026-03-04T15:25:00Z,33.00,68.00
2026-03-04T15:26:00Z,33.00,68.00
