# event_ticker=KXATPMATCH-25AUG18BORMAJ
# final_score=6-1 6-3
# match_winner=Kamil Majchrzak
# fav_player=Kamil Majchrzak
# dog_player=Nuno Borges
# kalshi_date=2025-08-18
timestamp,Kamil Majchrzak,Nuno Borges
2025-08-18T15:33:00Z,,56.00
2025-08-18T16:50:00Z,,55.00
2025-08-18T16:54:00Z,,55.00
2025-08-18T20:33:00Z,,55.00
2025-08-18T20:39:00Z,47.00,55.00
2025-08-18T21:27:00Z,47.00,55.00
2025-08-18T21:48:00Z,47.00,55.00
2025-08-18T21:50:00Z,45.00,55.00
2025-08-18T21:52:00Z,45.00,55.00
2025-08-18T22:27:00Z,45.00,57.00
2025-08-18T22:29:00Z,45.00,57.00
2025-08-18T23:46:00Z,45.00,56.00
2025-08-18T23:49:00Z,45.00,56.00
2025-08-19T00:02:00Z,45.00,56.00
2025-08-19T00:06:00Z,45.00,56.00
2025-08-19T00:08:00Z,45.63,56.00
2025-08-19T00:10:00Z,46.00,56.00
2025-08-19T00:14:00Z,46.00,56.00
2025-08-19T00:17:00Z,46.00,56.00
2025-08-19T00:18:00Z,46.00,56.00
2025-08-19T00:19:00Z,46.00,56.00
2025-08-19T00:23:00Z,46.00,56.10
2025-08-19T00:24:00Z,46.00,58.00
2025-08-19T00:25:00Z,46.00,58.00
2025-08-19T00:31:00Z,46.00,58.00
2025-08-19T00:35:00Z,40.99,60.45
2025-08-19T00:36:00Z,40.99,57.98
2025-08-19T00:37:00Z,49.00,55.38
2025-08-19T00:38:00Z,49.00,53.00
2025-08-19T00:40:00Z,54.46,43.06
2025-08-19T00:41:00Z,64.00,40.00
2025-08-19T00:43:00Z,64.00,43.63
2025-08-19T00:44:00Z,64.00,37.52
2025-08-19T00:46:00Z,67.55,33.99
2025-08-19T00:47:00Z,63.82,38.91
2025-08-19T00:48:00Z,62.99,38.91
2025-08-19T00:49:00Z,65.35,36.69
2025-08-19T00:51:00Z,68.00,36.69
2025-08-19T00:52:00Z,68.00,35.60
2025-08-19T00:53:00Z,68.00,34.00
2025-08-19T00:54:00Z,73.00,34.64
2025-08-19T00:55:00Z,73.00,26.00
2025-08-19T00:56:00Z,76.00,26.00
2025-08-19T00:57:00Z,77.37,21.10
2025-08-19T00:58:00Z,75.00,21.10
2025-08-19T00:59:00Z,75.00,25.06
2025-08-19T01:00:00Z,76.00,26.00
2025-08-19T01:01:00Z,76.38,26.00
2025-08-19T01:02:00Z,80.37,23.60
2025-08-19T01:03:00Z,84.96,21.77
2025-08-19T01:04:00Z,79.03,26.83
2025-08-19T01:05:00Z,79.03,28.48
2025-08-19T01:06:00Z,71.00,28.21
2025-08-19T01:07:00Z,77.79,25.00
2025-08-19T01:08:00Z,74.00,28.00
2025-08-19T01:09:00Z,74.00,19.67
2025-08-19T01:10:00Z,80.31,18.97
2025-08-19T01:11:00Z,80.61,21.74
2025-08-19T01:13:00Z,76.00,26.00
2025-08-19T01:14:00Z,76.00,29.99
2025-08-19T01:15:00Z,74.20,30.00
2025-08-19T01:16:00Z,70.19,30.00
2025-08-19T01:17:00Z,72.23,29.91
2025-08-19T01:18:00Z,73.00,29.27
2025-08-19T01:19:00Z,70.36,30.96
2025-08-19T01:20:00Z,69.00,30.96
2025-08-19T01:21:00Z,70.00,31.00
2025-08-19T01:22:00Z,68.32,30.01
2025-08-19T01:23:00Z,65.00,31.74
2025-08-19T01:24:00Z,72.00,28.19
2025-08-19T01:25:00Z,84.00,32.29
2025-08-19T01:26:00Z,76.93,22.06
2025-08-19T01:27:00Z,75.04,26.00
2025-08-19T01:28:00Z,79.98,21.33
2025-08-19T01:29:00Z,81.54,23.31
2025-08-19T01:30:00Z,89.24,11.73
2025-08-19T01:31:00Z,95.32,6.00
2025-08-19T01:32:00Z,95.32,6.00
2025-08-19T01:33:00Z,98.80,3.96
2025-08-19T01:34:00Z,97.85,2.79
2025-08-19T01:35:00Z,98.69,1.00
2025-08-19T01:36:00Z,99.00,1.00
2025-08-19T01:37:00Z,97.00,2.73
2025-08-19T01:38:00Z,99.00,3.39
2025-08-19T01:41:00Z,99.00,3.39
2025-08-19T01:42:00Z,99.00,3.39
