# event_ticker=KXATPMATCH-26MAR31MOUBAA
# final_score=6-0 6-2
# score_resolution=0-6 2-6
# match_winner=Corentin Moutet
# fav_player=Taha Baadi
# dog_player=Corentin Moutet
# kalshi_date=2026-03-31
timestamp,Taha Baadi,Corentin Moutet
2026-04-01T00:22:00Z,6.00,
2026-04-01T00:25:00Z,5.00,
2026-04-01T00:26:00Z,5.00,
2026-04-01T00:27:00Z,6.00,
2026-04-01T00:44:00Z,6.00,94.00
2026-04-01T01:00:00Z,6.00,94.00
2026-04-01T01:11:00Z,6.00,93.64
2026-04-01T01:15:00Z,6.00,93.64
2026-04-01T01:19:00Z,6.00,93.64
2026-04-01T01:42:00Z,6.00,93.64
2026-04-01T01:44:00Z,6.00,93.64
2026-04-01T01:47:00Z,6.00,93.64
2026-04-01T01:49:00Z,6.00,93.64
2026-04-01T01:55:00Z,6.00,95.00
2026-04-01T02:12:00Z,6.00,95.00
2026-04-01T02:13:00Z,6.00,95.00
2026-04-01T02:14:00Z,6.00,95.00
2026-04-01T02:51:00Z,6.00,94.00
2026-04-01T02:58:00Z,6.12,94.00
2026-04-01T03:00:00Z,7.00,94.00
2026-04-01T03:05:00Z,7.00,94.00
2026-04-01T03:27:00Z,7.00,94.00
2026-04-01T03:35:00Z,7.00,95.00
2026-04-01T03:41:00Z,7.00,95.00
2026-04-01T03:49:00Z,7.00,95.00
2026-04-01T04:01:00Z,6.00,95.00
2026-04-01T04:08:00Z,6.00,95.00
2026-04-01T04:14:00Z,6.00,95.00
2026-04-01T04:25:00Z,6.00,95.00
2026-04-01T04:30:00Z,6.00,95.00
2026-04-01T04:35:00Z,6.00,95.00
2026-04-01T04:46:00Z,6.00,95.00
2026-04-01T05:02:00Z,6.00,95.00
2026-04-01T05:12:00Z,6.00,95.00
2026-04-01T05:20:00Z,6.00,95.00
2026-04-01T05:28:00Z,6.00,95.00
2026-04-01T05:29:00Z,6.00,95.00
2026-04-01T05:30:00Z,6.00,95.00
2026-04-01T05:38:00Z,6.00,95.00
2026-04-01T05:45:00Z,6.00,95.00
2026-04-01T05:48:00Z,6.00,95.00
2026-04-01T05:52:00Z,6.00,95.00
2026-04-01T05:54:00Z,6.00,95.00
2026-04-01T06:05:00Z,6.00,95.00
2026-04-01T06:12:00Z,6.79,95.00
2026-04-01T06:16:00Z,5.50,95.00
2026-04-01T06:24:00Z,5.50,95.00
2026-04-01T06:25:00Z,6.69,95.00
2026-04-01T06:31:00Z,7.00,95.00
2026-04-01T06:38:00Z,7.00,95.00
2026-04-01T06:39:00Z,7.00,95.00
2026-04-01T06:46:00Z,7.00,95.00
2026-04-01T06:47:00Z,7.00,95.00
2026-04-01T06:59:00Z,7.00,95.00
2026-04-01T07:06:00Z,7.00,95.00
2026-04-01T07:20:00Z,7.00,95.00
2026-04-01T07:23:00Z,7.00,95.00
2026-04-01T07:24:00Z,7.00,95.00
2026-04-01T07:46:00Z,6.00,95.00
2026-04-01T07:57:00Z,7.00,95.00
2026-04-01T07:58:00Z,7.00,95.00
2026-04-01T08:03:00Z,7.00,95.00
2026-04-01T08:16:00Z,6.00,95.00
2026-04-01T08:54:00Z,6.00,95.00
2026-04-01T08:57:00Z,6.00,95.00
2026-04-01T09:02:00Z,6.00,95.00
2026-04-01T09:05:00Z,6.00,95.00
