# event_ticker=KXATPCHALLENGERMATCH-26MAR15TRUCEC
# final_score=4-6 6-0 6-3
# score_resolution=6-4 0-6 3-6
# match_winner=Marco Trungelliti
# fav_player=Marco Cecchinato
# dog_player=Marco Trungelliti
# kalshi_date=2026-03-15
timestamp,Marco Cecchinato,Marco Trungelliti
2026-03-14T22:54:00Z,47.00,
2026-03-15T00:55:00Z,47.00,
2026-03-15T00:56:00Z,47.00,54.00
2026-03-15T01:02:00Z,47.00,54.00
2026-03-15T02:05:00Z,47.00,54.00
2026-03-15T02:24:00Z,47.00,54.00
2026-03-15T02:33:00Z,47.00,54.00
2026-03-15T02:35:00Z,47.00,54.00
2026-03-15T02:36:00Z,47.75,54.00
2026-03-15T02:37:00Z,48.35,54.00
2026-03-15T02:38:00Z,48.35,54.00
2026-03-15T02:41:00Z,48.00,54.00
2026-03-15T02:54:00Z,46.00,54.00
2026-03-15T03:03:00Z,48.00,54.00
2026-03-15T03:04:00Z,48.00,54.00
2026-03-15T03:08:00Z,48.00,53.00
2026-03-15T03:11:00Z,48.00,53.66
2026-03-15T03:15:00Z,48.00,53.66
2026-03-15T03:16:00Z,48.00,53.66
2026-03-15T03:23:00Z,48.00,54.00
2026-03-15T03:24:00Z,48.00,54.00
2026-03-15T03:26:00Z,48.00,54.00
2026-03-15T03:27:00Z,49.00,54.00
2026-03-15T03:34:00Z,49.00,54.00
2026-03-15T03:35:00Z,49.00,54.00
2026-03-15T03:44:00Z,48.49,54.00
2026-03-15T03:45:00Z,48.49,54.00
2026-03-15T03:48:00Z,49.00,54.00
2026-03-15T03:57:00Z,49.00,54.00
2026-03-15T04:00:00Z,49.00,54.00
2026-03-15T04:16:00Z,49.00,54.00
2026-03-15T04:17:00Z,48.00,54.00
2026-03-15T04:27:00Z,48.00,54.00
2026-03-15T04:29:00Z,48.00,54.00
2026-03-15T04:30:00Z,48.00,51.75
2026-03-15T04:31:00Z,48.37,51.75
2026-03-15T04:37:00Z,48.37,54.00
2026-03-15T04:42:00Z,48.37,54.00
2026-03-15T04:45:00Z,48.37,54.00
2026-03-15T04:51:00Z,49.00,54.00
2026-03-15T04:59:00Z,49.00,54.00
2026-03-15T05:00:00Z,49.00,54.00
2026-03-15T05:01:00Z,49.00,54.00
2026-03-15T05:04:00Z,49.00,53.88
2026-03-15T05:09:00Z,49.00,53.88
2026-03-15T05:10:00Z,49.00,53.88
2026-03-15T05:11:00Z,49.00,53.00
