# event_ticker=KXATPMATCH-26FEB22NAVKOP
# final_score=3-6 6-0 3-1 RET
# match_winner=Mariano Navone
# fav_player=Mariano Navone
# dog_player=Vit Kopriva
# kalshi_date=2026-02-22
timestamp,Mariano Navone,Vit Kopriva
2026-02-24T07:10:00Z,,42.00
2026-02-24T07:18:00Z,,42.00
2026-02-24T07:22:00Z,59.00,42.00
2026-02-24T07:30:00Z,59.00,42.00
2026-02-24T07:43:00Z,59.00,42.00
2026-02-24T08:01:00Z,59.00,42.00
2026-02-24T08:07:00Z,59.82,42.00
2026-02-24T08:10:00Z,60.83,42.00
2026-02-24T08:11:00Z,61.00,42.00
2026-02-24T08:59:00Z,61.00,42.00
2026-02-24T09:02:00Z,61.00,42.00
2026-02-24T09:37:00Z,61.00,42.00
2026-02-24T10:27:00Z,60.00,42.00
2026-02-24T11:03:00Z,60.00,42.00
2026-02-24T11:08:00Z,60.00,41.00
2026-02-24T11:14:00Z,60.00,40.00
2026-02-24T11:55:00Z,61.00,40.00
2026-02-24T12:16:00Z,61.00,40.00
2026-02-24T12:18:00Z,61.00,40.00
2026-02-24T12:19:00Z,61.00,40.00
2026-02-24T12:22:00Z,61.00,40.00
2026-02-24T12:27:00Z,61.00,40.00
2026-02-24T13:07:00Z,61.00,40.00
2026-02-24T13:08:00Z,61.00,40.00
2026-02-24T13:11:00Z,61.00,40.00
2026-02-24T13:40:00Z,61.00,40.00
2026-02-24T13:42:00Z,61.00,40.00
2026-02-24T13:54:00Z,61.00,40.00
2026-02-24T13:57:00Z,61.00,40.00
2026-02-24T13:58:00Z,61.00,40.00
2026-02-24T14:01:00Z,61.00,40.00
2026-02-24T14:31:00Z,61.00,40.00
2026-02-24T14:33:00Z,61.00,40.00
2026-02-24T14:35:00Z,61.00,40.00
2026-02-24T14:38:00Z,61.00,40.00
2026-02-24T14:41:00Z,61.00,40.00
2026-02-24T14:47:00Z,61.00,40.00
2026-02-24T14:54:00Z,60.00,40.00
2026-02-24T14:56:00Z,61.00,40.00
2026-02-24T15:00:00Z,61.00,40.00
2026-02-24T15:02:00Z,61.00,40.00
2026-02-24T15:06:00Z,61.00,40.00
2026-02-24T15:10:00Z,61.00,40.00
2026-02-24T15:13:00Z,61.00,40.00
2026-02-24T15:15:00Z,61.00,40.00
2026-02-24T15:16:00Z,62.00,40.00
2026-02-24T15:17:00Z,62.00,40.00
2026-02-24T15:22:00Z,62.00,40.00
2026-02-24T15:30:00Z,62.00,40.00
2026-02-24T15:35:00Z,62.00,40.00
2026-02-24T15:41:00Z,62.00,40.00
2026-02-24T15:43:00Z,62.00,40.00
2026-02-24T15:46:00Z,62.00,40.00
2026-02-24T15:47:00Z,62.00,40.00
2026-02-24T15:49:00Z,62.00,40.00
2026-02-24T15:50:00Z,62.00,40.00
2026-02-24T15:55:00Z,62.00,40.00
2026-02-24T15:59:00Z,62.00,40.00
2026-02-24T16:00:00Z,62.00,40.00
2026-02-24T16:01:00Z,62.00,40.00
2026-02-24T16:02:00Z,62.00,40.00
2026-02-24T16:03:00Z,62.00,40.00
2026-02-24T16:05:00Z,62.00,39.00
2026-02-24T16:06:00Z,62.00,39.00
2026-02-24T16:09:00Z,62.00,39.00
2026-02-24T16:10:00Z,62.00,39.00
2026-02-24T16:12:00Z,62.00,39.00
2026-02-24T16:17:00Z,61.00,39.00
2026-02-24T16:19:00Z,61.00,39.00
2026-02-24T16:21:00Z,61.00,39.00
2026-02-24T16:22:00Z,62.00,39.00
2026-02-24T16:23:00Z,62.00,40.00
2026-02-24T16:24:00Z,62.00,40.00
2026-02-24T16:25:00Z,62.00,40.00
2026-02-24T16:26:00Z,62.00,40.00
2026-02-24T16:27:00Z,61.13,40.00
2026-02-24T16:28:00Z,61.13,40.00
2026-02-24T16:29:00Z,61.13,40.00
2026-02-24T16:30:00Z,61.13,40.00
2026-02-24T16:31:00Z,61.00,40.00
2026-02-24T16:32:00Z,61.00,40.00
2026-02-24T16:33:00Z,61.00,40.57
2026-02-24T16:37:00Z,61.00,40.00
2026-02-24T16:38:00Z,61.00,40.00
2026-02-24T16:40:00Z,61.00,40.00
2026-02-24T16:41:00Z,61.00,40.00
2026-02-24T16:43:00Z,61.00,41.00
2026-02-24T16:45:00Z,61.00,41.00
2026-02-24T16:47:00Z,61.00,41.00
2026-02-24T16:48:00Z,61.00,41.00
2026-02-24T16:49:00Z,61.00,41.00
2026-02-24T16:50:00Z,61.00,41.00
2026-02-24T16:51:00Z,61.00,41.00
2026-02-24T16:52:00Z,61.00,41.00
2026-02-24T16:54:00Z,61.00,41.00
2026-02-24T16:55:00Z,61.00,41.00
2026-02-24T16:56:00Z,61.00,41.00
2026-02-24T16:57:00Z,61.00,41.00
2026-02-24T16:58:00Z,61.00,41.00
2026-02-24T16:59:00Z,61.00,41.00
2026-02-24T17:00:00Z,61.00,41.00
2026-02-24T17:01:00Z,61.00,40.00
2026-02-24T17:02:00Z,61.00,40.00
2026-02-24T17:03:00Z,61.00,40.00
2026-02-24T17:05:00Z,61.53,39.00
2026-02-24T17:08:00Z,61.53,39.60
2026-02-24T17:10:00Z,61.53,40.00
2026-02-24T17:11:00Z,62.00,40.00
2026-02-24T17:12:00Z,62.00,39.00
2026-02-24T17:13:00Z,62.00,39.00
2026-02-24T17:14:00Z,61.25,39.00
2026-02-24T17:15:00Z,61.25,39.00
2026-02-24T17:16:00Z,61.25,39.00
2026-02-24T17:17:00Z,62.00,39.00
2026-02-24T17:19:00Z,62.00,39.64
2026-02-24T17:21:00Z,61.00,39.64
2026-02-24T17:23:00Z,61.00,39.00
2026-02-24T17:24:00Z,61.00,39.00
2026-02-24T17:26:00Z,61.00,39.91
2026-02-24T17:29:00Z,62.00,39.91
2026-02-24T17:30:00Z,62.00,39.00
2026-02-24T17:31:00Z,62.00,39.00
2026-02-24T17:34:00Z,62.00,39.00
2026-02-24T17:35:00Z,62.00,39.53
2026-02-24T17:36:00Z,62.00,39.00
2026-02-24T17:37:00Z,62.00,39.00
2026-02-24T17:38:00Z,62.00,39.00
2026-02-24T17:39:00Z,62.00,39.35
2026-02-24T17:40:00Z,62.00,39.00
2026-02-24T17:41:00Z,62.00,39.06
2026-02-24T17:42:00Z,62.00,38.00
2026-02-24T17:43:00Z,62.00,38.06
2026-02-24T17:44:00Z,62.79,38.06
2026-02-24T17:45:00Z,62.00,38.35
2026-02-24T17:46:00Z,62.00,39.00
2026-02-24T17:47:00Z,62.00,39.88
2026-02-24T17:48:00Z,63.00,39.00
2026-02-24T17:49:00Z,62.00,39.00
2026-02-24T17:50:00Z,62.00,39.00
2026-02-24T17:51:00Z,62.00,39.91
2026-02-24T17:52:00Z,62.00,39.91
2026-02-24T17:53:00Z,61.45,39.64
2026-02-24T17:54:00Z,61.45,40.00
2026-02-24T17:55:00Z,62.00,40.00
2026-02-24T17:56:00Z,62.00,40.00
2026-02-24T17:57:00Z,62.00,40.75
2026-02-24T17:58:00Z,62.71,40.00
2026-02-24T17:59:00Z,62.76,40.00
2026-02-24T18:00:00Z,62.62,40.00
2026-02-24T18:01:00Z,63.00,40.00
2026-02-24T18:02:00Z,63.00,40.00
2026-02-24T18:03:00Z,63.00,40.00
2026-02-24T18:04:00Z,63.00,40.00
2026-02-24T18:05:00Z,61.51,40.00
2026-02-24T18:06:00Z,62.63,40.00
2026-02-24T18:07:00Z,62.00,40.00
2026-02-24T18:08:00Z,62.00,40.00
2026-02-24T18:09:00Z,62.00,40.00
2026-02-24T18:10:00Z,62.00,40.00
2026-02-24T18:11:00Z,62.00,40.00
2026-02-24T18:12:00Z,62.00,40.00
2026-02-24T18:13:00Z,61.00,40.00
2026-02-24T18:15:00Z,62.27,39.00
2026-02-24T18:16:00Z,62.00,39.00
2026-02-24T18:17:00Z,62.00,39.00
2026-02-24T18:18:00Z,62.77,40.00
2026-02-24T18:19:00Z,63.00,40.00
2026-02-24T18:20:00Z,63.00,40.00
2026-02-24T18:21:00Z,61.88,40.00
2026-02-24T18:22:00Z,61.88,40.00
2026-02-24T18:23:00Z,63.00,40.00
2026-02-24T18:24:00Z,63.00,40.00
2026-02-24T18:25:00Z,63.00,40.00
2026-02-24T18:26:00Z,62.87,40.00
2026-02-24T18:27:00Z,60.23,40.00
2026-02-24T18:28:00Z,60.23,40.00
2026-02-24T18:29:00Z,62.00,40.72
2026-02-24T18:30:00Z,62.00,41.00
2026-02-24T18:31:00Z,62.67,41.00
2026-02-24T18:34:00Z,63.52,39.00
2026-02-24T18:35:00Z,64.00,40.00
2026-02-24T18:36:00Z,64.00,39.00
2026-02-24T18:37:00Z,64.00,39.83
2026-02-24T18:38:00Z,64.00,40.00
2026-02-24T18:39:00Z,63.01,40.00
2026-02-24T18:40:00Z,62.91,40.00
2026-02-24T18:41:00Z,63.04,40.00
2026-02-24T18:42:00Z,63.00,40.00
2026-02-24T18:43:00Z,63.00,40.00
2026-02-24T18:44:00Z,63.00,40.00
2026-02-24T18:45:00Z,63.00,40.00
2026-02-24T18:46:00Z,63.00,40.00
2026-02-24T18:47:00Z,62.00,40.39
2026-02-24T18:48:00Z,59.83,40.00
2026-02-24T18:49:00Z,62.95,40.00
2026-02-24T18:50:00Z,62.95,40.00
2026-02-24T18:51:00Z,62.99,40.00
2026-02-24T18:52:00Z,63.84,39.11
2026-02-24T18:53:00Z,64.00,36.77
2026-02-24T18:54:00Z,64.95,38.00
2026-02-24T18:55:00Z,64.61,38.11
2026-02-24T18:56:00Z,62.33,39.00
2026-02-24T18:57:00Z,61.04,39.98
2026-02-24T18:58:00Z,53.83,46.09
2026-02-24T18:59:00Z,55.36,45.90
2026-02-24T19:00:00Z,50.87,53.68
2026-02-24T19:01:00Z,44.54,56.22
2026-02-24T19:02:00Z,40.45,61.39
2026-02-24T19:03:00Z,41.96,59.11
2026-02-24T19:04:00Z,44.10,56.97
2026-02-24T19:05:00Z,43.68,57.65
2026-02-24T19:06:00Z,44.43,56.70
2026-02-24T19:07:00Z,43.59,59.84
2026-02-24T19:08:00Z,39.71,61.63
2026-02-24T19:09:00Z,37.31,63.03
2026-02-24T19:10:00Z,38.02,65.05
2026-02-24T19:11:00Z,31.54,67.74
2026-02-24T19:12:00Z,27.85,73.50
2026-02-24T19:13:00Z,26.17,74.27
2026-02-24T19:14:00Z,24.34,75.46
2026-02-24T19:15:00Z,23.68,76.98
2026-02-24T19:16:00Z,23.50,77.84
2026-02-24T19:17:00Z,22.71,78.35
2026-02-24T19:18:00Z,22.71,79.36
2026-02-24T19:19:00Z,21.99,79.00
2026-02-24T19:20:00Z,22.09,78.28
2026-02-24T19:21:00Z,22.00,78.09
2026-02-24T19:22:00Z,21.80,78.16
2026-02-24T19:23:00Z,22.12,77.96
2026-02-24T19:24:00Z,22.76,77.41
2026-02-24T19:25:00Z,24.73,76.96
