# event_ticker=KXATPCHALLENGERMATCH-26MAR11TABGHI
# final_score=6-2 6-2
# match_winner=Clement Tabur
# fav_player=Clement Tabur
# dog_player=Antoine Ghibaudo
# kalshi_date=2026-03-11
timestamp,Clement Tabur,Antoine Ghibaudo
2026-03-11T10:42:00Z,70.00,
2026-03-11T10:43:00Z,70.00,
2026-03-11T12:29:00Z,69.64,
2026-03-11T12:38:00Z,70.00,
2026-03-11T12:53:00Z,70.00,30.00
2026-03-11T13:26:00Z,69.00,30.00
2026-03-11T13:34:00Z,69.00,30.00
2026-03-11T13:36:00Z,69.00,30.00
2026-03-11T13:37:00Z,69.00,30.00
2026-03-11T14:00:00Z,69.00,30.00
2026-03-11T14:24:00Z,69.00,33.00
2026-03-11T14:49:00Z,69.00,33.00
2026-03-11T14:55:00Z,69.00,33.00
2026-03-11T15:33:00Z,69.00,33.00
2026-03-11T15:59:00Z,69.00,33.00
2026-03-11T16:45:00Z,69.00,33.69
2026-03-11T16:57:00Z,68.00,33.69
2026-03-11T17:06:00Z,68.00,33.69
2026-03-11T17:18:00Z,68.00,33.69
2026-03-11T17:22:00Z,68.95,33.69
2026-03-11T17:26:00Z,68.58,33.69
2026-03-11T17:29:00Z,68.00,33.69
2026-03-11T17:35:00Z,68.00,33.69
2026-03-11T17:36:00Z,68.00,33.69
2026-03-11T17:44:00Z,68.00,33.00
2026-03-11T17:58:00Z,68.82,33.00
2026-03-11T18:16:00Z,68.00,33.00
2026-03-11T18:33:00Z,68.19,33.00
2026-03-11T18:50:00Z,68.00,33.00
2026-03-11T18:51:00Z,68.85,33.00
2026-03-11T19:26:00Z,69.00,33.00
2026-03-11T19:30:00Z,69.00,33.96
2026-03-11T19:39:00Z,69.00,33.96
2026-03-11T20:05:00Z,67.00,33.96
2026-03-11T20:06:00Z,69.00,33.96
2026-03-11T20:10:00Z,69.00,33.96
2026-03-11T20:31:00Z,69.00,33.00
2026-03-11T20:33:00Z,69.00,33.00
2026-03-11T20:34:00Z,69.09,33.00
2026-03-11T20:35:00Z,67.00,33.00
2026-03-11T20:36:00Z,67.00,36.95
2026-03-11T20:37:00Z,64.37,40.19
2026-03-11T20:38:00Z,66.91,40.19
2026-03-11T20:39:00Z,69.78,40.19
2026-03-11T20:40:00Z,72.96,40.19
2026-03-11T20:41:00Z,75.50,23.26
2026-03-11T20:42:00Z,79.00,23.00
2026-03-11T20:43:00Z,79.00,19.00
2026-03-11T20:44:00Z,81.00,19.00
2026-03-11T20:45:00Z,82.50,19.00
2026-03-11T20:47:00Z,84.00,19.00
2026-03-11T20:48:00Z,84.00,16.00
2026-03-11T20:49:00Z,85.00,17.00
2026-03-11T20:51:00Z,84.00,16.00
2026-03-11T20:52:00Z,86.99,16.00
2026-03-11T20:53:00Z,86.99,13.00
2026-03-11T20:54:00Z,86.50,15.19
2026-03-11T20:55:00Z,86.00,14.00
2026-03-11T20:56:00Z,89.05,9.77
2026-03-11T20:57:00Z,89.84,9.77
2026-03-11T20:58:00Z,91.00,8.00
2026-03-11T20:59:00Z,92.05,8.00
2026-03-11T21:00:00Z,92.05,8.00
2026-03-11T21:01:00Z,93.00,8.00
2026-03-11T21:03:00Z,94.50,6.00
2026-03-11T21:04:00Z,96.06,3.88
2026-03-11T21:05:00Z,96.96,3.41
2026-03-11T21:06:00Z,93.79,6.00
2026-03-11T21:07:00Z,93.79,9.11
2026-03-11T21:08:00Z,90.99,9.00
2026-03-11T21:09:00Z,92.00,9.00
2026-03-11T21:10:00Z,92.00,8.00
2026-03-11T21:11:00Z,92.00,10.99
2026-03-11T21:12:00Z,92.00,11.00
2026-03-11T21:13:00Z,92.44,8.29
2026-03-11T21:14:00Z,94.52,6.03
2026-03-11T21:15:00Z,91.62,8.40
2026-03-11T21:16:00Z,94.00,7.57
2026-03-11T21:18:00Z,91.00,11.00
2026-03-11T21:20:00Z,92.00,7.66
2026-03-11T21:21:00Z,92.00,7.92
2026-03-11T21:22:00Z,94.00,5.88
2026-03-11T21:23:00Z,94.68,6.14
2026-03-11T21:24:00Z,97.00,4.00
2026-03-11T21:25:00Z,97.15,2.54
2026-03-11T21:26:00Z,97.15,2.64
2026-03-11T21:27:00Z,99.00,2.17
2026-03-11T21:28:00Z,99.00,2.00
2026-03-11T21:29:00Z,99.00,1.00
2026-03-11T21:31:00Z,99.00,1.00
2026-03-11T21:33:00Z,98.00,2.68
2026-03-11T21:34:00Z,98.00,1.00
