# event_ticker=KXATPCHALLENGERMATCH-26APR27LAJSAN
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Mark Lajal
# fav_player=Akira Santillan
# dog_player=Mark Lajal
# kalshi_date=2026-04-27
timestamp,Mark Lajal,Akira Santillan
2026-04-26T18:57:00Z,71.00,
2026-04-26T19:03:00Z,71.00,
2026-04-26T20:01:00Z,69.12,
2026-04-26T20:02:00Z,69.12,31.00
2026-04-26T20:57:00Z,72.00,31.00
2026-04-26T21:03:00Z,72.31,31.00
2026-04-26T21:13:00Z,73.00,31.00
2026-04-26T21:34:00Z,73.00,31.00
2026-04-26T22:17:00Z,73.00,31.00
2026-04-26T23:13:00Z,73.00,29.00
2026-04-27T00:05:00Z,73.00,29.00
2026-04-27T00:53:00Z,74.00,29.00
2026-04-27T01:05:00Z,74.00,29.00
2026-04-27T01:16:00Z,74.00,29.00
2026-04-27T01:27:00Z,74.00,29.00
2026-04-27T01:31:00Z,74.00,26.00
2026-04-27T01:33:00Z,74.00,26.00
2026-04-27T01:35:00Z,74.00,26.00
2026-04-27T01:49:00Z,74.00,28.00
2026-04-27T01:56:00Z,74.00,28.00
2026-04-27T02:01:00Z,74.00,28.00
2026-04-27T02:06:00Z,74.00,28.00
2026-04-27T02:24:00Z,74.00,28.00
2026-04-27T02:49:00Z,73.00,28.00
2026-04-27T02:53:00Z,74.00,28.00
2026-04-27T03:20:00Z,74.00,28.00
2026-04-27T03:23:00Z,74.00,28.00
2026-04-27T03:44:00Z,72.41,28.00
2026-04-27T03:48:00Z,72.41,28.00
2026-04-27T03:55:00Z,74.00,28.00
2026-04-27T04:01:00Z,74.00,28.00
2026-04-27T04:03:00Z,74.00,28.00
2026-04-27T04:05:00Z,74.00,28.00
2026-04-27T04:07:00Z,74.00,28.00
2026-04-27T04:16:00Z,74.00,28.00
2026-04-27T04:18:00Z,74.00,28.00
2026-04-27T04:23:00Z,73.00,28.00
2026-04-27T04:24:00Z,74.00,28.00
2026-04-27T04:25:00Z,74.00,28.00
2026-04-27T04:27:00Z,74.00,28.00
2026-04-27T04:31:00Z,73.00,28.00
2026-04-27T04:36:00Z,73.00,27.00
2026-04-27T04:37:00Z,73.00,28.00
2026-04-27T04:46:00Z,73.00,28.00
2026-04-27T04:49:00Z,73.00,28.00
2026-04-27T04:51:00Z,74.00,28.00
2026-04-27T04:55:00Z,74.00,28.61
2026-04-27T04:56:00Z,71.30,28.98
2026-04-27T05:00:00Z,73.00,29.00
2026-04-27T05:05:00Z,71.00,29.00
2026-04-27T05:12:00Z,73.00,29.00
2026-04-27T05:13:00Z,73.00,29.00
2026-04-27T05:14:00Z,73.00,29.00
2026-04-27T05:17:00Z,73.00,29.00
2026-04-27T05:26:00Z,73.00,29.00
2026-04-27T05:33:00Z,73.00,29.00
2026-04-27T05:37:00Z,73.00,29.00
2026-04-27T05:42:00Z,74.00,29.00
2026-04-27T05:43:00Z,74.00,29.00
2026-04-27T05:48:00Z,74.00,29.00
2026-04-27T05:49:00Z,73.00,29.00
2026-04-27T05:53:00Z,73.00,29.00
2026-04-27T05:56:00Z,73.00,29.00
2026-04-27T05:58:00Z,74.00,29.00
2026-04-27T06:01:00Z,74.00,28.94
2026-04-27T06:03:00Z,74.00,28.94
2026-04-27T06:05:00Z,74.00,28.99
2026-04-27T06:08:00Z,74.00,28.99
2026-04-27T06:10:00Z,74.00,28.99
2026-04-27T06:11:00Z,74.00,28.89
2026-04-27T06:13:00Z,74.00,28.89
2026-04-27T06:14:00Z,74.00,28.00
2026-04-27T06:15:00Z,74.12,28.00
2026-04-27T06:16:00Z,74.12,28.46
2026-04-27T06:17:00Z,74.12,29.00
