# event_ticker=KXATPCHALLENGERMATCH-26JUN01MAYTAK
# final_score=7-6(2) 6-7(8) 6-0
# score_resolution=6-7 7-6 0-6
# match_winner=Harold Mayot
# fav_player=Yusuke Takahashi
# dog_player=Harold Mayot
# kalshi_date=2026-06-01
timestamp,Harold Mayot,Yusuke Takahashi
2026-06-01T00:17:00Z,83.00,
2026-06-01T00:56:00Z,83.00,
2026-06-01T02:03:00Z,83.00,
2026-06-01T02:26:00Z,83.00,17.00
2026-06-01T03:01:00Z,83.00,17.00
2026-06-01T03:06:00Z,83.00,17.00
2026-06-01T04:27:00Z,83.00,17.00
2026-06-01T04:49:00Z,83.00,17.00
2026-06-01T04:53:00Z,83.00,17.00
2026-06-01T06:02:00Z,83.00,20.00
2026-06-01T06:26:00Z,83.00,20.00
2026-06-01T06:28:00Z,83.00,20.00
2026-06-01T10:40:00Z,83.00,20.00
2026-06-01T11:21:00Z,83.00,20.00
2026-06-01T11:43:00Z,83.00,20.00
2026-06-01T11:44:00Z,83.00,20.00
2026-06-01T11:46:00Z,83.00,22.42
2026-06-01T11:48:00Z,83.00,21.43
2026-06-01T11:50:00Z,78.06,21.00
2026-06-01T11:51:00Z,79.00,21.00
2026-06-01T11:52:00Z,79.00,24.63
2026-06-01T11:53:00Z,79.00,29.88
2026-06-01T11:54:00Z,74.00,25.32
2026-06-01T11:55:00Z,78.00,23.00
2026-06-01T11:56:00Z,80.00,23.38
2026-06-01T11:57:00Z,77.00,23.38
2026-06-01T11:58:00Z,81.00,18.13
2026-06-01T11:59:00Z,81.00,19.00
2026-06-01T12:00:00Z,85.43,15.00
2026-06-01T12:01:00Z,88.00,14.00
2026-06-01T12:02:00Z,85.00,16.82
2026-06-01T12:03:00Z,85.00,17.93
2026-06-01T12:04:00Z,85.00,18.00
2026-06-01T12:05:00Z,83.97,19.91
2026-06-01T12:06:00Z,78.95,23.00
2026-06-01T12:07:00Z,75.00,26.98
2026-06-01T12:08:00Z,77.84,24.18
2026-06-01T12:09:00Z,81.78,19.99
2026-06-01T12:10:00Z,77.54,24.17
2026-06-01T12:11:00Z,75.70,26.00
2026-06-01T12:12:00Z,75.00,27.00
2026-06-01T12:13:00Z,75.00,26.59
2026-06-01T12:14:00Z,78.52,26.59
2026-06-01T12:15:00Z,79.16,22.93
2026-06-01T12:16:00Z,80.31,20.76
2026-06-01T12:17:00Z,81.00,19.26
2026-06-01T12:18:00Z,77.82,21.74
2026-06-01T12:19:00Z,77.84,22.10
2026-06-01T12:20:00Z,77.88,22.00
2026-06-01T12:21:00Z,79.42,20.65
2026-06-01T12:22:00Z,86.01,13.44
2026-06-01T12:23:00Z,88.00,13.44
2026-06-01T12:24:00Z,88.11,11.23
2026-06-01T12:25:00Z,91.66,10.00
2026-06-01T12:26:00Z,90.91,10.00
2026-06-01T12:27:00Z,90.00,10.28
2026-06-01T12:28:00Z,90.00,10.78
2026-06-01T12:29:00Z,90.71,10.95
2026-06-01T12:30:00Z,90.00,10.88
2026-06-01T12:31:00Z,90.00,11.02
2026-06-01T12:32:00Z,91.00,11.00
2026-06-01T12:33:00Z,91.27,10.33
2026-06-01T12:34:00Z,89.03,11.83
2026-06-01T12:35:00Z,81.91,24.40
2026-06-01T12:36:00Z,74.18,25.96
