# event_ticker=KXATPMATCH-25JUL19BARNAV
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Mariano Navone
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Mariano Navone
# kalshi_date=2025-07-19
timestamp,Marcelo Tomas Barrios Vera,Mariano Navone
2025-07-21T06:45:00Z,25.00,
2025-07-21T12:10:00Z,25.00,76.00
2025-07-21T13:23:00Z,25.00,76.00
2025-07-21T15:27:00Z,25.00,76.00
2025-07-21T16:04:00Z,25.00,76.00
2025-07-21T17:52:00Z,25.00,76.54
2025-07-21T18:10:00Z,24.00,76.54
2025-07-21T18:12:00Z,24.00,77.00
2025-07-21T18:22:00Z,22.00,77.00
2025-07-21T18:23:00Z,22.00,81.00
2025-07-21T18:24:00Z,22.00,81.00
2025-07-21T18:25:00Z,18.00,81.00
2025-07-21T18:26:00Z,18.00,83.00
2025-07-21T18:27:00Z,17.00,84.00
2025-07-21T18:30:00Z,14.00,84.63
2025-07-21T18:33:00Z,14.00,88.00
2025-07-21T18:34:00Z,10.07,90.00
2025-07-21T18:35:00Z,10.00,90.00
2025-07-21T18:36:00Z,10.00,93.00
2025-07-21T18:38:00Z,8.00,93.00
2025-07-21T18:39:00Z,8.00,91.50
2025-07-21T18:40:00Z,8.00,94.00
2025-07-21T18:42:00Z,10.00,92.00
2025-07-21T18:45:00Z,10.00,92.00
2025-07-21T18:48:00Z,10.00,90.00
2025-07-21T18:49:00Z,10.00,92.00
2025-07-21T18:53:00Z,10.00,95.00
2025-07-21T18:54:00Z,6.00,95.00
2025-07-21T18:57:00Z,5.71,95.00
2025-07-21T18:58:00Z,5.71,93.00
2025-07-21T18:59:00Z,7.00,93.00
2025-07-21T19:00:00Z,9.00,93.00
2025-07-21T19:01:00Z,9.00,92.00
2025-07-21T19:02:00Z,9.00,93.00
2025-07-21T19:05:00Z,9.00,95.00
2025-07-21T19:06:00Z,4.00,96.00
2025-07-21T19:07:00Z,4.00,95.00
2025-07-21T19:08:00Z,4.00,95.00
2025-07-21T19:12:00Z,4.00,98.00
2025-07-21T19:14:00Z,3.00,98.00
2025-07-21T19:15:00Z,4.00,98.00
2025-07-21T19:17:00Z,5.00,96.00
2025-07-21T19:18:00Z,5.00,96.00
2025-07-21T19:19:00Z,5.20,96.00
2025-07-21T19:20:00Z,5.00,95.00
2025-07-21T19:21:00Z,3.53,96.00
2025-07-21T19:24:00Z,3.53,99.00
2025-07-21T19:25:00Z,3.53,99.00
2025-07-21T19:26:00Z,3.53,99.00
2025-07-21T19:31:00Z,1.00,99.00
