# event_ticker=KXATPCHALLENGERMATCH-26APR07BUTSCH
# final_score=7-6(5) 3-6 6-3
# score_resolution=7-6 3-6 6-3
# match_winner=Joel Schwaerzler
# fav_player=Joel Schwaerzler
# dog_player=Edas Butvilas
# kalshi_date=2026-04-07
timestamp,Joel Schwaerzler,Edas Butvilas
2026-04-07T02:06:00Z,56.00,
2026-04-07T02:51:00Z,59.00,
2026-04-07T04:19:00Z,59.00,44.00
2026-04-07T04:30:00Z,59.00,44.00
2026-04-07T04:39:00Z,58.00,44.00
2026-04-07T05:08:00Z,58.00,43.00
2026-04-07T06:09:00Z,58.00,43.00
2026-04-07T11:25:00Z,59.00,43.00
2026-04-07T11:51:00Z,59.00,43.00
2026-04-07T11:55:00Z,59.00,44.00
2026-04-07T12:24:00Z,60.08,43.00
2026-04-07T12:27:00Z,61.00,43.00
2026-04-07T12:36:00Z,61.00,43.00
2026-04-07T12:43:00Z,61.00,43.00
2026-04-07T13:00:00Z,60.00,43.00
2026-04-07T13:07:00Z,61.00,42.73
2026-04-07T13:10:00Z,60.00,42.00
2026-04-07T13:40:00Z,61.00,42.00
2026-04-07T13:42:00Z,61.00,42.00
2026-04-07T13:45:00Z,57.00,43.00
2026-04-07T13:46:00Z,57.00,45.94
2026-04-07T13:47:00Z,57.00,42.00
2026-04-07T13:48:00Z,55.90,45.66
2026-04-07T13:49:00Z,49.08,45.66
2026-04-07T13:50:00Z,50.16,45.66
2026-04-07T13:51:00Z,53.56,45.66
2026-04-07T13:52:00Z,55.55,45.66
2026-04-07T13:53:00Z,59.00,45.66
2026-04-07T13:54:00Z,58.00,46.00
2026-04-07T13:56:00Z,56.00,46.00
2026-04-07T13:57:00Z,55.10,43.00
2026-04-07T13:58:00Z,59.13,43.00
2026-04-07T13:59:00Z,60.00,39.50
2026-04-07T14:00:00Z,60.80,39.00
2026-04-07T14:01:00Z,62.00,38.40
2026-04-07T14:02:00Z,58.00,43.00
2026-04-07T14:03:00Z,56.67,43.00
2026-04-07T14:04:00Z,58.83,41.00
2026-04-07T14:05:00Z,58.83,39.00
2026-04-07T14:06:00Z,64.00,36.00
2026-04-07T14:07:00Z,59.00,39.77
2026-04-07T14:08:00Z,58.83,39.77
2026-04-07T14:09:00Z,60.90,37.00
2026-04-07T14:10:00Z,61.00,37.08
2026-04-07T14:11:00Z,59.00,42.08
2026-04-07T14:12:00Z,59.96,41.82
2026-04-07T14:13:00Z,56.13,43.25
2026-04-07T14:14:00Z,51.68,48.78
2026-04-07T14:15:00Z,50.01,48.25
2026-04-07T14:16:00Z,50.46,47.28
2026-04-07T14:17:00Z,51.09,47.34
2026-04-07T14:18:00Z,55.00,47.34
2026-04-07T14:19:00Z,56.77,43.54
2026-04-07T14:20:00Z,55.53,46.95
2026-04-07T14:21:00Z,53.00,46.46
2026-04-07T14:22:00Z,52.19,46.46
2026-04-07T14:23:00Z,56.00,45.00
2026-04-07T14:24:00Z,58.00,42.98
2026-04-07T14:25:00Z,63.61,41.61
2026-04-07T14:26:00Z,66.23,32.02
2026-04-07T14:27:00Z,62.87,36.58
2026-04-07T14:28:00Z,64.72,35.34
2026-04-07T14:29:00Z,52.50,44.00
2026-04-07T14:30:00Z,48.83,50.82
2026-04-07T14:31:00Z,35.45,60.80
2026-04-07T14:32:00Z,43.01,65.00
2026-04-07T14:33:00Z,50.53,54.50
2026-04-07T14:34:00Z,62.36,43.89
2026-04-07T14:35:00Z,53.97,39.87
2026-04-07T14:36:00Z,68.93,35.14
2026-04-07T14:37:00Z,73.96,23.95
2026-04-07T14:38:00Z,73.96,22.98
2026-04-07T14:39:00Z,78.00,23.00
2026-04-07T14:41:00Z,78.00,23.00
2026-04-07T14:42:00Z,76.10,25.02
2026-04-07T14:43:00Z,76.10,25.26
2026-04-07T14:44:00Z,74.00,26.00
2026-04-07T14:45:00Z,72.00,26.25
2026-04-07T14:46:00Z,76.00,23.79
2026-04-07T14:47:00Z,77.00,24.65
2026-04-07T14:48:00Z,77.64,23.78
2026-04-07T14:49:00Z,83.14,17.89
2026-04-07T14:50:00Z,77.49,22.77
2026-04-07T14:51:00Z,78.59,22.88
2026-04-07T14:52:00Z,77.51,24.00
2026-04-07T14:53:00Z,76.00,25.00
2026-04-07T14:54:00Z,75.58,24.96
2026-04-07T14:55:00Z,78.38,23.74
2026-04-07T14:56:00Z,77.12,22.80
2026-04-07T14:57:00Z,80.05,19.60
2026-04-07T14:58:00Z,82.04,17.03
2026-04-07T14:59:00Z,80.19,18.71
2026-04-07T15:00:00Z,75.00,25.13
2026-04-07T15:01:00Z,71.73,28.31
2026-04-07T15:02:00Z,67.72,35.06
2026-04-07T15:03:00Z,63.23,33.92
2026-04-07T15:04:00Z,56.31,45.07
2026-04-07T15:05:00Z,57.97,40.02
2026-04-07T15:06:00Z,57.03,44.54
2026-04-07T15:07:00Z,58.15,46.48
2026-04-07T15:08:00Z,56.21,44.93
2026-04-07T15:09:00Z,54.00,47.04
