# event_ticker=KXATPMATCH-25NOV02SAKBOR
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=Stefanos Sakellaridis
# kalshi_date=2025-11-02
timestamp,Nuno Borges,Stefanos Sakellaridis
2025-11-02T05:05:00Z,,22.00
2025-11-02T05:10:00Z,,22.00
2025-11-02T05:13:00Z,,23.00
2025-11-02T05:21:00Z,79.00,23.00
2025-11-02T05:40:00Z,79.00,23.00
2025-11-02T05:56:00Z,79.00,23.00
2025-11-02T06:49:00Z,79.00,23.00
2025-11-02T07:59:00Z,78.00,23.00
2025-11-02T08:00:00Z,78.00,23.00
2025-11-02T08:11:00Z,78.00,23.00
2025-11-02T08:22:00Z,78.00,21.84
2025-11-02T09:02:00Z,78.00,21.84
2025-11-02T09:37:00Z,78.00,22.00
2025-11-02T09:42:00Z,78.00,22.00
2025-11-02T10:41:00Z,78.00,22.00
2025-11-02T10:50:00Z,78.00,22.00
2025-11-02T11:09:00Z,78.00,22.00
2025-11-02T11:18:00Z,78.00,22.74
2025-11-02T11:19:00Z,78.00,22.74
2025-11-02T11:39:00Z,78.00,22.74
2025-11-02T11:44:00Z,78.00,22.74
2025-11-02T11:46:00Z,78.00,22.74
2025-11-02T11:48:00Z,78.00,22.74
2025-11-02T12:32:00Z,78.00,23.00
2025-11-02T12:39:00Z,78.00,23.00
2025-11-02T13:09:00Z,78.00,23.00
2025-11-02T13:19:00Z,78.00,23.00
2025-11-02T13:20:00Z,78.00,22.00
2025-11-02T13:21:00Z,78.00,22.00
2025-11-02T13:43:00Z,78.00,22.00
2025-11-02T14:03:00Z,78.00,22.00
2025-11-02T14:05:00Z,78.00,22.00
2025-11-02T14:15:00Z,79.00,22.00
2025-11-02T14:20:00Z,79.00,22.00
2025-11-02T14:22:00Z,79.00,22.00
2025-11-02T14:30:00Z,79.00,22.00
2025-11-02T14:38:00Z,79.00,21.00
2025-11-02T14:49:00Z,79.00,22.00
2025-11-02T14:52:00Z,79.00,22.00
2025-11-02T14:58:00Z,79.00,22.00
2025-11-02T14:59:00Z,79.00,22.00
2025-11-02T15:09:00Z,79.00,23.00
2025-11-02T15:10:00Z,79.00,23.00
2025-11-02T15:12:00Z,79.00,23.00
2025-11-02T15:13:00Z,79.00,23.00
2025-11-02T15:29:00Z,79.00,23.00
2025-11-02T15:39:00Z,79.00,23.00
2025-11-02T15:46:00Z,79.00,23.00
2025-11-02T15:51:00Z,79.00,23.00
2025-11-02T15:56:00Z,79.00,23.00
2025-11-02T16:00:00Z,79.00,23.00
2025-11-02T16:01:00Z,79.00,23.00
2025-11-02T16:03:00Z,79.00,22.00
2025-11-02T16:05:00Z,80.00,22.00
2025-11-02T16:07:00Z,80.00,21.00
2025-11-02T16:08:00Z,80.00,21.00
2025-11-02T16:09:00Z,80.00,21.00
2025-11-02T16:10:00Z,81.00,22.00
2025-11-02T16:11:00Z,80.00,21.00
2025-11-02T16:12:00Z,79.14,21.68
2025-11-02T16:13:00Z,79.00,24.00
2025-11-02T16:14:00Z,79.00,24.31
2025-11-02T16:15:00Z,78.00,23.10
2025-11-02T16:16:00Z,81.00,21.00
2025-11-02T16:17:00Z,80.00,21.66
2025-11-02T16:18:00Z,78.00,21.66
